# Transition                      wide 
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              149.6
# End Energy in eV                1259.6
# Energy Step in eV               0.5
# Number Of Sweeps                1
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  50
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
149.600                    99102.4000
150.100                    99681.9000
150.600                   101069.8000
151.100                   100977.6000
151.600                   101083.8000
152.100                   101053.9000
152.600                   100198.6000
153.100                    99331.0000
153.600                    98944.4000
154.100                    98841.7000
154.600                    98192.2000
155.100                    98444.7000
155.600                    98026.5000
156.100                    98374.6000
156.600                    98518.0000
157.100                    98442.3000
157.600                    97484.3000
158.100                    96783.0000
158.600                    96255.7000
159.100                    95503.7000
159.600                    94720.1000
160.100                    94230.5000
160.600                    94121.0000
161.100                    93852.9000
161.600                    93545.9000
162.100                    93563.0000
162.600                    93370.7000
163.100                    93248.0000
163.600                    92902.0000
164.100                    93152.4000
164.600                    92922.6000
165.100                    93013.1000
165.600                    92656.8000
166.100                    92447.3000
166.600                    92137.2000
167.100                    92011.7000
167.600                    91928.8000
168.100                    91720.4000
168.600                    91512.3000
169.100                    90874.8000
169.600                    91357.6000
170.100                    91381.9000
170.600                    90891.4000
171.100                    91058.9000
171.600                    90959.3000
172.100                    90170.8000
172.600                    89897.2000
173.100                    90440.9000
173.600                    89719.9000
174.100                    89584.8000
174.600                    89467.6000
175.100                    89201.1000
175.600                    89482.5000
176.100                    89135.9000
176.600                    89174.0000
177.100                    89100.4000
177.600                    89056.9000
178.100                    88860.4000
178.600                    89226.0000
179.100                    88884.3000
179.600                    88515.2000
180.100                    88899.4000
180.600                    89019.4000
181.100                    89070.1000
181.600                    89125.9000
182.100                    89201.2000
182.600                    89134.7000
183.100                    88679.0000
183.600                    88718.7000
184.100                    88451.8000
184.600                    88297.2000
185.100                    88449.6000
185.600                    88644.1000
186.100                    88204.0000
186.600                    87739.5000
187.100                    87618.0000
187.600                    87873.7000
188.100                    87854.4000
188.600                    87862.6000
189.100                    87778.8000
189.600                    87321.5000
190.100                    87414.9000
190.600                    87552.4000
191.100                    87240.8000
191.600                    87563.1000
192.100                    86888.5000
192.600                    86980.4000
193.100                    86768.4000
193.600                    86880.1000
194.100                    86492.5000
194.600                    86687.9000
195.100                    86076.8000
195.600                    85771.6000
196.100                    85437.1000
196.600                    85544.3000
197.100                    85303.1000
197.600                    84946.6000
198.100                    85664.2000
198.600                    84893.1000
199.100                    85333.9000
199.600                    85116.1000
200.100                    84609.1000
200.600                    84594.9000
201.100                    84696.3000
201.600                    83966.4000
202.100                    84089.1000
202.600                    84294.2000
203.100                    83847.3000
203.600                    84338.8000
204.100                    83750.8000
204.600                    83708.1000
205.100                    83327.0000
205.600                    83344.2000
206.100                    83386.9000
206.600                    83328.9000
207.100                    82967.7000
207.600                    82692.5000
208.100                    82347.4000
208.600                    82775.2000
209.100                    82598.3000
209.600                    81959.7000
210.100                    82023.7000
210.600                    82078.0000
211.100                    82210.7000
211.600                    81989.3000
212.100                    81388.2000
212.600                    81824.0000
213.100                    82120.9000
213.600                    81153.7000
214.100                    81696.7000
214.600                    81521.2000
215.100                    81431.2000
215.600                    81583.9000
216.100                    81166.8000
216.600                    80735.6000
217.100                    81051.8000
217.600                    81158.0000
218.100                    80756.4000
218.600                    81020.5000
219.100                    80867.3000
219.600                    80537.9000
220.100                    80611.6000
220.600                    80462.7000
221.100                    79967.6000
221.600                    79812.8000
222.100                    80075.0000
222.600                    80043.8000
223.100                    80144.5000
223.600                    79686.5000
224.100                    79554.3000
224.600                    79571.3000
225.100                    79630.2000
225.600                    78959.5000
226.100                    78818.3000
226.600                    79247.8000
227.100                    78975.8000
227.600                    78732.8000
228.100                    78975.8000
228.600                    78506.3000
229.100                    78426.4000
229.600                    78847.4000
230.100                    78380.2000
230.600                    78011.7000
231.100                    78344.2000
231.600                    78096.5000
232.100                    78290.5000
232.600                    78429.8000
233.100                    78618.0000
233.600                    77746.3000
234.100                    77720.8000
234.600                    77814.9000
235.100                    77994.8000
235.600                    78253.9000
236.100                    77947.5000
236.600                    78305.9000
237.100                    78570.4000
237.600                    78449.2000
238.100                    77861.3000
238.600                    78187.3000
239.100                    78777.1000
239.600                    78418.1000
240.100                    78564.9000
240.600                    78886.2000
241.100                    78649.7000
241.600                    78623.9000
242.100                    78515.2000
242.600                    77813.3000
243.100                    77562.1000
243.600                    77526.1000
244.100                    77413.9000
244.600                    77077.9000
245.100                    76765.7000
245.600                    76774.1000
246.100                    76637.9000
246.600                    76343.8000
247.100                    76668.6000
247.600                    76217.7000
248.100                    76379.9000
248.600                    76133.4000
249.100                    75975.3000
249.600                    75434.4000
250.100                    75960.8000
250.600                    75738.6000
251.100                    75127.2000
251.600                    75041.7000
252.100                    75594.4000
252.600                    75519.1000
253.100                    75119.2000
253.600                    75485.8000
254.100                    75166.1000
254.600                    74880.4000
255.100                    75212.4000
255.600                    75714.7000
256.100                    75712.3000
256.600                    75762.5000
257.100                    76196.6000
257.600                    76223.3000
258.100                    76193.6000
258.600                    76217.4000
259.100                    76373.2000
259.600                    76470.5000
260.100                    76599.7000
260.600                    76462.2000
261.100                    76173.8000
261.600                    76065.8000
262.100                    75435.8000
262.600                    75061.1000
263.100                    74645.9000
263.600                    74130.3000
264.100                    74212.6000
264.600                    73832.5000
265.100                    73254.0000
265.600                    72984.0000
266.100                    72417.0000
266.600                    72427.4000
267.100                    71869.6000
267.600                    71125.5000
268.100                    71002.6000
268.600                    70550.4000
269.100                    70148.6000
269.600                    69066.9000
270.100                    69359.8000
270.600                    69102.3000
271.100                    68762.6000
271.600                    68354.3000
272.100                    68138.2000
272.600                    67796.8000
273.100                    67797.2000
273.600                    67545.8000
274.100                    67413.4000
274.600                    67297.9000
275.100                    67058.6000
275.600                    67101.1000
276.100                    67180.4000
276.600                    66643.0000
277.100                    66917.3000
277.600                    66677.7000
278.100                    67067.1000
278.600                    66754.1000
279.100                    66213.2000
279.600                    66114.0000
280.100                    66104.2000
280.600                    66219.7000
281.100                    66082.7000
281.600                    66063.9000
282.100                    65848.7000
282.600                    65663.8000
283.100                    65702.3000
283.600                    65850.1000
284.100                    65906.4000
284.600                    65940.3000
285.100                    65707.4000
285.600                    65733.3000
286.100                    65629.5000
286.600                    65728.8000
287.100                    65842.6000
287.600                    65634.0000
288.100                    65480.3000
288.600                    65204.4000
289.100                    65814.8000
289.600                    65955.7000
290.100                    65619.5000
290.600                    65293.2000
291.100                    65053.2000
291.600                    64567.4000
292.100                    64964.5000
292.600                    65132.0000
293.100                    65198.3000
293.600                    64798.9000
294.100                    64785.7000
294.600                    64652.1000
295.100                    64738.9000
295.600                    64583.0000
296.100                    64403.6000
296.600                    64226.4000
297.100                    63756.5000
297.600                    63554.1000
298.100                    63332.6000
298.600                    63329.8000
299.100                    63252.5000
299.600                    62967.3000
300.100                    62440.3000
300.600                    62720.3000
301.100                    62308.0000
301.600                    61945.8000
302.100                    61595.4000
302.600                    61120.4000
303.100                    60389.8000
303.600                    60456.8000
304.100                    60158.2000
304.600                    59694.3000
305.100                    59614.8000
305.600                    58818.2000
306.100                    58542.7000
306.600                    58612.2000
307.100                    57943.2000
307.600                    57874.2000
308.100                    57582.0000
308.600                    57204.1000
309.100                    56931.9000
309.600                    56804.7000
