# Transition                      Ag 3d
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              871.6
# End Energy in eV                893.6
# Energy Step in eV               0.1
# Number Of Sweeps                3
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
871.600                    17236.0000
871.700                    17356.5000
871.800                    17475.0000
871.900                    17431.0000
872.000                    17284.2500
872.100                    17103.2500
872.200                    17085.0000
872.300                    17200.0000
872.400                    17048.0000
872.500                    16812.2500
872.600                    16622.0000
872.700                    16721.2500
872.800                    16702.2500
872.900                    16549.7500
873.000                    16619.0000
873.100                    16459.0000
873.200                    16522.2500
873.300                    16134.0000
873.400                    16211.7500
873.500                    16090.2500
873.600                    16217.7500
873.700                    16117.0000
873.800                    15907.0000
873.900                    15968.2500
874.000                    16017.0000
874.100                    16031.0000
874.200                    15856.0000
874.300                    15914.0000
874.400                    15876.7500
874.500                    15845.0000
874.600                    15901.7500
874.700                    15599.7500
874.800                    15641.5000
874.900                    15754.0000
875.000                    15604.0000
875.100                    15816.7500
875.200                    15930.5000
875.300                    15952.5000
875.400                    16137.7500
875.500                    16025.7500
875.600                    15988.2500
875.700                    16136.0000
875.800                    16116.2500
875.900                    15964.5000
876.000                    16095.5000
876.100                    16209.0000
876.200                    16126.5000
876.300                    16126.5000
876.400                    16236.7500
876.500                    16300.0000
876.600                    16187.5000
876.700                    16221.0000
876.800                    16279.7500
876.900                    16154.7500
877.000                    16496.2500
877.100                    16605.0000
877.200                    16806.7500
877.300                    16977.5000
877.400                    16993.5000
877.500                    17353.0000
877.600                    17904.0000
877.700                    18299.5000
877.800                    18807.0000
877.900                    19524.7500
878.000                    20271.0000
878.100                    21597.7500
878.200                    23091.5000
878.300                    24411.5000
878.400                    26607.2500
878.500                    29162.7500
878.600                    32173.2500
878.700                    35397.0000
878.800                    39339.7500
878.900                    43281.2500
879.000                    47511.7500
879.100                    51806.7500
879.200                    56010.0000
879.300                    59132.5000
879.400                    61343.2500
879.500                    62893.2500
879.600                    63313.0000
879.700                    61673.5000
879.800                    58858.0000
879.900                    54825.0000
880.000                    50331.7500
880.100                    44547.5000
880.200                    39601.2500
880.300                    34809.5000
880.400                    30957.0000
880.500                    27306.5000
880.600                    24523.5000
880.700                    21881.5000
880.800                    19924.2500
880.900                    18587.2500
881.000                    17716.2500
881.100                    17114.7500
881.200                    16386.5000
881.300                    15833.7500
881.400                    15469.5000
881.500                    15183.2500
881.600                    14988.2500
881.700                    14833.0000
881.800                    14789.2500
881.900                    14761.2500
882.000                    14317.2500
882.100                    14405.0000
882.200                    14462.7500
882.300                    14410.5000
882.400                    14147.0000
882.500                    14118.0000
882.600                    14136.0000
882.700                    14114.2500
882.800                    14231.0000
882.900                    14342.2500
883.000                    14704.0000
883.100                    14696.5000
883.200                    14834.5000
883.300                    15056.7500
883.400                    15452.5000
883.500                    15806.5000
883.600                    16595.2500
883.700                    17200.7500
883.800                    18155.2500
883.900                    19235.2500
884.000                    20637.2500
884.100                    21973.2500
884.200                    23999.7500
884.300                    26556.5000
884.400                    29618.2500
884.500                    33191.5000
884.600                    37559.7500
884.700                    42452.7500
884.800                    47696.0000
884.900                    53933.2500
885.000                    59738.2500
885.100                    65634.5000
885.200                    71361.2500
885.300                    76265.7500
885.400                    80067.7500
885.500                    82132.7500
885.600                    82462.2500
885.700                    80724.2500
885.800                    76647.2500
885.900                    70894.0000
886.000                    64098.0000
886.100                    56827.7500
886.200                    49453.0000
886.300                    42683.0000
886.400                    36699.7500
886.500                    31182.0000
886.600                    27238.0000
886.700                    23994.5000
886.800                    21102.7500
886.900                    19181.2500
887.000                    17757.5000
887.100                    16549.5000
887.200                    15558.7500
887.300                    15001.7500
887.400                    14547.0000
887.500                    14236.5000
887.600                    14064.7500
887.700                    13936.0000
887.800                    13848.7500
887.900                    13997.2500
888.000                    13605.5000
888.100                    13518.0000
888.200                    13265.7500
888.300                    12896.5000
888.400                    12621.0000
888.500                    12537.0000
888.600                    12012.5000
888.700                    11640.5000
888.800                    11473.7500
888.900                    11239.2500
889.000                    11159.7500
889.100                    11311.2500
889.200                    10989.7500
889.300                    11056.7500
889.400                    11222.7500
889.500                    11219.0000
889.600                    11153.0000
889.700                    11148.7500
889.800                    11209.2500
889.900                    11211.0000
890.000                    11015.5000
890.100                    10966.5000
890.200                    10826.0000
890.300                    10602.7500
890.400                    10416.7500
890.500                    10237.7500
890.600                     9850.2500
890.700                     9539.5000
890.800                     9314.0000
890.900                     9176.2500
891.000                     8982.2500
891.100                     8683.0000
891.200                     8644.0000
891.300                     8395.5000
891.400                     8336.7500
891.500                     8145.7500
891.600                     8088.2500
891.700                     7997.2500
891.800                     7905.0000
891.900                     7957.5000
892.000                     8002.5000
892.100                     7725.2500
892.200                     7951.5000
892.300                     7875.2500
892.400                     7989.5000
892.500                     8105.0000
892.600                     8175.5000
892.700                     8205.2500
892.800                     8394.5000
892.900                     8726.0000
893.000                     8897.2500
893.100                     9117.7500
893.200                     9669.2500
893.300                    10057.7500
893.400                    10511.2500
893.500                    11206.2500
893.600                    11431.2500
