# Transition                      C 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              953.6
# End Energy in eV                978.6
# Energy Step in eV               0.1
# Number Of Sweeps                20
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
953.600                    36914.7500
953.700                    36999.7500
953.800                    36835.0000
953.900                    36628.2500
954.000                    36733.2500
954.100                    36920.2500
954.200                    36669.0000
954.300                    36931.2500
954.400                    36944.0000
954.500                    36732.2500
954.600                    37003.5000
954.700                    36889.0000
954.800                    37109.0000
954.900                    36911.0000
955.000                    36698.2500
955.100                    36841.7500
955.200                    36770.2500
955.300                    36890.0000
955.400                    36918.5000
955.500                    36694.0000
955.600                    36591.5000
955.700                    36577.7500
955.800                    36590.2500
955.900                    36547.5000
956.000                    36401.0000
956.100                    36705.7500
956.200                    36753.5000
956.300                    36579.7500
956.400                    36345.0000
956.500                    36379.0000
956.600                    36456.7500
956.700                    36181.7500
956.800                    36185.0000
956.900                    36009.7500
957.000                    35867.2500
957.100                    35912.2500
957.200                    36000.5000
957.300                    35983.2500
957.400                    35896.2500
957.500                    35882.5000
957.600                    35935.0000
957.700                    35949.7500
957.800                    35791.0000
957.900                    35719.5000
958.000                    35840.2500
958.100                    36041.2500
958.200                    35609.0000
958.300                    35744.5000
958.400                    35853.2500
958.500                    35609.5000
958.600                    35603.2500
958.700                    35709.2500
958.800                    35558.2500
958.900                    35782.7500
959.000                    35635.2500
959.100                    35836.5000
959.200                    35643.7500
959.300                    35559.5000
959.400                    35924.2500
959.500                    35703.7500
959.600                    35519.7500
959.700                    35761.7500
959.800                    35728.5000
959.900                    35324.7500
960.000                    35414.2500
960.100                    35608.2500
960.200                    35709.7500
960.300                    35680.5000
960.400                    35542.0000
960.500                    35636.5000
960.600                    35419.2500
960.700                    35496.2500
960.800                    35679.2500
960.900                    35288.0000
961.000                    35540.2500
961.100                    35444.0000
961.200                    35542.0000
961.300                    35463.5000
961.400                    35381.0000
961.500                    35285.0000
961.600                    35530.2500
961.700                    35477.0000
961.800                    35146.2500
961.900                    35537.7500
962.000                    35600.5000
962.100                    35438.0000
962.200                    35257.2500
962.300                    35185.2500
962.400                    35539.7500
962.500                    35533.5000
962.600                    35617.2500
962.700                    35518.2500
962.800                    35631.0000
962.900                    35736.0000
963.000                    35591.0000
963.100                    35879.2500
963.200                    35507.7500
963.300                    35756.0000
963.400                    35785.0000
963.500                    35806.2500
963.600                    35899.2500
963.700                    35787.2500
963.800                    35949.2500
963.900                    36093.7500
964.000                    35943.2500
964.100                    36018.0000
964.200                    36076.0000
964.300                    36039.0000
964.400                    36335.5000
964.500                    36240.0000
964.600                    36149.5000
964.700                    35988.7500
964.800                    36540.7500
964.900                    36851.7500
965.000                    36504.0000
965.100                    36473.5000
965.200                    36575.7500
965.300                    36810.2500
965.400                    36812.0000
965.500                    36987.5000
965.600                    37039.0000
965.700                    36737.0000
965.800                    37116.0000
965.900                    37637.0000
966.000                    37555.7500
966.100                    37387.2500
966.200                    37629.5000
966.300                    37483.7500
966.400                    37977.7500
966.500                    37590.7500
966.600                    37716.5000
966.700                    37685.0000
966.800                    38002.7500
966.900                    38180.7500
967.000                    38035.5000
967.100                    38072.0000
967.200                    38109.7500
967.300                    38162.0000
967.400                    38645.0000
967.500                    38759.2500
967.600                    39077.5000
967.700                    40034.7500
967.800                    40475.5000
967.900                    41297.2500
968.000                    41839.0000
968.100                    43039.2500
968.200                    44153.7500
968.300                    45126.7500
968.400                    46344.7500
968.500                    47687.7500
968.600                    48959.2500
968.700                    50873.2500
968.800                    52386.0000
968.900                    53512.2500
969.000                    54638.5000
969.100                    55791.2500
969.200                    57296.2500
969.300                    57543.0000
969.400                    58287.5000
969.500                    57902.7500
969.600                    57263.7500
969.700                    56896.7500
969.800                    55843.2500
969.900                    54268.7500
970.000                    52205.2500
970.100                    50573.7500
970.200                    48762.5000
970.300                    46508.0000
970.400                    44246.5000
970.500                    42929.5000
970.600                    41283.2500
970.700                    40062.7500
970.800                    39094.0000
970.900                    38228.2500
971.000                    37431.2500
971.100                    36849.0000
971.200                    36337.7500
971.300                    36144.2500
971.400                    35909.2500
971.500                    35802.2500
971.600                    35428.7500
971.700                    35430.7500
971.800                    34997.2500
971.900                    34865.2500
972.000                    35485.0000
972.100                    35628.5000
972.200                    35095.2500
972.300                    35269.0000
972.400                    35307.5000
972.500                    34980.5000
972.600                    35127.7500
