# Transition                      O 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              703.6
# End Energy in eV                733.6
# Energy Step in eV               0.1
# Number Of Sweeps                10
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
703.600                    55805.5000
703.700                    56137.0000
703.800                    56283.2500
703.900                    56311.0000
704.000                    56263.2500
704.100                    55864.7500
704.200                    56220.0000
704.300                    56122.2500
704.400                    55987.7500
704.500                    56327.7500
704.600                    56121.7500
704.700                    55924.2500
704.800                    55909.7500
704.900                    55854.0000
705.000                    56070.7500
705.100                    55855.5000
705.200                    56218.5000
705.300                    56168.5000
705.400                    55607.7500
705.500                    55390.7500
705.600                    56184.5000
705.700                    56151.5000
705.800                    55993.5000
705.900                    55771.5000
706.000                    55798.2500
706.100                    55705.2500
706.200                    55746.7500
706.300                    55622.2500
706.400                    55630.0000
706.500                    55829.5000
706.600                    55711.0000
706.700                    55807.7500
706.800                    55705.7500
706.900                    55403.5000
707.000                    55803.0000
707.100                    55775.2500
707.200                    55465.0000
707.300                    55593.5000
707.400                    55915.5000
707.500                    55914.2500
707.600                    55601.2500
707.700                    55362.7500
707.800                    55950.5000
707.900                    55621.2500
708.000                    55793.0000
708.100                    55784.0000
708.200                    55406.5000
708.300                    55971.7500
708.400                    55866.7500
708.500                    55622.2500
708.600                    55424.5000
708.700                    55415.0000
708.800                    55644.2500
708.900                    55496.5000
709.000                    55629.2500
709.100                    55741.2500
709.200                    55465.7500
709.300                    55795.5000
709.400                    55303.7500
709.500                    55235.5000
709.600                    55350.5000
709.700                    55098.5000
709.800                    55554.2500
709.900                    55346.2500
710.000                    55558.7500
710.100                    55471.0000
710.200                    54911.2500
710.300                    55136.0000
710.400                    55634.7500
710.500                    55552.2500
710.600                    55721.2500
710.700                    55591.7500
710.800                    55335.7500
710.900                    55613.7500
711.000                    55201.7500
711.100                    55060.5000
711.200                    54921.5000
711.300                    55093.7500
711.400                    55569.7500
711.500                    55692.7500
711.600                    55946.7500
711.700                    56070.2500
711.800                    55896.2500
711.900                    55744.0000
712.000                    55839.5000
712.100                    56093.5000
712.200                    55570.7500
712.300                    56109.0000
712.400                    56393.0000
712.500                    56183.0000
712.600                    56167.2500
712.700                    56252.7500
712.800                    56080.7500
712.900                    55904.2500
713.000                    55895.2500
713.100                    55797.5000
713.200                    55648.2500
713.300                    55876.0000
713.400                    55257.7500
713.500                    55304.7500
713.600                    55764.2500
713.700                    55404.0000
713.800                    55604.0000
713.900                    55697.5000
714.000                    55544.0000
714.100                    55457.0000
714.200                    55444.2500
714.300                    55420.2500
714.400                    55581.7500
714.500                    55531.7500
714.600                    55190.0000
714.700                    55431.5000
714.800                    55034.7500
714.900                    55113.5000
715.000                    55259.5000
715.100                    54948.0000
715.200                    55327.7500
715.300                    55264.7500
715.400                    55190.0000
715.500                    55166.7500
715.600                    55190.7500
715.700                    55378.7500
715.800                    55341.5000
715.900                    54970.7500
716.000                    55161.7500
716.100                    54991.5000
716.200                    54905.2500
716.300                    55233.5000
716.400                    55074.2500
716.500                    55409.0000
716.600                    55225.0000
716.700                    55404.7500
716.800                    55305.0000
716.900                    55420.7500
717.000                    55007.7500
717.100                    54989.0000
717.200                    54997.5000
717.300                    55534.0000
717.400                    55660.7500
717.500                    55790.7500
717.600                    55622.0000
717.700                    55612.5000
717.800                    55253.0000
717.900                    55711.2500
718.000                    55566.5000
718.100                    55374.2500
718.200                    55673.5000
718.300                    55869.7500
718.400                    56054.2500
718.500                    55895.7500
718.600                    55954.0000
718.700                    55731.7500
718.800                    55657.2500
718.900                    55875.2500
719.000                    55571.5000
719.100                    56178.0000
719.200                    55936.5000
719.300                    56069.7500
719.400                    56184.2500
719.500                    55956.0000
719.600                    56343.7500
719.700                    56881.5000
719.800                    56633.0000
719.900                    56475.7500
720.000                    57249.2500
720.100                    57537.0000
720.200                    57572.5000
720.300                    58077.2500
720.400                    58255.7500
720.500                    58752.7500
720.600                    59267.0000
720.700                    59991.5000
720.800                    60338.5000
720.900                    61037.7500
721.000                    61786.0000
721.100                    62342.7500
721.200                    63265.0000
721.300                    64280.5000
721.400                    65116.7500
721.500                    66765.0000
721.600                    66974.2500
721.700                    67335.7500
721.800                    68134.0000
721.900                    68777.2500
722.000                    68302.5000
722.100                    67868.7500
722.200                    68278.2500
722.300                    67865.5000
722.400                    66874.7500
722.500                    66035.0000
722.600                    65927.0000
722.700                    64860.5000
722.800                    63664.0000
722.900                    63119.2500
723.000                    62686.2500
723.100                    62078.2500
723.200                    61885.5000
723.300                    61307.5000
723.400                    60467.0000
723.500                    59747.0000
723.600                    59328.2500
723.700                    58786.5000
723.800                    58445.2500
723.900                    58095.5000
724.000                    58002.5000
724.100                    57148.5000
724.200                    57304.0000
724.300                    57122.7500
724.400                    56634.2500
724.500                    56900.2500
724.600                    56271.7500
724.700                    55969.2500
724.800                    55831.0000
724.900                    55795.2500
725.000                    55588.2500
725.100                    55879.2500
725.200                    56018.0000
725.300                    55435.0000
725.400                    55377.0000
