# Transition                      wide AlKalfa
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              99.7
# End Energy in eV                1492.7
# Energy Step in eV               0.5
# Number Of Sweeps                1
# Dwell Time per Sweep in s       0.1
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  50
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Al Ka 1486.7 eV mono
# Excitation Energy in eV         1486.7
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
99.700                     72248.5000
100.200                    71921.4000
100.700                    71965.6000
101.200                    71551.3000
101.700                    71002.7000
102.200                    70804.4000
102.700                    70673.3000
103.200                    70556.0000
103.700                    70077.3000
104.200                    70162.2000
104.700                    69348.6000
105.200                    69233.4000
105.700                    69547.3000
106.200                    69088.3000
106.700                    68289.6000
107.200                    67656.5000
107.700                    67609.8000
108.200                    67711.0000
108.700                    67790.9000
109.200                    67536.6000
109.700                    67034.4000
110.200                    66834.2000
110.700                    66791.9000
111.200                    66153.4000
111.700                    65808.1000
112.200                    65578.9000
112.700                    65468.5000
113.200                    64830.6000
113.700                    64836.6000
114.200                    64821.9000
114.700                    64132.0000
115.200                    64169.0000
115.700                    64526.6000
116.200                    64033.3000
116.700                    63593.0000
117.200                    63280.7000
117.700                    63260.5000
118.200                    63354.9000
118.700                    62886.1000
119.200                    62669.6000
119.700                    62066.0000
120.200                    62769.2000
120.700                    62193.1000
121.200                    62182.3000
121.700                    61751.5000
122.200                    61733.0000
122.700                    61738.6000
123.200                    61288.7000
123.700                    60873.4000
124.200                    60721.3000
124.700                    60654.5000
125.200                    61108.6000
125.700                    59999.6000
126.200                    60254.5000
126.700                    59814.6000
127.200                    59726.4000
127.700                    59689.2000
128.200                    59664.9000
128.700                    59358.7000
129.200                    58995.7000
129.700                    58981.5000
130.200                    58524.0000
130.700                    58684.9000
131.200                    58451.8000
131.700                    58491.2000
132.200                    57832.8000
132.700                    58104.9000
133.200                    57516.1000
133.700                    57502.5000
134.200                    56971.3000
134.700                    57331.7000
135.200                    56836.0000
135.700                    56632.1000
136.200                    56465.6000
136.700                    56336.4000
137.200                    56268.8000
137.700                    56232.0000
138.200                    55827.1000
138.700                    55667.7000
139.200                    55518.4000
139.700                    54943.6000
140.200                    55206.4000
140.700                    54910.5000
141.200                    54938.3000
141.700                    55157.0000
142.200                    54682.6000
142.700                    54466.6000
143.200                    54316.8000
143.700                    54496.1000
144.200                    54229.2000
144.700                    54071.6000
145.200                    53971.3000
145.700                    53583.7000
146.200                    53101.3000
146.700                    52835.8000
147.200                    52892.5000
147.700                    52698.0000
148.200                    52565.8000
148.700                    52440.6000
149.200                    52170.4000
149.700                    52236.9000
150.200                    51831.0000
150.700                    51648.7000
151.200                    51440.5000
151.700                    51204.0000
152.200                    51150.6000
152.700                    50546.4000
153.200                    50193.8000
153.700                    49837.2000
154.200                    49615.7000
154.700                    49386.8000
155.200                    49038.0000
155.700                    49221.1000
156.200                    48583.1000
156.700                    48131.2000
157.200                    47709.2000
157.700                    47560.3000
158.200                    47583.5000
158.700                    47003.6000
159.200                    47389.4000
159.700                    47204.8000
160.200                    46978.1000
160.700                    47024.4000
161.200                    46703.7000
161.700                    46931.5000
162.200                    46852.7000
162.700                    46503.1000
163.200                    46358.2000
163.700                    46199.4000
164.200                    45794.5000
164.700                    45532.7000
165.200                    45282.2000
165.700                    45220.0000
166.200                    45068.8000
166.700                    44531.4000
167.200                    44487.8000
167.700                    44360.2000
168.200                    44472.0000
168.700                    43700.6000
169.200                    43338.8000
169.700                    43073.5000
170.200                    43105.4000
170.700                    42960.1000
171.200                    42485.6000
171.700                    42322.4000
172.200                    42443.7000
172.700                    42309.3000
173.200                    41863.3000
173.700                    41765.7000
174.200                    41842.9000
174.700                    41510.6000
175.200                    41228.9000
175.700                    41214.6000
176.200                    41191.6000
176.700                    41098.3000
177.200                    41083.6000
177.700                    40863.6000
178.200                    40807.2000
178.700                    40586.5000
179.200                    40606.1000
179.700                    40499.6000
180.200                    40218.6000
180.700                    40249.2000
181.200                    40226.7000
181.700                    40157.1000
182.200                    40136.1000
182.700                    40151.0000
183.200                    39499.4000
183.700                    39935.5000
184.200                    39887.4000
184.700                    39342.5000
185.200                    39418.4000
185.700                    39310.3000
186.200                    39080.0000
186.700                    39033.5000
187.200                    38526.7000
187.700                    38547.9000
188.200                    38290.4000
188.700                    38059.6000
189.200                    37900.3000
189.700                    38063.1000
190.200                    38142.0000
190.700                    37892.8000
191.200                    37700.2000
191.700                    37436.4000
192.200                    37453.3000
192.700                    37140.9000
193.200                    37375.6000
193.700                    37165.1000
194.200                    36908.1000
194.700                    36818.7000
195.200                    36929.4000
195.700                    36853.6000
196.200                    36321.1000
196.700                    36548.4000
197.200                    36518.9000
197.700                    36329.6000
198.200                    35940.5000
198.700                    35991.7000
199.200                    36254.2000
199.700                    36082.9000
200.200                    35846.1000
200.700                    35946.4000
201.200                    35848.5000
201.700                    35427.5000
202.200                    35488.2000
202.700                    35396.9000
203.200                    35304.8000
203.700                    35375.5000
204.200                    34956.6000
204.700                    35239.6000
205.200                    35085.9000
205.700                    34860.0000
206.200                    34736.2000
206.700                    34703.1000
207.200                    34662.2000
207.700                    34653.7000
208.200                    34328.8000
208.700                    34374.0000
209.200                    34203.9000
209.700                    33964.3000
210.200                    34145.0000
210.700                    34000.4000
211.200                    33854.2000
211.700                    33728.5000
212.200                    33562.4000
212.700                    33739.7000
213.200                    33376.1000
213.700                    33464.1000
214.200                    33336.0000
214.700                    33364.5000
215.200                    33176.9000
215.700                    33536.0000
216.200                    32988.7000
216.700                    33079.9000
217.200                    33097.4000
217.700                    32936.8000
218.200                    32799.7000
218.700                    33010.9000
219.200                    32802.6000
219.700                    32913.1000
220.200                    32586.3000
220.700                    32836.0000
221.200                    32521.0000
221.700                    32384.9000
222.200                    32115.4000
222.700                    32256.9000
223.200                    32374.6000
223.700                    32214.4000
224.200                    32013.9000
224.700                    31869.3000
225.200                    31606.5000
225.700                    31946.8000
226.200                    31983.5000
226.700                    31582.8000
227.200                    31679.1000
227.700                    31834.6000
228.200                    31971.1000
228.700                    31709.7000
229.200                    31339.2000
229.700                    31458.1000
230.200                    31601.2000
230.700                    31330.0000
231.200                    31622.2000
231.700                    31338.0000
232.200                    31333.6000
232.700                    30893.6000
233.200                    30903.0000
233.700                    30978.4000
234.200                    31208.8000
234.700                    31512.9000
235.200                    31254.1000
235.700                    31024.1000
236.200                    31242.9000
236.700                    31174.8000
237.200                    31451.0000
237.700                    31465.2000
238.200                    31706.4000
238.700                    31307.3000
239.200                    31081.4000
239.700                    31077.9000
240.200                    30982.4000
240.700                    31026.5000
241.200                    30883.0000
241.700                    30738.7000
242.200                    30563.7000
242.700                    30363.8000
243.200                    30198.3000
243.700                    29958.0000
244.200                    29818.9000
244.700                    29740.3000
245.200                    29548.7000
245.700                    29328.6000
246.200                    29164.1000
246.700                    28882.6000
247.200                    29105.7000
247.700                    28912.7000
248.200                    28924.4000
