# Transition                      wide 
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              149.6
# End Energy in eV                1259.6
# Energy Step in eV               0.5
# Number Of Sweeps                1
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  50
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
149.600                   141772.0000
150.100                   141493.5000
150.600                   140865.0000
151.100                   140477.0000
151.600                   140748.4000
152.100                   139839.2000
152.600                   139239.1000
153.100                   137635.9000
153.600                   137648.1000
154.100                   136654.1000
154.600                   137096.5000
155.100                   135533.8000
155.600                   135102.5000
156.100                   134629.7000
156.600                   134172.2000
157.100                   132842.1000
157.600                   132352.3000
158.100                   132290.1000
158.600                   131555.8000
159.100                   130962.2000
159.600                   130736.6000
160.100                   130372.0000
160.600                   130740.5000
161.100                   130655.6000
161.600                   129923.4000
162.100                   129250.9000
162.600                   128915.5000
163.100                   128218.9000
163.600                   128004.0000
164.100                   126719.3000
164.600                   126877.8000
165.100                   125506.5000
165.600                   125221.8000
166.100                   125122.4000
166.600                   124845.4000
167.100                   124117.5000
167.600                   123661.5000
168.100                   123258.1000
168.600                   122803.5000
169.100                   122271.8000
169.600                   121659.0000
170.100                   121497.8000
170.600                   120995.9000
171.100                   120324.1000
171.600                   120209.2000
172.100                   119644.1000
172.600                   119082.5000
173.100                   118696.0000
173.600                   118542.4000
174.100                   117845.4000
174.600                   116891.8000
175.100                   117231.6000
175.600                   116614.6000
176.100                   116135.7000
176.600                   115669.5000
177.100                   115417.1000
177.600                   115446.4000
178.100                   114812.6000
178.600                   115031.3000
179.100                   114329.3000
179.600                   113835.4000
180.100                   113878.4000
180.600                   113689.2000
181.100                   113363.6000
181.600                   113058.7000
182.100                   112011.0000
182.600                   112499.5000
183.100                   112123.9000
183.600                   112271.5000
184.100                   111696.9000
184.600                   111566.6000
185.100                   111639.4000
185.600                   110881.0000
186.100                   110726.8000
186.600                   110355.8000
187.100                   109753.5000
187.600                   109493.8000
188.100                   109235.7000
188.600                   108813.7000
189.100                   108565.8000
189.600                   107947.5000
190.100                   108274.4000
190.600                   108406.0000
191.100                   107191.9000
191.600                   106762.4000
192.100                   106191.2000
192.600                   106271.0000
193.100                   105933.0000
193.600                   105312.9000
194.100                   105256.5000
194.600                   105380.8000
195.100                   104886.8000
195.600                   104980.7000
196.100                   104643.2000
196.600                   103992.3000
197.100                   103399.8000
197.600                   103858.3000
198.100                   103793.6000
198.600                   103604.9000
199.100                   102707.5000
199.600                   102022.4000
200.100                   102919.4000
200.600                   102341.1000
201.100                   101831.3000
201.600                   101792.2000
202.100                   101625.9000
202.600                   101701.9000
203.100                   101286.2000
203.600                   100783.3000
204.100                   100074.0000
204.600                    99906.3000
205.100                   100682.9000
205.600                    99920.2000
206.100                    99397.5000
206.600                    99001.3000
207.100                    99041.4000
207.600                    98273.7000
208.100                    98311.4000
208.600                    98389.1000
209.100                    97759.8000
209.600                    97973.4000
210.100                    97371.2000
210.600                    96924.9000
211.100                    97325.3000
211.600                    97484.8000
212.100                    96886.2000
212.600                    96362.0000
213.100                    96778.4000
213.600                    96323.4000
214.100                    95811.7000
214.600                    96152.8000
215.100                    96152.0000
215.600                    95468.0000
216.100                    95417.5000
216.600                    95349.4000
217.100                    95409.4000
217.600                    94531.9000
218.100                    94555.7000
218.600                    94282.0000
219.100                    94337.6000
219.600                    94034.9000
220.100                    94204.2000
220.600                    93815.0000
221.100                    93377.5000
221.600                    93001.7000
222.100                    92859.3000
222.600                    92721.2000
223.100                    92446.8000
223.600                    92131.0000
224.100                    92538.1000
224.600                    91643.5000
225.100                    91711.3000
225.600                    91658.7000
226.100                    91448.1000
226.600                    90900.8000
227.100                    90912.7000
227.600                    90741.4000
228.100                    90590.8000
228.600                    90121.1000
229.100                    90541.2000
229.600                    90066.0000
230.100                    89480.4000
230.600                    89523.8000
231.100                    89558.0000
231.600                    89183.7000
232.100                    89543.9000
232.600                    88938.0000
233.100                    88814.5000
233.600                    89272.1000
234.100                    89101.1000
234.600                    89296.1000
235.100                    89271.8000
235.600                    89095.4000
236.100                    88684.2000
236.600                    88537.6000
237.100                    88809.0000
237.600                    89237.8000
238.100                    89530.8000
238.600                    89613.0000
239.100                    89571.0000
239.600                    89114.9000
240.100                    89369.4000
240.600                    89291.6000
241.100                    89132.7000
241.600                    88267.2000
242.100                    87702.9000
242.600                    86991.0000
243.100                    86456.7000
243.600                    85835.4000
244.100                    85855.3000
244.600                    85500.1000
245.100                    85048.3000
245.600                    84557.1000
246.100                    84378.9000
246.600                    83670.6000
247.100                    83466.8000
247.600                    83673.3000
248.100                    83199.0000
248.600                    82718.5000
249.100                    82651.8000
249.600                    82484.3000
250.100                    82061.4000
250.600                    81673.1000
251.100                    81805.8000
251.600                    81555.8000
252.100                    81931.6000
252.600                    81655.7000
253.100                    82055.2000
253.600                    81327.6000
254.100                    81398.2000
254.600                    81684.1000
255.100                    81413.6000
255.600                    81432.9000
256.100                    81787.9000
256.600                    81784.9000
257.100                    81568.9000
257.600                    81226.1000
258.100                    81359.9000
258.600                    81212.3000
259.100                    81364.3000
259.600                    80595.0000
260.100                    80538.1000
260.600                    80041.4000
261.100                    79722.7000
261.600                    79316.5000
262.100                    78937.9000
262.600                    78701.3000
263.100                    78636.4000
263.600                    78215.2000
264.100                    77972.6000
264.600                    77241.4000
265.100                    77372.1000
265.600                    76895.2000
266.100                    77006.7000
266.600                    76810.8000
267.100                    76422.1000
267.600                    75510.5000
268.100                    75252.8000
268.600                    74921.9000
269.100                    74792.9000
269.600                    74709.8000
270.100                    73935.1000
270.600                    73822.9000
271.100                    73483.9000
271.600                    73276.4000
272.100                    73397.2000
272.600                    73033.3000
273.100                    72209.6000
273.600                    72285.6000
