# Transition                      Au 4f
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              1155.6
# End Energy in eV                1179.6
# Energy Step in eV               0.1
# Number Of Sweeps                3
# Dwell Time per Sweep in s       0.2
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
1155.600                   13964.5000
1155.700                   13873.2500
1155.800                   13758.5000
1155.900                   13794.7500
1156.000                   13833.7500
1156.100                   13689.2500
1156.200                   13639.5000
1156.300                   13689.7500
1156.400                   13564.0000
1156.500                   13487.5000
1156.600                   13494.0000
1156.700                   13306.2500
1156.800                   13322.7500
1156.900                   13181.5000
1157.000                   13190.7500
1157.100                   13239.7500
1157.200                   13137.2500
1157.300                   13141.7500
1157.400                   13303.5000
1157.500                   13235.7500
1157.600                   13152.0000
1157.700                   13164.5000
1157.800                   13143.5000
1157.900                   13047.5000
1158.000                   13332.0000
1158.100                   13125.2500
1158.200                   13000.7500
1158.300                   12865.2500
1158.400                   12917.5000
1158.500                   12967.2500
1158.600                   12935.2500
1158.700                   12831.7500
1158.800                   13087.7500
1158.900                   12969.2500
1159.000                   13089.0000
1159.100                   12933.2500
1159.200                   12987.2500
1159.300                   12867.5000
1159.400                   12952.2500
1159.500                   12782.2500
1159.600                   12850.0000
1159.700                   12789.0000
1159.800                   12662.5000
1159.900                   12936.2500
1160.000                   12750.5000
1160.100                   12830.2500
1160.200                   12771.0000
1160.300                   12595.0000
1160.400                   12719.5000
1160.500                   12599.5000
1160.600                   12539.7500
1160.700                   12643.7500
1160.800                   12544.2500
1160.900                   12518.2500
1161.000                   12480.2500
1161.100                   12507.7500
1161.200                   12550.0000
1161.300                   12565.2500
1161.400                   12362.5000
1161.500                   12456.0000
1161.600                   12575.5000
1161.700                   12618.0000
1161.800                   12579.2500
1161.900                   12643.5000
1162.000                   12850.5000
1162.100                   12738.7500
1162.200                   12734.2500
1162.300                   12786.2500
1162.400                   12753.0000
1162.500                   12973.2500
1162.600                   13204.5000
1162.700                   13097.2500
1162.800                   13130.2500
1162.900                   13114.2500
1163.000                   13399.2500
1163.100                   13453.0000
1163.200                   13502.2500
1163.300                   13702.5000
1163.400                   13655.7500
1163.500                   13918.2500
1163.600                   13960.2500
1163.700                   14281.5000
1163.800                   14491.2500
1163.900                   14603.2500
1164.000                   14980.0000
1164.100                   15620.5000
1164.200                   16262.5000
1164.300                   17071.5000
1164.400                   17846.7500
1164.500                   18685.5000
1164.600                   20081.7500
1164.700                   21858.5000
1164.800                   24118.5000
1164.900                   26415.7500
1165.000                   29381.2500
1165.100                   32487.2500
1165.200                   36007.0000
1165.300                   39427.0000
1165.400                   42645.7500
1165.500                   45421.2500
1165.600                   47623.2500
1165.700                   49408.0000
1165.800                   49438.0000
1165.900                   49233.2500
1166.000                   46904.2500
1166.100                   43922.0000
1166.200                   40630.5000
1166.300                   36853.2500
1166.400                   32845.7500
1166.500                   28962.5000
1166.600                   25625.7500
1166.700                   22849.2500
1166.800                   20786.5000
1166.900                   19286.5000
1167.000                   17869.5000
1167.100                   17157.7500
1167.200                   16374.7500
1167.300                   16130.0000
1167.400                   15989.5000
1167.500                   15674.5000
1167.600                   15871.5000
1167.700                   15899.7500
1167.800                   16330.2500
1167.900                   16857.2500
1168.000                   17623.7500
1168.100                   18776.0000
1168.200                   20156.5000
1168.300                   22205.7500
1168.400                   24358.7500
1168.500                   26726.2500
1168.600                   29795.7500
1168.700                   33961.2500
1168.800                   37926.0000
1168.900                   42668.5000
1169.000                   46487.2500
1169.100                   50485.7500
1169.200                   53887.0000
1169.300                   56801.2500
1169.400                   58522.2500
1169.500                   58560.7500
1169.600                   57035.7500
1169.700                   54000.2500
1169.800                   50331.5000
1169.900                   45069.2500
1170.000                   40146.2500
1170.100                   34682.5000
1170.200                   29732.7500
1170.300                   25710.2500
1170.400                   22019.7500
1170.500                   19327.7500
1170.600                   17266.2500
1170.700                   15796.0000
1170.800                   14653.2500
1170.900                   13484.5000
1171.000                   12538.2500
1171.100                   11989.2500
1171.200                   11514.7500
1171.300                   11193.7500
1171.400                   10924.0000
1171.500                   10555.0000
1171.600                   10117.7500
1171.700                    9875.0000
1171.800                    9713.5000
1171.900                    9458.5000
1172.000                    9355.2500
1172.100                    9277.7500
1172.200                    9226.2500
1172.300                    9157.2500
1172.400                    9124.2500
1172.500                    8985.2500
1172.600                    9011.7500
1172.700                    9011.5000
1172.800                    8983.2500
1172.900                    9013.7500
1173.000                    9037.2500
1173.100                    9212.2500
1173.200                    9210.7500
1173.300                    9692.2500
1173.400                    9614.2500
1173.500                    9697.2500
1173.600                   10071.0000
1173.700                   10283.2500
1173.800                   10449.5000
1173.900                   10571.7500
1174.000                   10811.7500
1174.100                   10972.7500
1174.200                   11246.2500
1174.300                   11261.5000
1174.400                   11213.5000
1174.500                   10976.7500
1174.600                   10795.5000
1174.700                   10592.0000
1174.800                   10445.2500
1174.900                   10289.5000
1175.000                   10319.7500
1175.100                   10145.0000
1175.200                   10069.5000
1175.300                    9835.2500
1175.400                    9800.7500
1175.500                    9691.0000
1175.600                    9922.0000
1175.700                    9945.2500
1175.800                   10001.5000
1175.900                    9936.2500
1176.000                    9845.5000
1176.100                    9891.0000
1176.200                   10065.2500
1176.300                    9835.2500
1176.400                    9740.0000
1176.500                    9737.5000
1176.600                    9769.7500
1176.700                    9748.5000
1176.800                    9631.0000
1176.900                    9633.2500
1177.000                    9717.7500
1177.100                    9810.2500
1177.200                   10123.2500
1177.300                   10134.5000
1177.400                   10394.2500
1177.500                   10699.2500
1177.600                   10560.2500
1177.700                   10811.5000
1177.800                   11065.7500
1177.900                   11126.0000
1178.000                   11023.2500
1178.100                   10886.2500
1178.200                   10903.7500
1178.300                   10778.2500
1178.400                   10389.7500
1178.500                   10193.0000
1178.600                   10020.5000
1178.700                    9937.5000
1178.800                    9828.5000
1178.900                    9689.7500
1179.000                    9723.5000
1179.100                    9531.0000
1179.200                    9707.5000
1179.300                    9793.2500
1179.400                    9831.2500
1179.500                    9792.2500
1179.600                    9868.0000
