# Transition                      C 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              958.6
# End Energy in eV                978.6
# Energy Step in eV               0.1
# Number Of Sweeps                30
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
958.600                   179823.2500
958.700                   180408.2500
958.800                   180550.7500
958.900                   180211.7500
959.000                   180335.5000
959.100                   179500.0000
959.200                   179776.0000
959.300                   179822.0000
959.400                   180508.5000
959.500                   180643.2500
959.600                   179932.2500
959.700                   179789.5000
959.800                   179415.7500
959.900                   180108.0000
960.000                   181124.7500
960.100                   180620.2500
960.200                   180867.5000
960.300                   180943.5000
960.400                   180444.0000
960.500                   180471.5000
960.600                   180042.0000
960.700                   179915.2500
960.800                   180046.7500
960.900                   180221.0000
961.000                   180407.7500
961.100                   180046.7500
961.200                   180284.0000
961.300                   180002.2500
961.400                   179868.2500
961.500                   180477.0000
961.600                   180793.2500
961.700                   179851.0000
961.800                   180996.5000
961.900                   181024.0000
962.000                   180672.5000
962.100                   180403.7500
962.200                   180822.7500
962.300                   180659.7500
962.400                   180130.0000
962.500                   180271.0000
962.600                   180713.7500
962.700                   180255.5000
962.800                   180287.0000
962.900                   181451.2500
963.000                   181562.2500
963.100                   181208.2500
963.200                   181423.0000
963.300                   181453.7500
963.400                   181686.5000
963.500                   180699.2500
963.600                   181150.5000
963.700                   181415.2500
963.800                   180902.5000
963.900                   181654.5000
964.000                   181632.5000
964.100                   182123.7500
964.200                   182484.5000
964.300                   181675.2500
964.400                   182262.2500
964.500                   182536.0000
964.600                   183172.7500
964.700                   183469.5000
964.800                   183068.0000
964.900                   182503.7500
965.000                   183971.5000
965.100                   183861.2500
965.200                   183725.7500
965.300                   183869.0000
965.400                   183172.7500
965.500                   183668.2500
965.600                   183681.0000
965.700                   184507.2500
965.800                   184923.0000
965.900                   184806.2500
966.000                   183860.7500
966.100                   184381.2500
966.200                   184545.7500
966.300                   185368.5000
966.400                   185229.2500
966.500                   185557.5000
966.600                   185663.7500
966.700                   186532.2500
966.800                   186847.2500
966.900                   187241.7500
967.000                   187133.7500
967.100                   188348.7500
967.200                   188277.7500
967.300                   188908.2500
967.400                   189662.7500
967.500                   191278.7500
967.600                   191631.0000
967.700                   192844.7500
967.800                   194650.7500
967.900                   196288.5000
968.000                   198268.5000
968.100                   200307.7500
968.200                   202773.2500
968.300                   204846.7500
968.400                   206493.5000
968.500                   208803.5000
968.600                   211167.7500
968.700                   213268.0000
968.800                   214050.5000
968.900                   215401.0000
969.000                   216225.5000
969.100                   215339.2500
969.200                   213363.2500
969.300                   212717.2500
969.400                   210328.7500
969.500                   207448.5000
969.600                   205033.0000
969.700                   200769.5000
969.800                   198362.0000
969.900                   195139.0000
970.000                   192444.2500
970.100                   189486.0000
970.200                   188103.5000
970.300                   186061.5000
970.400                   184479.0000
970.500                   182939.0000
970.600                   181294.7500
970.700                   180921.5000
970.800                   180406.7500
970.900                   179811.0000
971.000                   179168.5000
971.100                   178956.5000
971.200                   178683.2500
971.300                   179038.7500
971.400                   178916.0000
971.500                   178382.5000
971.600                   178692.5000
971.700                   178605.7500
971.800                   177585.7500
971.900                   178132.2500
972.000                   178001.7500
972.100                   178108.2500
972.200                   177853.7500
972.300                   178234.0000
972.400                   177904.0000
972.500                   177743.2500
972.600                   178142.7500
972.700                   177481.2500
972.800                   177507.7500
972.900                   177941.7500
973.000                   177697.0000
973.100                   177930.5000
973.200                   178092.7500
973.300                   178092.2500
973.400                   178059.2500
973.500                   177906.5000
973.600                   177473.0000
973.700                   178019.0000
973.800                   178407.2500
973.900                   177309.2500
974.000                   177633.5000
974.100                   178732.0000
974.200                   178049.5000
974.300                   178345.5000
974.400                   178113.0000
974.500                   177261.5000
974.600                   177412.7500
974.700                   177889.5000
974.800                   177845.5000
974.900                   177800.5000
975.000                   177686.5000
975.100                   177265.2500
975.200                   177290.2500
975.300                   178177.2500
975.400                   178342.7500
975.500                   178030.0000
975.600                   178681.7500
975.700                   177936.0000
975.800                   177835.0000
975.900                   178166.7500
976.000                   178259.5000
976.100                   177930.2500
976.200                   178420.7500
976.300                   178284.7500
976.400                   179267.7500
976.500                   178757.2500
976.600                   178740.7500
976.700                   179369.7500
976.800                   179650.7500
976.900                   179680.7500
977.000                   179542.0000
977.100                   179513.5000
977.200                   179804.0000
977.300                   179545.2500
977.400                   179583.7500
977.500                   179385.7500
977.600                   180188.7500
977.700                   179638.7500
977.800                   179418.5000
977.900                   179807.5000
978.000                   179554.5000
978.100                   179700.7500
978.200                   179036.7500
978.300                   179088.2500
978.400                   179194.2500
978.500                   179757.7500
978.600                   179926.7500
