# Transition                      O 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              713.6
# End Energy in eV                733.6
# Energy Step in eV               0.1
# Number Of Sweeps                15
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
713.600                   149217.0000
713.700                   149061.0000
713.800                   149131.0000
713.900                   149677.2500
714.000                   149678.0000
714.100                   148479.7500
714.200                   148978.2500
714.300                   148835.0000
714.400                   149100.5000
714.500                   149009.2500
714.600                   149398.7500
714.700                   148904.5000
714.800                   148207.2500
714.900                   148785.0000
715.000                   148652.7500
715.100                   148422.5000
715.200                   148356.5000
715.300                   148642.5000
715.400                   148692.0000
715.500                   148252.0000
715.600                   148347.0000
715.700                   147730.2500
715.800                   147979.0000
715.900                   148263.0000
716.000                   147923.2500
716.100                   147920.7500
716.200                   148139.5000
716.300                   147965.2500
716.400                   148193.2500
716.500                   148073.5000
716.600                   148306.0000
716.700                   147915.7500
716.800                   147715.2500
716.900                   147505.0000
717.000                   147751.5000
717.100                   147053.7500
717.200                   147146.0000
717.300                   147020.0000
717.400                   147398.0000
717.500                   147205.7500
717.600                   147166.5000
717.700                   146829.0000
717.800                   147380.0000
717.900                   147554.0000
718.000                   147205.7500
718.100                   147120.7500
718.200                   146878.7500
718.300                   147097.2500
718.400                   146713.7500
718.500                   147289.7500
718.600                   146967.0000
718.700                   146206.5000
718.800                   147015.5000
718.900                   147414.2500
719.000                   147586.5000
719.100                   147914.5000
719.200                   148552.5000
719.300                   148860.5000
719.400                   148784.0000
719.500                   149718.0000
719.600                   150191.2500
719.700                   150601.7500
719.800                   151205.7500
719.900                   152352.0000
720.000                   152953.0000
720.100                   153655.7500
720.200                   155097.0000
720.300                   156064.2500
720.400                   156935.0000
720.500                   158354.7500
720.600                   159535.0000
720.700                   160631.5000
720.800                   161460.2500
720.900                   162063.0000
721.000                   162422.5000
721.100                   163107.0000
721.200                   163779.7500
721.300                   162547.0000
721.400                   162298.5000
721.500                   161364.0000
721.600                   159915.7500
721.700                   158322.2500
721.800                   156743.7500
721.900                   155944.7500
722.000                   154787.7500
722.100                   152822.2500
722.200                   150943.7500
722.300                   149534.7500
722.400                   148610.2500
722.500                   147528.0000
722.600                   147201.5000
722.700                   145799.7500
722.800                   145595.0000
722.900                   145275.0000
723.000                   144545.7500
723.100                   143701.2500
723.200                   144146.2500
723.300                   143603.2500
723.400                   142870.7500
723.500                   143024.7500
723.600                   142684.0000
723.700                   142494.7500
723.800                   141969.2500
723.900                   142167.2500
724.000                   141784.7500
724.100                   142373.0000
724.200                   141993.0000
724.300                   141637.0000
724.400                   141329.2500
724.500                   141444.5000
724.600                   141495.0000
724.700                   141990.0000
724.800                   141953.5000
724.900                   141440.7500
725.000                   141301.0000
725.100                   141524.2500
725.200                   141888.7500
725.300                   141162.2500
725.400                   141650.5000
725.500                   141369.0000
725.600                   141417.5000
725.700                   141741.7500
725.800                   141335.5000
725.900                   141380.7500
726.000                   141468.7500
726.100                   141050.5000
726.200                   141377.2500
726.300                   141121.7500
726.400                   141423.7500
726.500                   141130.2500
726.600                   141006.7500
726.700                   141342.0000
726.800                   141147.7500
726.900                   141270.2500
727.000                   141272.7500
727.100                   141080.2500
727.200                   141302.7500
727.300                   140720.5000
727.400                   140713.2500
727.500                   141106.7500
727.600                   141066.5000
727.700                   140714.0000
727.800                   141136.0000
727.900                   141480.0000
728.000                   140961.7500
728.100                   140960.7500
728.200                   140979.0000
728.300                   141696.2500
728.400                   141410.2500
728.500                   141276.7500
728.600                   141537.0000
728.700                   141983.7500
728.800                   142144.0000
728.900                   141582.0000
729.000                   141548.7500
729.100                   142222.7500
729.200                   142264.2500
729.300                   141837.5000
729.400                   141807.7500
729.500                   141544.0000
729.600                   141717.0000
729.700                   141913.7500
729.800                   142002.7500
729.900                   142367.0000
730.000                   141814.0000
730.100                   142268.7500
730.200                   141773.2500
730.300                   141291.7500
730.400                   141280.5000
730.500                   141849.5000
730.600                   141824.0000
730.700                   141444.5000
730.800                   141740.2500
730.900                   141654.2500
731.000                   141940.7500
731.100                   141467.5000
731.200                   141718.7500
731.300                   141023.7500
731.400                   141235.0000
731.500                   141246.5000
731.600                   141583.7500
731.700                   141205.7500
731.800                   141104.0000
731.900                   140756.2500
732.000                   141392.5000
732.100                   141173.5000
732.200                   140790.0000
732.300                   140481.5000
732.400                   140601.0000
732.500                   140923.2500
732.600                   140216.2500
732.700                   139826.5000
732.800                   140109.2500
732.900                   140043.2500
733.000                   139867.0000
733.100                   140390.5000
733.200                   140023.0000
733.300                   140013.5000
733.400                   139453.5000
733.500                   140229.5000
733.600                   139808.7500
