# Transition                      O 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              703.6
# End Energy in eV                728.6
# Energy Step in eV               0.1
# Number Of Sweeps                3
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
703.600                     2598.2500
703.700                     2506.7500
703.800                     2594.7500
703.900                     2538.5000
704.000                     2572.0000
704.100                     2631.2500
704.200                     2591.0000
704.300                     2587.2500
704.400                     2401.5000
704.500                     2450.0000
704.600                     2543.5000
704.700                     2577.2500
704.800                     2471.2500
704.900                     2503.7500
705.000                     2471.7500
705.100                     2472.5000
705.200                     2416.0000
705.300                     2462.7500
705.400                     2340.5000
705.500                     2458.7500
705.600                     2501.2500
705.700                     2443.7500
705.800                     2424.5000
705.900                     2426.0000
706.000                     2424.7500
706.100                     2459.2500
706.200                     2493.0000
706.300                     2371.2500
706.400                     2349.2500
706.500                     2331.2500
706.600                     2382.2500
706.700                     2393.0000
706.800                     2421.2500
706.900                     2389.7500
707.000                     2386.7500
707.100                     2356.0000
707.200                     2352.5000
707.300                     2257.0000
707.400                     2274.7500
707.500                     2278.0000
707.600                     2250.7500
707.700                     2331.0000
707.800                     2345.2500
707.900                     2321.2500
708.000                     2280.5000
708.100                     2218.7500
708.200                     2230.7500
708.300                     2293.2500
708.400                     2319.7500
708.500                     2262.7500
708.600                     2277.0000
708.700                     2259.2500
708.800                     2280.0000
708.900                     2255.5000
709.000                     2236.0000
709.100                     2263.2500
709.200                     2324.7500
709.300                     2341.5000
709.400                     2304.7500
709.500                     2290.2500
709.600                     2292.7500
709.700                     2276.7500
709.800                     2385.5000
709.900                     2323.2500
710.000                     2255.2500
710.100                     2331.2500
710.200                     2396.0000
710.300                     2355.7500
710.400                     2341.2500
710.500                     2510.7500
710.600                     2517.0000
710.700                     2591.0000
710.800                     2531.5000
710.900                     2564.7500
711.000                     2676.2500
711.100                     2739.5000
711.200                     2818.7500
711.300                     2928.5000
711.400                     3031.2500
711.500                     3186.2500
711.600                     3225.5000
711.700                     3500.7500
711.800                     3630.5000
711.900                     3941.2500
712.000                     4106.5000
712.100                     4358.2500
712.200                     4586.7500
712.300                     4901.5000
712.400                     5140.0000
712.500                     5382.5000
712.600                     5653.0000
712.700                     5971.5000
712.800                     6313.5000
712.900                     6555.7500
713.000                     6837.7500
713.100                     7049.5000
713.200                     7185.0000
713.300                     7341.7500
713.400                     7384.5000
713.500                     7483.2500
713.600                     7497.2500
713.700                     7571.7500
713.800                     7515.7500
713.900                     7524.2500
714.000                     7245.2500
714.100                     7047.2500
714.200                     6900.7500
714.300                     6693.0000
714.400                     6472.7500
714.500                     6212.7500
714.600                     5977.0000
714.700                     5762.7500
714.800                     5456.0000
714.900                     5279.2500
715.000                     5083.2500
715.100                     4848.7500
715.200                     4644.7500
715.300                     4403.2500
715.400                     4284.2500
715.500                     4110.0000
715.600                     3971.7500
715.700                     3828.5000
715.800                     3717.7500
715.900                     3646.5000
716.000                     3546.0000
716.100                     3429.7500
716.200                     3372.0000
716.300                     3272.0000
716.400                     3144.0000
716.500                     3210.0000
716.600                     3054.0000
716.700                     2976.0000
716.800                     2847.7500
716.900                     2792.0000
717.000                     2706.2500
717.100                     2695.7500
717.200                     2643.5000
717.300                     2609.2500
717.400                     2434.2500
717.500                     2560.2500
717.600                     2494.0000
717.700                     2425.5000
717.800                     2407.5000
717.900                     2318.2500
718.000                     2349.7500
718.100                     2327.5000
718.200                     2315.7500
718.300                     2233.0000
718.400                     2299.0000
718.500                     2232.2500
718.600                     2327.7500
718.700                     2273.0000
718.800                     2292.7500
718.900                     2369.0000
719.000                     2285.2500
719.100                     2314.7500
719.200                     2300.7500
719.300                     2258.0000
719.400                     2232.0000
719.500                     2337.2500
719.600                     2287.2500
719.700                     2275.5000
719.800                     2361.2500
719.900                     2322.2500
720.000                     2305.5000
720.100                     2360.0000
720.200                     2430.7500
720.300                     2402.7500
720.400                     2369.0000
720.500                     2467.7500
720.600                     2444.5000
720.700                     2439.0000
720.800                     2546.7500
720.900                     2497.2500
721.000                     2484.5000
721.100                     2622.2500
721.200                     2592.0000
721.300                     2598.5000
721.400                     2662.7500
721.500                     2614.0000
721.600                     2583.5000
721.700                     2640.5000
721.800                     2628.2500
721.900                     2656.0000
722.000                     2650.2500
722.100                     2709.0000
722.200                     2690.0000
722.300                     2631.5000
722.400                     2652.2500
722.500                     2639.2500
722.600                     2664.7500
722.700                     2684.5000
722.800                     2758.7500
722.900                     2676.2500
723.000                     2698.0000
723.100                     2607.0000
723.200                     2630.2500
723.300                     2590.7500
723.400                     2611.0000
723.500                     2538.5000
723.600                     2532.7500
723.700                     2482.2500
723.800                     2513.7500
723.900                     2553.2500
724.000                     2473.5000
724.100                     2429.2500
724.200                     2397.5000
724.300                     2444.7500
724.400                     2309.2500
724.500                     2323.7500
724.600                     2313.5000
724.700                     2268.0000
724.800                     2272.2500
724.900                     2255.2500
725.000                     2202.2500
725.100                     2147.2500
725.200                     2170.5000
725.300                     2171.0000
725.400                     2123.7500
725.500                     2110.5000
725.600                     2113.5000
725.700                     2067.2500
725.800                     2063.2500
725.900                     2018.2500
726.000                     2040.5000
726.100                     2031.2500
726.200                     2036.0000
726.300                     2045.7500
726.400                     2011.5000
726.500                     2025.7500
726.600                     1982.5000
726.700                     1943.0000
726.800                     1960.7500
726.900                     2013.0000
727.000                     1926.5000
727.100                     1965.2500
727.200                     2014.7500
727.300                     1897.7500
727.400                     1919.7500
727.500                     1944.2500
727.600                     2000.2500
727.700                     1991.0000
727.800                     1863.0000
727.900                     1883.0000
728.000                     1863.7500
728.100                     1982.7500
728.200                     1976.2500
728.300                     1983.2500
728.400                     1996.5000
728.500                     1941.0000
728.600                     1874.0000
