# Transition                      Al 2p
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              1158.6
# End Energy in eV                1183.6
# Energy Step in eV               0.1
# Number Of Sweeps                41
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
1158.600                   13015.2500
1158.700                   13128.5000
1158.800                   13091.5000
1158.900                   12960.2500
1159.000                   12822.7500
1159.100                   12916.7500
1159.200                   12731.0000
1159.300                   12938.5000
1159.400                   12889.0000
1159.500                   12960.2500
1159.600                   13009.5000
1159.700                   12843.5000
1159.800                   12938.2500
1159.900                   12927.0000
1160.000                   12701.2500
1160.100                   12813.7500
1160.200                   12780.2500
1160.300                   12890.0000
1160.400                   12741.2500
1160.500                   12678.2500
1160.600                   12681.0000
1160.700                   12751.7500
1160.800                   12689.2500
1160.900                   12722.5000
1161.000                   12685.7500
1161.100                   12488.7500
1161.200                   12423.0000
1161.300                   12587.0000
1161.400                   12549.2500
1161.500                   12423.5000
1161.600                   12557.2500
1161.700                   12559.5000
1161.800                   12415.7500
1161.900                   12317.0000
1162.000                   12397.2500
1162.100                   12566.0000
1162.200                   12334.0000
1162.300                   12382.2500
1162.400                   12564.5000
1162.500                   12563.0000
1162.600                   12532.2500
1162.700                   12396.7500
1162.800                   12359.7500
1162.900                   12638.2500
1163.000                   12506.7500
1163.100                   12434.0000
1163.200                   12391.2500
1163.300                   12472.2500
1163.400                   12590.2500
1163.500                   12730.5000
1163.600                   12609.7500
1163.700                   12681.0000
1163.800                   12627.2500
1163.900                   12508.5000
1164.000                   12617.7500
1164.100                   12507.5000
1164.200                   12678.2500
1164.300                   12611.2500
1164.400                   12794.0000
1164.500                   12865.0000
1164.600                   12859.7500
1164.700                   12702.2500
1164.800                   12841.7500
1164.900                   12869.2500
1165.000                   12941.7500
1165.100                   12848.5000
1165.200                   13075.5000
1165.300                   12893.5000
1165.400                   13167.0000
1165.500                   12932.0000
1165.600                   13054.0000
1165.700                   12994.0000
1165.800                   13052.2500
1165.900                   13006.7500
1166.000                   13110.2500
1166.100                   13197.2500
1166.200                   12938.0000
1166.300                   13068.0000
1166.400                   13049.0000
1166.500                   12898.2500
1166.600                   12998.5000
1166.700                   12888.5000
1166.800                   12955.5000
1166.900                   12938.2500
1167.000                   12794.7500
1167.100                   12787.7500
1167.200                   12743.7500
1167.300                   12634.2500
1167.400                   12561.5000
1167.500                   12638.2500
1167.600                   12715.7500
1167.700                   12780.0000
1167.800                   12692.7500
1167.900                   12838.5000
1168.000                   12826.2500
1168.100                   12750.0000
1168.200                   12796.5000
1168.300                   13193.7500
1168.400                   13197.0000
1168.500                   13390.5000
1168.600                   13460.0000
1168.700                   13539.7500
1168.800                   13717.2500
1168.900                   14166.0000
1169.000                   14311.5000
1169.100                   14606.2500
1169.200                   14999.7500
1169.300                   15322.7500
1169.400                   15668.2500
1169.500                   15841.5000
1169.600                   16080.5000
1169.700                   16494.2500
1169.800                   16799.0000
1169.900                   17115.2500
1170.000                   17461.7500
1170.100                   17846.0000
1170.200                   18054.2500
1170.300                   18449.0000
1170.400                   18716.2500
1170.500                   19020.5000
1170.600                   19209.5000
1170.700                   19352.0000
1170.800                   19282.2500
1170.900                   19284.5000
1171.000                   19213.2500
1171.100                   19193.7500
1171.200                   19193.5000
1171.300                   18947.7500
1171.400                   18848.0000
1171.500                   18777.5000
1171.600                   18426.0000
1171.700                   17799.7500
1171.800                   17829.5000
1171.900                   17376.5000
1172.000                   17128.7500
1172.100                   16499.5000
1172.200                   16248.2500
1172.300                   15899.2500
1172.400                   15705.0000
1172.500                   15412.7500
1172.600                   15072.5000
1172.700                   14680.5000
1172.800                   14445.0000
1172.900                   14304.7500
1173.000                   14021.2500
1173.100                   13738.5000
1173.200                   13621.0000
1173.300                   13615.7500
1173.400                   13315.5000
1173.500                   13230.5000
1173.600                   13018.2500
1173.700                   12772.2500
1173.800                   12665.0000
1173.900                   12815.0000
1174.000                   12697.7500
1174.100                   12538.0000
1174.200                   12403.2500
1174.300                   12379.0000
1174.400                   12339.0000
1174.500                   12282.0000
1174.600                   12015.0000
1174.700                   12151.0000
1174.800                   11998.0000
1174.900                   12181.0000
1175.000                   11978.0000
1175.100                   11902.2500
1175.200                   12012.5000
1175.300                   11878.2500
1175.400                   11793.2500
1175.500                   11963.2500
1175.600                   11799.2500
1175.700                   11778.7500
1175.800                   11837.5000
1175.900                   11745.0000
1176.000                   11617.0000
1176.100                   11579.0000
1176.200                   11670.0000
1176.300                   11637.5000
1176.400                   11631.7500
1176.500                   11513.5000
1176.600                   11570.5000
1176.700                   11764.2500
1176.800                   11720.2500
1176.900                   11552.7500
1177.000                   11496.5000
1177.100                   11453.2500
1177.200                   11632.7500
1177.300                   11559.5000
1177.400                   11581.7500
1177.500                   11465.5000
1177.600                   11442.2500
1177.700                   11529.2500
1177.800                   11590.5000
1177.900                   11723.5000
1178.000                   11599.7500
1178.100                   11585.7500
1178.200                   11517.0000
1178.300                   11450.7500
1178.400                   11572.0000
1178.500                   11753.7500
1178.600                   11707.2500
1178.700                   11657.2500
1178.800                   11726.0000
1178.900                   11715.0000
1179.000                   11598.7500
1179.100                   11573.2500
1179.200                   11492.2500
1179.300                   11570.0000
1179.400                   11759.5000
1179.500                   11581.7500
1179.600                   11709.7500
1179.700                   11630.0000
1179.800                   11671.7500
1179.900                   11699.7500
1180.000                   11810.5000
1180.100                   11565.0000
1180.200                   11739.2500
1180.300                   11569.7500
1180.400                   11595.5000
1180.500                   11569.0000
1180.600                   11651.7500
1180.700                   11668.5000
1180.800                   11558.7500
1180.900                   11462.0000
1181.000                   11509.2500
1181.100                   11593.2500
1181.200                   11621.7500
1181.300                   11453.2500
1181.400                   11633.7500
1181.500                   11490.0000
1181.600                   11466.2500
1181.700                   11504.5000
1181.800                   11419.0000
1181.900                   11489.2500
1182.000                   11383.0000
1182.100                   11380.5000
1182.200                   11388.2500
1182.300                   11470.0000
1182.400                   11534.0000
1182.500                   11433.7500
1182.600                   11317.2500
1182.700                   11375.2500
1182.800                   11383.7500
1182.900                   11404.0000
1183.000                   11495.0000
1183.100                   11621.5000
1183.200                   11377.0000
1183.300                   11424.0000
1183.400                   11512.5000
1183.500                   11431.0000
1183.600                   11406.2500
