# Transition                      wide 
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              149.6
# End Energy in eV                1259.6
# Energy Step in eV               0.5
# Number Of Sweeps                1
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  50
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
149.600                    14884.9000
150.100                    14817.1000
150.600                    14810.1000
151.100                    14915.7000
151.600                    14753.4000
152.100                    14503.4000
152.600                    14655.8000
153.100                    14522.0000
153.600                    14585.9000
154.100                    14498.9000
154.600                    14549.3000
155.100                    14591.3000
155.600                    14617.1000
156.100                    14504.0000
156.600                    14387.3000
157.100                    14471.4000
157.600                    14705.1000
158.100                    14365.1000
158.600                    14249.9000
159.100                    14175.7000
159.600                    14231.9000
160.100                    14381.7000
160.600                    14299.3000
161.100                    14311.1000
161.600                    14273.6000
162.100                    14209.6000
162.600                    14193.0000
163.100                    14150.3000
163.600                    14170.7000
164.100                    14207.1000
164.600                    14023.5000
165.100                    13970.2000
165.600                    13947.2000
166.100                    14047.1000
166.600                    14009.6000
167.100                    13897.5000
167.600                    13857.1000
168.100                    13944.5000
168.600                    13897.1000
169.100                    13771.7000
169.600                    13714.9000
170.100                    13859.3000
170.600                    13717.5000
171.100                    13674.9000
171.600                    13806.2000
172.100                    13790.9000
172.600                    13814.2000
173.100                    13935.5000
173.600                    13853.8000
174.100                    13825.9000
174.600                    13832.6000
175.100                    13815.8000
175.600                    13707.5000
176.100                    13613.1000
176.600                    13473.7000
177.100                    13657.9000
177.600                    13567.2000
178.100                    13531.7000
178.600                    13614.3000
179.100                    13417.1000
179.600                    13349.4000
180.100                    13519.8000
180.600                    13581.9000
181.100                    13555.3000
181.600                    13311.0000
182.100                    13201.2000
182.600                    13283.4000
183.100                    13221.5000
183.600                    13084.2000
184.100                    13066.8000
184.600                    13184.1000
185.100                    13218.1000
185.600                    13368.5000
186.100                    13359.1000
186.600                    13083.2000
187.100                    13010.9000
187.600                    13159.0000
188.100                    13118.1000
188.600                    13113.4000
189.100                    12903.2000
189.600                    12983.0000
190.100                    12831.6000
190.600                    12959.0000
191.100                    13192.6000
191.600                    12981.7000
192.100                    13051.1000
192.600                    13009.6000
193.100                    12988.2000
193.600                    12748.2000
194.100                    12992.8000
194.600                    12822.5000
195.100                    12978.3000
195.600                    12871.2000
196.100                    12860.2000
196.600                    12860.1000
197.100                    12689.7000
197.600                    12670.0000
198.100                    12852.6000
198.600                    12895.9000
199.100                    12718.7000
199.600                    12689.4000
200.100                    12723.9000
200.600                    12748.1000
201.100                    12723.6000
201.600                    12687.5000
202.100                    12708.1000
202.600                    12662.0000
203.100                    12668.4000
203.600                    12714.9000
204.100                    12644.0000
204.600                    12676.9000
205.100                    12670.1000
205.600                    12672.7000
206.100                    12661.8000
206.600                    12640.4000
207.100                    12588.2000
207.600                    12553.4000
208.100                    12414.2000
208.600                    12518.9000
209.100                    12434.7000
209.600                    12481.2000
210.100                    12498.7000
210.600                    12685.3000
211.100                    12417.4000
211.600                    12461.1000
212.100                    12525.8000
212.600                    12658.1000
213.100                    12355.8000
213.600                    12118.9000
214.100                    12226.1000
214.600                    12351.3000
215.100                    12379.3000
215.600                    12434.2000
216.100                    12247.7000
216.600                    12325.3000
217.100                    12270.6000
217.600                    12367.0000
218.100                    12392.9000
218.600                    12525.5000
219.100                    12315.1000
219.600                    12303.7000
220.100                    12437.0000
220.600                    12488.1000
221.100                    12289.1000
221.600                    12206.1000
222.100                    12223.5000
222.600                    12095.4000
223.100                    12266.4000
223.600                    12185.1000
224.100                    12118.5000
224.600                    12144.4000
225.100                    12245.8000
225.600                    12254.0000
226.100                    12088.5000
226.600                    12210.0000
227.100                    12254.2000
227.600                    12199.5000
228.100                    12109.0000
228.600                    12224.6000
229.100                    12280.7000
229.600                    12404.2000
230.100                    12329.2000
230.600                    12108.3000
231.100                    12322.5000
231.600                    12368.2000
232.100                    12238.5000
232.600                    12302.7000
233.100                    12208.6000
233.600                    12439.9000
234.100                    12523.8000
234.600                    12337.8000
235.100                    12140.7000
235.600                    12281.2000
236.100                    12346.0000
236.600                    12378.0000
237.100                    12182.4000
237.600                    12239.6000
238.100                    12282.9000
238.600                    12297.3000
239.100                    12063.5000
239.600                    12176.8000
240.100                    12057.8000
240.600                    12182.2000
241.100                    12191.1000
241.600                    12336.5000
242.100                    12166.6000
242.600                    12114.0000
243.100                    12164.7000
243.600                    11963.8000
244.100                    12055.9000
244.600                    12050.4000
245.100                    12035.2000
245.600                    11971.6000
246.100                    12108.4000
246.600                    12169.3000
247.100                    12103.1000
247.600                    12073.6000
248.100                    12283.1000
248.600                    12068.3000
249.100                    12122.1000
249.600                    12035.0000
250.100                    12242.6000
250.600                    12029.4000
251.100                    12368.7000
251.600                    12162.1000
252.100                    12268.7000
252.600                    12246.6000
253.100                    12283.1000
253.600                    12435.9000
254.100                    12274.3000
254.600                    12162.2000
255.100                    12102.4000
255.600                    12149.7000
256.100                    12162.1000
256.600                    12073.6000
257.100                    12003.7000
257.600                    11989.3000
258.100                    12044.7000
258.600                    12041.4000
259.100                    11936.2000
259.600                    11931.7000
260.100                    11958.5000
260.600                    11873.8000
261.100                    11690.2000
261.600                    11598.0000
262.100                    11620.1000
262.600                    11569.1000
263.100                    11515.8000
263.600                    11322.7000
264.100                    11303.8000
264.600                    11159.6000
265.100                    11322.4000
265.600                    11166.2000
266.100                    11100.7000
266.600                    11112.0000
267.100                    10919.7000
267.600                    10899.8000
268.100                    10945.1000
268.600                    10917.9000
269.100                    11045.5000
269.600                    11058.8000
270.100                    10876.5000
270.600                    10605.8000
271.100                    10736.0000
271.600                    10765.8000
272.100                    10778.9000
272.600                    10736.2000
273.100                    10738.8000
273.600                    10645.0000
274.100                    10457.5000
274.600                    10487.9000
275.100                    10621.4000
275.600                    10554.4000
276.100                    10455.2000
276.600                    10576.3000
277.100                    10536.4000
277.600                    10411.1000
278.100                    10526.6000
278.600                    10428.4000
279.100                    10704.3000
279.600                    10619.6000
280.100                    10514.2000
280.600                    10383.3000
281.100                    10503.2000
281.600                    10514.7000
282.100                    10632.2000
282.600                    10590.8000
283.100                    10559.6000
283.600                    10482.5000
284.100                    10393.1000
284.600                    10574.7000
285.100                    10646.4000
285.600                    10586.9000
286.100                    10557.5000
286.600                    10547.8000
287.100                    10378.8000
287.600                    10463.1000
288.100                    10425.9000
288.600                    10361.1000
289.100                    10321.5000
289.600                    10444.0000
290.100                    10287.2000
290.600                    10132.0000
291.100                    10249.1000
291.600                    10362.1000
292.100                    10304.5000
292.600                    10248.0000
293.100                    10248.4000
293.600                    10320.7000
294.100                    10441.3000
294.600                    10374.9000
295.100                    10325.7000
295.600                    10279.3000
296.100                    10222.7000
296.600                    10153.7000
297.100                    10205.8000
297.600                    10398.8000
298.100                    10063.6000
298.600                     9983.6000
299.100                    10057.4000
299.600                    10281.9000
300.100                    10128.2000
300.600                    10204.9000
301.100                    10291.1000
301.600                    10188.9000
302.100                    10227.1000
302.600                    10242.9000
303.100                    10115.3000
303.600                    10132.0000
304.100                    10064.9000
304.600                    10269.1000
305.100                    10374.4000
305.600                     9970.0000
306.100                    10338.9000
306.600                    10172.1000
307.100                    10320.9000
307.600                    10227.2000
308.100                     9987.6000
308.600                    10070.0000
309.100                    10064.4000
309.600                    10156.3000
310.100                    10217.3000
310.600                    10193.5000
311.100                    10018.2000
311.600                    10064.5000
312.100                    10210.4000
312.600                    10124.9000
313.100                    10209.0000
313.600                    10111.2000
314.100                    10022.8000
314.600                    10184.8000
315.100                    10383.3000
315.600                    10317.1000
316.100                    10092.1000
316.600                     9984.5000
317.100                    10084.6000
317.600                     9952.7000
318.100                     9981.9000
318.600                     9970.1000
319.100                    10135.3000
319.600                    10069.4000
320.100                    10012.9000
320.600                    10008.1000
321.100                    10172.3000
321.600                    10196.9000
322.100                     9934.0000
322.600                    10055.3000
323.100                    10227.1000
323.600                    10090.5000
324.100                     9989.3000
324.600                    10047.6000
325.100                     9961.5000
325.600                    10055.1000
326.100                     9974.7000
326.600                     9867.9000
327.100                    10062.2000
327.600                     9982.0000
328.100                    10087.0000
328.600                     9847.4000
329.100                    10050.6000
329.600                    10089.8000
330.100                    10113.8000
330.600                     9995.0000
331.100                    10222.7000
331.600                     9926.3000
332.100                     9955.1000
332.600                     9944.6000
333.100                     9886.6000
333.600                     9888.3000
334.100                     9989.1000
334.600                     9890.4000
335.100                    10029.4000
335.600                     9981.3000
336.100                     9965.5000
336.600                     9885.7000
337.100                     9972.7000
337.600                    10000.7000
338.100                     9926.7000
338.600                     9882.9000
339.100                     9821.5000
339.600                     9793.5000
340.100                     9800.8000
340.600                    10090.1000
341.100                     9810.1000
341.600                     9875.4000
342.100                     9908.9000
342.600                     9778.9000
343.100                     9993.2000
343.600                     9950.4000
344.100                     9787.7000
344.600                     9820.1000
345.100                     9854.6000
345.600                     9964.0000
346.100                     9928.3000
346.600                     9716.2000
347.100                     9871.3000
347.600                     9753.3000
348.100                     9866.3000
348.600                     9768.4000
349.100                     9879.6000
349.600                     9831.6000
350.100                     9817.7000
350.600                     9811.5000
351.100                     9940.4000
351.600                     9845.2000
352.100                     9772.8000
352.600                     9681.8000
353.100                     9796.0000
353.600                     9885.6000
354.100                     9844.4000
354.600                     9711.7000
355.100                     9715.6000
355.600                    10089.0000
356.100                     9910.4000
356.600                     9797.2000
357.100                     9830.9000
357.600                     9715.0000
358.100                     9864.2000
358.600                     9756.4000
359.100                     9759.3000
359.600                     9698.0000
360.100                     9773.6000
360.600                     9772.0000
361.100                     9830.4000
361.600                     9717.1000
362.100                     9775.3000
362.600                     9784.1000
363.100                     9848.6000
363.600                     9775.8000
364.100                     9803.9000
364.600                     9862.9000
365.100                     9716.7000
365.600                     9761.3000
366.100                     9847.7000
366.600                     9815.2000
367.100                     9795.6000
367.600                     9811.4000
368.100                     9793.7000
368.600                     9941.8000
369.100                     9913.2000
369.600                     9837.4000
370.100                     9861.0000
370.600                     9719.0000
371.100                     9771.7000
371.600                     9686.4000
372.100                     9779.8000
372.600                     9581.3000
373.100                     9735.9000
373.600                     9901.1000
374.100                     9836.5000
374.600                     9842.3000
375.100                     9787.4000
375.600                     9715.0000
376.100                     9770.0000
376.600                     9738.8000
377.100                     9669.9000
377.600                     9702.1000
378.100                     9639.2000
378.600                     9792.7000
379.100                     9620.4000
379.600                     9648.5000
380.100                     9637.9000
380.600                     9465.1000
381.100                     9530.4000
381.600                     9505.0000
382.100                     9490.0000
382.600                     9470.7000
383.100                     9414.1000
383.600                     9446.9000
384.100                     9382.4000
384.600                     9475.0000
385.100                     9544.5000
385.600                     9606.1000
386.100                     9490.4000
386.600                     9525.4000
387.100                     9479.4000
387.600                     9439.7000
388.100                     9483.8000
388.600                     9489.2000
389.100                     9424.4000
389.600                     9489.2000
390.100                     9393.7000
390.600                     9528.5000
391.100                     9482.1000
391.600                     9328.5000
392.100                     9386.4000
392.600                     9473.5000
393.100                     9559.0000
393.600                     9503.3000
394.100                     9641.5000
394.600                     9464.3000
395.100                     9391.0000
395.600                     9528.7000
396.100                     9360.7000
396.600                     9342.8000
397.100                     9351.9000
397.600                     9433.2000
398.100                     9451.0000
398.600                     9316.7000
399.100                     9278.2000
399.600                     9315.1000
400.100                     9476.2000
400.600                     9210.7000
401.100                     9297.2000
401.600                     9370.9000
402.100                     9334.2000
402.600                     9346.3000
403.100                     9348.4000
403.600                     9414.2000
404.100                     9385.2000
404.600                     9440.1000
405.100                     9409.9000
405.600                     9374.5000
406.100                     9339.5000
406.600                     9413.5000
407.100                     9351.3000
407.600                     9350.3000
408.100                     9395.0000
408.600                     9396.2000
409.100                     9383.9000
409.600                     9257.5000
410.100                     9315.1000
410.600                     9383.4000
411.100                     9383.1000
411.600                     9296.1000
412.100                     9411.2000
412.600                     9408.8000
413.100                     9463.4000
413.600                     9367.3000
414.100                     9555.6000
414.600                     9429.7000
415.100                     9319.4000
415.600                     9348.1000
416.100                     9423.8000
416.600                     9317.1000
417.100                     9314.3000
417.600                     9161.2000
418.100                     9388.2000
418.600                     9289.2000
419.100                     9340.3000
419.600                     9439.3000
420.100                     9185.3000
420.600                     9214.9000
421.100                     9324.8000
421.600                     9325.5000
422.100                     9339.6000
422.600                     9273.1000
423.100                     9111.4000
423.600                     9207.6000
424.100                     9223.5000
424.600                     9273.8000
425.100                     9229.5000
425.600                     9046.7000
426.100                     9353.7000
426.600                     9319.9000
427.100                     9244.2000
427.600                     9089.3000
428.100                     9444.6000
428.600                     9424.5000
429.100                     9427.4000
429.600                     9266.1000
430.100                     9077.6000
430.600                     9251.6000
431.100                     9147.1000
431.600                     9103.3000
432.100                     9243.8000
432.600                     9293.5000
433.100                     9232.3000
433.600                     9264.8000
434.100                     9232.5000
434.600                     9309.6000
435.100                     9237.5000
435.600                     9295.9000
436.100                     9240.6000
436.600                     9381.7000
437.100                     9333.7000
437.600                     9346.9000
438.100                     9409.3000
438.600                     9195.0000
439.100                     9314.3000
439.600                     9330.8000
440.100                     9359.3000
440.600                     9336.0000
441.100                     9340.6000
441.600                     9355.2000
442.100                     9307.4000
442.600                     9456.7000
443.100                     9344.1000
443.600                     9315.9000
444.100                     9436.0000
444.600                     9310.8000
445.100                     9205.6000
445.600                     9325.8000
446.100                     9234.0000
446.600                     9399.9000
447.100                     9325.3000
447.600                     9313.1000
448.100                     9343.6000
448.600                     9370.0000
449.100                     9303.2000
449.600                     9280.3000
450.100                     9286.0000
450.600                     9315.0000
451.100                     9396.7000
451.600                     9315.3000
452.100                     9386.6000
452.600                     9513.7000
453.100                     9435.9000
453.600                     9366.1000
454.100                     9298.3000
454.600                     9248.9000
455.100                     9431.2000
455.600                     9349.8000
456.100                     9373.6000
456.600                     9420.0000
457.100                     9410.1000
457.600                     9500.6000
458.100                     9479.2000
458.600                     9472.4000
459.100                     9480.6000
459.600                     9515.0000
460.100                     9396.9000
460.600                     9411.0000
461.100                     9419.4000
461.600                     9531.2000
462.100                     9393.9000
462.600                     9546.7000
463.100                     9412.8000
463.600                     9458.2000
464.100                     9293.4000
464.600                     9382.3000
465.100                     9434.0000
465.600                     9356.2000
466.100                     9505.9000
466.600                     9488.6000
467.100                     9344.8000
467.600                     9225.0000
468.100                     9257.8000
468.600                     9164.0000
469.100                     9359.1000
469.600                     9251.5000
470.100                     9215.2000
470.600                     9188.7000
471.100                     9160.2000
471.600                     9206.5000
472.100                     9224.3000
472.600                     9342.4000
473.100                     9374.3000
473.600                     9449.9000
474.100                     9520.1000
474.600                     9604.2000
475.100                     9498.9000
475.600                     9615.3000
476.100                     9684.7000
476.600                     9639.3000
477.100                     9894.4000
477.600                     9732.6000
478.100                     9816.5000
478.600                     9642.2000
479.100                     9689.8000
479.600                     9780.1000
480.100                     9799.3000
480.600                     9512.6000
481.100                     9462.5000
481.600                     9357.7000
482.100                     9251.2000
482.600                     9305.9000
483.100                     9090.0000
483.600                     9202.6000
484.100                     9233.2000
484.600                     9146.7000
485.100                     9082.2000
485.600                     8969.7000
486.100                     8917.3000
486.600                     8900.8000
487.100                     8710.9000
487.600                     8591.0000
488.100                     8543.6000
488.600                     8488.1000
489.100                     8534.6000
489.600                     8415.6000
490.100                     8461.2000
490.600                     8552.5000
491.100                     8471.0000
491.600                     8548.3000
492.100                     8547.0000
492.600                     8398.0000
493.100                     8498.3000
493.600                     8512.3000
494.100                     8616.8000
494.600                     8775.6000
495.100                     8817.5000
495.600                     8992.7000
496.100                     9185.2000
496.600                     9266.5000
497.100                     9492.5000
497.600                     9654.5000
498.100                     9984.3000
498.600                    10369.0000
499.100                    10552.4000
499.600                    10547.3000
500.100                    10447.6000
500.600                    10298.5000
501.100                    10144.2000
501.600                     9967.7000
502.100                     9642.6000
502.600                     9500.7000
503.100                     9202.6000
503.600                     9008.7000
504.100                     9088.6000
504.600                     8949.8000
505.100                     8671.3000
505.600                     8434.9000
506.100                     8408.7000
506.600                     8137.1000
507.100                     8057.0000
507.600                     7893.7000
508.100                     7679.1000
508.600                     7687.5000
509.100                     7658.4000
509.600                     7388.6000
510.100                     7279.2000
510.600                     7156.2000
511.100                     7120.1000
511.600                     6983.5000
512.100                     6864.9000
512.600                     6717.8000
513.100                     6581.0000
