# Transition                      Ti 2p
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              771.6
# End Energy in eV                796.6
# Energy Step in eV               0.1
# Number Of Sweeps                30
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
771.600                    17728.5000
771.700                    17675.2500
771.800                    17657.5000
771.900                    17507.0000
772.000                    17499.5000
772.100                    17564.5000
772.200                    17663.0000
772.300                    17719.0000
772.400                    17552.2500
772.500                    17717.2500
772.600                    17622.0000
772.700                    17652.2500
772.800                    17864.0000
772.900                    17600.7500
773.000                    17659.7500
773.100                    17668.0000
773.200                    17862.5000
773.300                    17869.5000
773.400                    17689.2500
773.500                    18028.2500
773.600                    17931.0000
773.700                    17941.0000
773.800                    17829.7500
773.900                    18054.0000
774.000                    17809.5000
774.100                    17754.0000
774.200                    17582.5000
774.300                    17551.0000
774.400                    17518.7500
774.500                    17745.5000
774.600                    17728.7500
774.700                    17666.2500
774.800                    17673.7500
774.900                    17519.0000
775.000                    17678.2500
775.100                    17735.0000
775.200                    17620.7500
775.300                    17521.2500
775.400                    17353.2500
775.500                    17460.7500
775.600                    17375.0000
775.700                    17255.0000
775.800                    17167.7500
775.900                    17309.7500
776.000                    17294.7500
776.100                    17356.7500
776.200                    17400.2500
776.300                    17423.5000
776.400                    17334.7500
776.500                    17285.0000
776.600                    17238.0000
776.700                    17271.2500
776.800                    17456.7500
776.900                    17329.5000
777.000                    17045.7500
777.100                    17256.5000
777.200                    16950.7500
777.300                    16943.5000
777.400                    17019.0000
777.500                    17247.2500
777.600                    17165.5000
777.700                    17116.0000
777.800                    17047.2500
777.900                    16939.0000
778.000                    17028.2500
778.100                    17285.5000
778.200                    17220.0000
778.300                    17388.5000
778.400                    17112.2500
778.500                    17070.7500
778.600                    17015.2500
778.700                    17034.0000
778.800                    17244.5000
778.900                    17328.7500
779.000                    17268.5000
779.100                    17249.0000
779.200                    17343.5000
779.300                    17252.2500
779.400                    17198.0000
779.500                    17316.7500
779.600                    17473.2500
779.700                    17287.2500
779.800                    17342.5000
779.900                    17457.7500
780.000                    17664.0000
780.100                    17760.2500
780.200                    17871.0000
780.300                    18014.7500
780.400                    17862.0000
780.500                    17736.7500
780.600                    17973.2500
780.700                    18184.7500
780.800                    18107.7500
780.900                    18314.0000
781.000                    18405.5000
781.100                    18319.5000
781.200                    18496.5000
781.300                    18270.5000
781.400                    18382.0000
781.500                    18548.7500
781.600                    18554.5000
781.700                    18437.5000
781.800                    18214.2500
781.900                    18383.7500
782.000                    18352.7500
782.100                    18417.5000
782.200                    18175.5000
782.300                    17956.7500
782.400                    17919.5000
782.500                    18034.0000
782.600                    17824.7500
782.700                    17724.2500
782.800                    17847.5000
782.900                    17740.7500
783.000                    17622.5000
783.100                    17614.5000
783.200                    17661.0000
783.300                    17621.0000
783.400                    17468.2500
783.500                    17511.2500
783.600                    17333.7500
783.700                    17369.5000
783.800                    17280.7500
783.900                    17254.5000
784.000                    17304.0000
784.100                    17062.2500
784.200                    17189.0000
784.300                    17191.0000
784.400                    17092.0000
784.500                    17252.0000
784.600                    17057.0000
784.700                    17106.5000
784.800                    17230.2500
784.900                    17122.0000
785.000                    17204.0000
785.100                    17268.7500
785.200                    17184.7500
785.300                    17363.5000
785.400                    17411.0000
785.500                    17377.7500
785.600                    17617.5000
785.700                    17586.0000
785.800                    17686.7500
785.900                    17884.7500
786.000                    18069.2500
786.100                    18240.7500
786.200                    18470.0000
786.300                    18806.7500
786.400                    18855.0000
786.500                    18925.2500
786.600                    19515.2500
786.700                    19733.7500
786.800                    19999.2500
786.900                    20216.7500
787.000                    20383.5000
787.100                    20707.0000
787.200                    20569.7500
787.300                    20654.5000
787.400                    20448.7500
787.500                    20202.5000
787.600                    20140.5000
787.700                    19773.2500
787.800                    19710.0000
787.900                    19544.0000
788.000                    19001.0000
788.100                    18786.2500
788.200                    18507.0000
788.300                    18177.0000
788.400                    18203.2500
788.500                    17970.7500
788.600                    17736.2500
788.700                    17475.0000
788.800                    17379.2500
788.900                    17300.2500
789.000                    17096.2500
789.100                    17102.2500
