# Transition                      Ca 2p
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              883.6
# End Energy in eV                908.6
# Energy Step in eV               0.1
# Number Of Sweeps                35
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
883.600                    16315.2500
883.700                    16452.5000
883.800                    16360.0000
883.900                    16473.7500
884.000                    16354.2500
884.100                    16427.7500
884.200                    16355.0000
884.300                    16298.0000
884.400                    16374.5000
884.500                    16316.0000
884.600                    16454.0000
884.700                    16236.5000
884.800                    16361.7500
884.900                    16492.2500
885.000                    16419.0000
885.100                    16240.7500
885.200                    16347.0000
885.300                    16520.0000
885.400                    16349.5000
885.500                    16449.2500
885.600                    16161.5000
885.700                    16107.2500
885.800                    16198.5000
885.900                    16338.2500
886.000                    16118.5000
886.100                    16127.7500
886.200                    16250.5000
886.300                    16496.5000
886.400                    16306.5000
886.500                    16263.0000
886.600                    16379.0000
886.700                    16300.7500
886.800                    16164.2500
886.900                    16191.5000
887.000                    16249.2500
887.100                    16169.2500
887.200                    16450.5000
887.300                    16606.5000
887.400                    16367.5000
887.500                    16356.2500
887.600                    16182.5000
887.700                    16204.7500
887.800                    16123.7500
887.900                    16103.2500
888.000                    16330.0000
888.100                    16339.0000
888.200                    16238.2500
888.300                    16160.0000
888.400                    16281.7500
888.500                    16105.2500
888.600                    16204.5000
888.700                    16383.5000
888.800                    16230.7500
888.900                    16294.0000
889.000                    16368.0000
889.100                    16282.5000
889.200                    16159.5000
889.300                    16355.5000
889.400                    16249.5000
889.500                    16154.7500
889.600                    16195.0000
889.700                    16142.2500
889.800                    16117.7500
889.900                    16166.5000
890.000                    16044.5000
890.100                    16454.7500
890.200                    16291.7500
890.300                    16272.5000
890.400                    16190.0000
890.500                    15996.0000
890.600                    16188.2500
890.700                    16249.7500
890.800                    16121.2500
890.900                    16048.7500
891.000                    16302.2500
891.100                    16445.2500
891.200                    16410.2500
891.300                    16136.0000
891.400                    16204.5000
891.500                    16173.5000
891.600                    16179.0000
891.700                    16320.0000
891.800                    16400.5000
891.900                    16448.5000
892.000                    16455.2500
892.100                    16668.5000
892.200                    16725.0000
892.300                    16649.0000
892.400                    16873.0000
892.500                    16828.7500
892.600                    16843.7500
892.700                    16872.0000
892.800                    16922.2500
892.900                    17277.0000
893.000                    17118.0000
893.100                    17123.0000
893.200                    17140.5000
893.300                    17057.2500
893.400                    17006.5000
893.500                    17305.2500
893.600                    17128.5000
893.700                    16977.0000
893.800                    16890.0000
893.900                    16877.5000
894.000                    16817.7500
894.100                    16734.0000
894.200                    17011.2500
894.300                    17018.5000
894.400                    16767.5000
894.500                    16848.5000
894.600                    16907.5000
894.700                    16692.2500
894.800                    16739.5000
894.900                    16743.2500
895.000                    16794.2500
895.100                    16612.5000
895.200                    16763.5000
895.300                    17077.0000
895.400                    17002.2500
895.500                    17067.5000
895.600                    17216.7500
895.700                    17369.2500
895.800                    17373.5000
895.900                    17419.2500
896.000                    17573.2500
896.100                    17737.2500
896.200                    17797.2500
896.300                    17968.7500
896.400                    18081.0000
896.500                    18299.7500
896.600                    18289.7500
896.700                    18317.0000
896.800                    18222.2500
896.900                    18123.7500
897.000                    18129.0000
897.100                    18081.5000
897.200                    18077.0000
