# Transition                      Si 2p
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              1133.6
# End Energy in eV                1158.6
# Energy Step in eV               0.1
# Number Of Sweeps                26
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
1133.600                   10296.7500
1133.700                   10258.2500
1133.800                   10161.2500
1133.900                    9931.5000
1134.000                   10025.0000
1134.100                    9942.5000
1134.200                    9923.2500
1134.300                    9791.2500
1134.400                    9873.2500
1134.500                    9835.2500
1134.600                    9807.5000
1134.700                    9669.0000
1134.800                    9523.2500
1134.900                    9601.0000
1135.000                    9500.5000
1135.100                    9428.0000
1135.200                    9371.0000
1135.300                    9352.7500
1135.400                    9433.5000
1135.500                    9317.0000
1135.600                    9164.2500
1135.700                    9280.5000
1135.800                    9324.0000
1135.900                    9155.5000
1136.000                    9173.5000
1136.100                    9069.7500
1136.200                    9158.7500
1136.300                    9180.7500
1136.400                    9225.2500
1136.500                    8970.7500
1136.600                    8987.0000
1136.700                    9241.5000
1136.800                    9138.5000
1136.900                    9100.7500
1137.000                    8865.7500
1137.100                    8956.2500
1137.200                    9040.0000
1137.300                    8943.7500
1137.400                    8858.5000
1137.500                    8981.7500
1137.600                    9061.7500
1137.700                    8973.2500
1137.800                    9037.0000
1137.900                    9055.7500
1138.000                    9015.7500
1138.100                    8962.5000
1138.200                    8996.0000
1138.300                    9267.2500
1138.400                    9192.7500
1138.500                    9056.2500
1138.600                    9263.5000
1138.700                    9125.7500
1138.800                    9254.5000
1138.900                    9312.5000
1139.000                    9379.7500
1139.100                    9548.5000
1139.200                    9600.2500
1139.300                    9522.0000
1139.400                    9755.2500
1139.500                    9963.5000
1139.600                   10210.7500
1139.700                   10202.0000
1139.800                   10383.7500
1139.900                   10553.2500
1140.000                   10807.0000
1140.100                   11090.2500
1140.200                   11342.0000
1140.300                   11610.7500
1140.400                   11963.5000
1140.500                   12170.2500
1140.600                   12467.7500
1140.700                   12809.5000
1140.800                   12926.0000
1140.900                   13494.5000
1141.000                   13645.0000
1141.100                   13579.0000
1141.200                   13778.2500
1141.300                   13972.5000
1141.400                   14201.5000
1141.500                   14321.5000
1141.600                   14111.7500
1141.700                   14135.0000
1141.800                   13845.2500
1141.900                   13936.5000
1142.000                   13651.5000
1142.100                   13584.7500
1142.200                   13248.2500
1142.300                   13042.7500
1142.400                   12563.7500
1142.500                   12287.7500
1142.600                   11937.5000
1142.700                   11836.2500
1142.800                   11531.0000
1142.900                   11068.0000
1143.000                   10882.0000
1143.100                   10526.2500
1143.200                   10450.0000
1143.300                   10196.7500
1143.400                   10051.7500
1143.500                    9948.2500
1143.600                    9688.0000
1143.700                    9653.5000
1143.800                    9501.2500
1143.900                    9386.7500
1144.000                    9474.7500
1144.100                    9293.2500
1144.200                    9152.0000
1144.300                    9163.5000
1144.400                    9129.7500
1144.500                    8994.2500
1144.600                    8973.5000
1144.700                    8992.7500
1144.800                    8809.7500
1144.900                    8945.2500
1145.000                    8957.2500
1145.100                    8813.0000
1145.200                    8871.5000
1145.300                    8885.5000
1145.400                    8713.2500
1145.500                    8671.5000
1145.600                    8744.5000
1145.700                    8683.2500
1145.800                    8900.0000
1145.900                    8792.0000
1146.000                    8739.7500
1146.100                    8844.2500
1146.200                    8802.2500
1146.300                    8856.2500
1146.400                    8799.5000
1146.500                    8746.0000
1146.600                    8705.5000
1146.700                    8752.5000
1146.800                    8807.0000
1146.900                    8735.7500
1147.000                    8721.2500
1147.100                    8674.2500
1147.200                    8599.2500
1147.300                    8616.7500
1147.400                    8637.7500
1147.500                    8681.2500
1147.600                    8798.2500
1147.700                    8677.2500
1147.800                    8728.7500
1147.900                    8803.5000
1148.000                    8600.5000
1148.100                    8803.0000
1148.200                    8709.2500
1148.300                    8700.5000
1148.400                    8694.2500
1148.500                    8773.0000
1148.600                    8828.7500
1148.700                    8898.2500
1148.800                    8941.5000
1148.900                    8784.2500
1149.000                    8727.7500
1149.100                    8882.0000
1149.200                    8809.5000
1149.300                    8942.2500
1149.400                    8979.7500
1149.500                    9004.5000
1149.600                    8996.0000
1149.700                    8997.2500
1149.800                    9080.7500
1149.900                    9118.5000
1150.000                    9039.5000
1150.100                    9081.2500
1150.200                    9131.2500
1150.300                    9143.2500
1150.400                    8875.5000
1150.500                    9077.0000
1150.600                    9029.7500
1150.700                    9068.5000
1150.800                    9003.7500
1150.900                    9030.2500
1151.000                    8966.2500
1151.100                    9009.0000
1151.200                    9049.2500
1151.300                    9027.2500
1151.400                    8886.0000
1151.500                    9036.5000
1151.600                    8957.7500
1151.700                    8882.7500
1151.800                    8964.2500
1151.900                    8851.7500
1152.000                    8895.0000
1152.100                    8958.5000
1152.200                    8670.0000
1152.300                    8696.5000
1152.400                    8875.5000
1152.500                    8831.0000
1152.600                    8786.0000
1152.700                    8646.5000
1152.800                    8697.7500
1152.900                    8684.0000
1153.000                    8704.7500
1153.100                    8747.0000
1153.200                    8816.0000
1153.300                    8919.0000
1153.400                    8942.2500
1153.500                    8882.2500
1153.600                    9007.5000
1153.700                    9053.5000
1153.800                    9036.0000
1153.900                    9081.0000
1154.000                    9320.7500
1154.100                    9350.5000
1154.200                    9390.5000
1154.300                    9627.5000
1154.400                    9737.5000
1154.500                    9781.0000
1154.600                    9881.0000
1154.700                    9832.7500
1154.800                    9819.7500
1154.900                    9989.5000
1155.000                   10008.2500
1155.100                   10063.5000
1155.200                    9943.0000
1155.300                    9832.5000
1155.400                    9995.2500
1155.500                    9713.5000
1155.600                    9740.5000
