# Transition                      C 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              948.6
# End Energy in eV                978.6
# Energy Step in eV               0.1
# Number Of Sweeps                10
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
948.600                     4882.5000
948.700                     4820.0000
948.800                     4787.0000
948.900                     4742.7500
949.000                     4780.7500
949.100                     4670.5000
949.200                     4737.7500
949.300                     4719.0000
949.400                     4727.5000
949.500                     4645.0000
949.600                     4700.5000
949.700                     4611.7500
949.800                     4632.2500
949.900                     4678.5000
950.000                     4641.2500
950.100                     4646.5000
950.200                     4742.5000
950.300                     4729.0000
950.400                     4733.5000
950.500                     4648.2500
950.600                     4826.2500
950.700                     4724.7500
950.800                     4608.0000
950.900                     4649.0000
951.000                     4696.7500
951.100                     4704.0000
951.200                     4638.2500
951.300                     4709.2500
951.400                     4698.7500
951.500                     4811.2500
951.600                     4803.0000
951.700                     4662.2500
951.800                     4654.2500
951.900                     4784.0000
952.000                     4651.7500
952.100                     4668.0000
952.200                     4695.7500
952.300                     4614.7500
952.400                     4551.7500
952.500                     4546.0000
952.600                     4582.2500
952.700                     4587.2500
952.800                     4727.7500
952.900                     4703.7500
953.000                     4662.0000
953.100                     4605.0000
953.200                     4572.0000
953.300                     4644.2500
953.400                     4658.7500
953.500                     4677.0000
953.600                     4615.2500
953.700                     4618.2500
953.800                     4596.2500
953.900                     4658.7500
954.000                     4570.5000
954.100                     4640.7500
954.200                     4642.7500
954.300                     4797.2500
954.400                     4704.0000
954.500                     4680.5000
954.600                     4670.2500
954.700                     4642.2500
954.800                     4806.2500
954.900                     4751.7500
955.000                     4698.7500
955.100                     4824.0000
955.200                     4853.2500
955.300                     4831.5000
955.400                     4761.0000
955.500                     4865.7500
955.600                     4822.5000
955.700                     4812.0000
955.800                     4808.0000
955.900                     4706.5000
956.000                     4743.5000
956.100                     4744.5000
956.200                     4772.7500
956.300                     4766.7500
956.400                     4818.2500
956.500                     4919.0000
956.600                     4752.0000
956.700                     4766.2500
956.800                     4849.5000
956.900                     4743.2500
957.000                     4870.2500
957.100                     4845.5000
957.200                     4762.0000
957.300                     4911.7500
957.400                     4954.0000
957.500                     4930.5000
957.600                     4940.0000
957.700                     5002.5000
957.800                     5082.2500
957.900                     5072.2500
958.000                     5153.0000
958.100                     5162.2500
958.200                     5181.0000
958.300                     5358.5000
958.400                     5529.5000
958.500                     5619.7500
958.600                     5668.0000
958.700                     5988.2500
958.800                     5987.7500
958.900                     6271.2500
959.000                     6480.0000
959.100                     6680.2500
959.200                     6848.2500
959.300                     7024.0000
959.400                     7196.7500
959.500                     7380.2500
959.600                     7480.7500
959.700                     7670.2500
959.800                     7720.0000
959.900                     7865.7500
960.000                     7735.0000
960.100                     7649.7500
960.200                     7561.7500
960.300                     7514.0000
960.400                     7460.0000
960.500                     7355.7500
960.600                     7141.7500
960.700                     7096.7500
960.800                     6990.0000
960.900                     6721.7500
961.000                     6579.0000
961.100                     6274.2500
961.200                     6162.5000
961.300                     5949.0000
961.400                     5872.2500
961.500                     5633.0000
961.600                     5533.0000
961.700                     5344.5000
961.800                     5270.7500
961.900                     5238.7500
962.000                     5097.0000
962.100                     4958.5000
962.200                     4950.5000
962.300                     4942.5000
962.400                     4804.5000
962.500                     4828.7500
962.600                     4917.2500
962.700                     4791.7500
962.800                     4808.5000
962.900                     4806.2500
963.000                     4885.7500
963.100                     4776.0000
963.200                     4744.7500
963.300                     4695.0000
963.400                     4725.0000
963.500                     4747.2500
963.600                     4744.0000
963.700                     4647.7500
963.800                     4600.5000
963.900                     4648.7500
964.000                     4621.2500
964.100                     4593.0000
964.200                     4710.0000
964.300                     4712.7500
964.400                     4606.7500
964.500                     4526.2500
964.600                     4472.0000
964.700                     4600.7500
964.800                     4671.2500
964.900                     4695.0000
965.000                     4655.7500
965.100                     4604.5000
965.200                     4653.5000
965.300                     4645.2500
965.400                     4654.5000
965.500                     4605.7500
965.600                     4602.2500
965.700                     4698.7500
965.800                     4717.7500
965.900                     4677.5000
966.000                     4734.2500
966.100                     4589.0000
966.200                     4675.7500
966.300                     4700.0000
966.400                     4739.7500
966.500                     4830.0000
966.600                     4758.5000
966.700                     4814.7500
966.800                     4750.2500
966.900                     4913.7500
967.000                     4876.0000
967.100                     4858.5000
967.200                     4954.2500
967.300                     4988.5000
967.400                     5067.2500
967.500                     5085.5000
967.600                     5281.2500
967.700                     5267.5000
967.800                     5193.0000
967.900                     5268.7500
968.000                     5267.7500
968.100                     5230.5000
968.200                     5274.5000
968.300                     5204.0000
968.400                     5252.0000
968.500                     5274.7500
968.600                     5242.2500
968.700                     5152.7500
968.800                     5099.0000
968.900                     4939.0000
969.000                     4782.5000
969.100                     4858.2500
969.200                     4840.7500
969.300                     4817.2500
969.400                     4712.7500
969.500                     4730.5000
969.600                     4654.5000
969.700                     4708.0000
969.800                     4626.2500
969.900                     4626.2500
970.000                     4651.2500
970.100                     4543.5000
970.200                     4528.2500
970.300                     4556.0000
970.400                     4500.2500
970.500                     4479.0000
970.600                     4455.5000
970.700                     4457.7500
970.800                     4506.5000
970.900                     4485.5000
971.000                     4415.7500
971.100                     4469.2500
971.200                     4444.5000
971.300                     4379.7500
971.400                     4345.7500
971.500                     4382.2500
971.600                     4330.2500
971.700                     4332.0000
971.800                     4373.7500
971.900                     4368.2500
972.000                     4209.5000
972.100                     4351.2500
972.200                     4349.2500
972.300                     4295.5000
972.400                     4248.7500
972.500                     4365.2500
972.600                     4314.0000
972.700                     4334.7500
972.800                     4184.2500
972.900                     4305.7500
973.000                     4328.5000
973.100                     4204.2500
973.200                     4272.2500
973.300                     4365.5000
973.400                     4377.7500
973.500                     4289.0000
973.600                     4327.2500
973.700                     4348.0000
973.800                     4232.7500
973.900                     4290.2500
974.000                     4249.7500
974.100                     4224.5000
974.200                     4216.5000
974.300                     4236.7500
974.400                     4265.5000
974.500                     4296.0000
974.600                     4259.2500
974.700                     4296.2500
974.800                     4265.0000
974.900                     4283.0000
975.000                     4300.2500
975.100                     4340.0000
975.200                     4255.0000
