# Transition                      Ti 2p
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              781.6
# End Energy in eV                803.6
# Energy Step in eV               0.1
# Number Of Sweeps                30
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
781.600                    34549.2500
781.700                    34400.0000
781.800                    34211.0000
781.900                    34422.0000
782.000                    34480.7500
782.100                    34534.5000
782.200                    34387.7500
782.300                    34404.5000
782.400                    34356.2500
782.500                    34237.2500
782.600                    34251.5000
782.700                    34369.0000
782.800                    33683.5000
782.900                    33867.7500
783.000                    33908.0000
783.100                    34070.2500
783.200                    33737.7500
783.300                    33620.5000
783.400                    33644.0000
783.500                    33693.7500
783.600                    33632.5000
783.700                    33637.5000
783.800                    33492.7500
783.900                    33808.0000
784.000                    33609.5000
784.100                    33282.5000
784.200                    33511.5000
784.300                    33616.2500
784.400                    33523.5000
784.500                    33357.5000
784.600                    33448.2500
784.700                    33321.0000
784.800                    33279.5000
784.900                    33136.2500
785.000                    33515.5000
785.100                    33497.7500
785.200                    33412.0000
785.300                    33381.0000
785.400                    33280.5000
785.500                    33229.2500
785.600                    33058.2500
785.700                    33333.5000
785.800                    33586.5000
785.900                    33391.0000
786.000                    33461.5000
786.100                    33649.2500
786.200                    33734.7500
786.300                    33600.7500
786.400                    33603.0000
786.500                    34057.7500
786.600                    33910.2500
786.700                    33672.2500
786.800                    33908.5000
786.900                    34440.2500
787.000                    34434.2500
787.100                    34421.5000
787.200                    34860.0000
787.300                    34981.2500
787.400                    35066.5000
787.500                    35072.0000
787.600                    35575.5000
787.700                    35522.0000
787.800                    35583.5000
787.900                    35912.5000
788.000                    36010.0000
788.100                    35989.2500
788.200                    36485.5000
788.300                    36601.7500
788.400                    36478.2500
788.500                    36379.5000
788.600                    36579.0000
788.700                    36459.2500
788.800                    36187.2500
788.900                    36050.2500
789.000                    36152.5000
789.100                    36232.5000
789.200                    36186.7500
789.300                    35883.7500
789.400                    35516.0000
789.500                    35348.2500
789.600                    34869.7500
789.700                    35086.5000
789.800                    34607.2500
789.900                    34555.7500
790.000                    34468.2500
790.100                    34131.2500
790.200                    34178.5000
790.300                    33987.2500
790.400                    33827.5000
790.500                    33685.7500
790.600                    33746.0000
790.700                    33249.7500
790.800                    33433.5000
790.900                    33466.5000
791.000                    33432.5000
791.100                    33334.5000
791.200                    33267.0000
791.300                    33202.2500
791.400                    33390.0000
791.500                    33184.7500
791.600                    33179.0000
791.700                    33305.2500
791.800                    33033.2500
791.900                    33214.5000
792.000                    33377.2500
792.100                    33369.2500
792.200                    33429.5000
792.300                    33409.7500
792.400                    33798.7500
792.500                    33585.7500
792.600                    33567.5000
792.700                    34274.0000
792.800                    34404.7500
792.900                    34717.5000
793.000                    35036.7500
793.100                    35501.5000
793.200                    36178.7500
793.300                    36963.7500
793.400                    37678.5000
793.500                    38117.0000
793.600                    38887.5000
793.700                    39894.2500
793.800                    40349.2500
793.900                    41119.0000
794.000                    41892.5000
794.100                    41993.0000
794.200                    42369.0000
794.300                    42268.0000
794.400                    42339.7500
794.500                    42199.5000
794.600                    41380.0000
794.700                    40963.7500
794.800                    40009.7500
794.900                    39497.2500
795.000                    38918.0000
795.100                    37963.2500
795.200                    37150.0000
795.300                    36192.7500
795.400                    35346.5000
795.500                    34749.7500
795.600                    34525.2500
795.700                    34236.5000
795.800                    33673.5000
795.900                    33367.7500
796.000                    33109.7500
796.100                    33244.2500
796.200                    32742.5000
796.300                    32413.7500
796.400                    32508.7500
796.500                    32745.5000
796.600                    32266.5000
796.700                    32277.5000
796.800                    32012.5000
796.900                    32112.5000
797.000                    31921.5000
797.100                    31686.0000
797.200                    31845.7500
797.300                    31914.5000
797.400                    31928.2500
797.500                    31533.2500
797.600                    31452.0000
797.700                    31626.0000
797.800                    31505.0000
797.900                    31500.7500
798.000                    31462.2500
798.100                    31411.7500
798.200                    31175.0000
798.300                    31353.5000
798.400                    31364.2500
798.500                    31085.7500
798.600                    30961.7500
798.700                    31233.0000
798.800                    31087.0000
798.900                    31335.2500
799.000                    31175.7500
799.100                    31420.5000
799.200                    31254.0000
799.300                    31015.5000
799.400                    31209.2500
799.500                    31098.2500
799.600                    30909.0000
799.700                    31026.7500
799.800                    30676.7500
799.900                    30859.2500
800.000                    30774.7500
800.100                    31075.7500
800.200                    30742.5000
800.300                    31001.5000
800.400                    30540.5000
800.500                    30864.2500
800.600                    30651.5000
800.700                    30822.0000
800.800                    30622.0000
800.900                    30774.0000
801.000                    30689.2500
801.100                    30482.2500
801.200                    30476.5000
801.300                    30654.2500
801.400                    30864.0000
801.500                    30746.5000
801.600                    30784.7500
801.700                    30754.2500
801.800                    30785.7500
801.900                    31177.5000
802.000                    31216.7500
802.100                    30862.0000
802.200                    30840.0000
802.300                    31119.5000
802.400                    31281.0000
802.500                    31289.7500
802.600                    31236.2500
802.700                    31191.2500
802.800                    31483.5000
802.900                    31225.5000
803.000                    31221.7500
803.100                    31186.0000
803.200                    31054.2500
803.300                    31198.0000
803.400                    31277.2500
803.500                    31057.0000
803.600                    31105.2500
