# Transition                      C 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              953.6
# End Energy in eV                978.6
# Energy Step in eV               0.1
# Number Of Sweeps                10
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
953.600                     8867.7500
953.700                     8959.5000
953.800                     8801.2500
953.900                     8921.5000
954.000                     8840.0000
954.100                     8713.2500
954.200                     8720.7500
954.300                     8742.0000
954.400                     8884.5000
954.500                     8721.5000
954.600                     8641.2500
954.700                     8727.2500
954.800                     8826.2500
954.900                     8691.7500
955.000                     8825.5000
955.100                     8583.2500
955.200                     8728.5000
955.300                     8671.5000
955.400                     8629.5000
955.500                     8519.0000
955.600                     8598.0000
955.700                     8547.5000
955.800                     8671.7500
955.900                     8575.7500
956.000                     8467.5000
956.100                     8601.5000
956.200                     8469.7500
956.300                     8533.5000
956.400                     8557.0000
956.500                     8587.7500
956.600                     8554.5000
956.700                     8673.7500
956.800                     8564.5000
956.900                     8603.2500
957.000                     8494.0000
957.100                     8475.2500
957.200                     8483.7500
957.300                     8308.0000
957.400                     8360.7500
957.500                     8245.7500
957.600                     8248.7500
957.700                     8391.0000
957.800                     8289.0000
957.900                     8173.2500
958.000                     8331.5000
958.100                     8190.0000
958.200                     8147.7500
958.300                     8257.5000
958.400                     8254.7500
958.500                     8228.5000
958.600                     8183.0000
958.700                     8300.7500
958.800                     8286.2500
958.900                     8187.7500
959.000                     8287.7500
959.100                     8465.0000
959.200                     8481.2500
959.300                     8275.0000
959.400                     8366.0000
959.500                     8457.7500
959.600                     8485.7500
959.700                     8278.7500
959.800                     8220.2500
959.900                     8227.7500
960.000                     8154.7500
960.100                     8206.5000
960.200                     8087.7500
960.300                     8211.2500
960.400                     8218.5000
960.500                     8102.7500
960.600                     8069.2500
960.700                     8067.7500
960.800                     8003.2500
960.900                     7935.7500
961.000                     8137.5000
961.100                     8057.5000
961.200                     7938.0000
961.300                     8022.7500
961.400                     8038.2500
961.500                     8033.5000
961.600                     8015.2500
961.700                     8044.0000
961.800                     8112.2500
961.900                     8028.7500
962.000                     7995.2500
962.100                     8151.0000
962.200                     8261.0000
962.300                     8144.5000
962.400                     8082.7500
962.500                     8194.0000
962.600                     8318.7500
962.700                     8395.7500
962.800                     8415.5000
962.900                     8511.7500
963.000                     8530.2500
963.100                     8503.5000
963.200                     8535.5000
963.300                     8791.2500
963.400                     8890.5000
963.500                     8989.5000
963.600                     8998.5000
963.700                     9240.7500
963.800                     9194.2500
963.900                     9388.2500
964.000                     9364.7500
964.100                     9633.2500
964.200                     9802.7500
964.300                     9907.2500
964.400                     9947.7500
964.500                    10266.5000
964.600                    10636.7500
964.700                    10801.0000
964.800                    10985.7500
964.900                    11408.0000
965.000                    11758.0000
965.100                    12239.7500
965.200                    12447.2500
965.300                    12776.5000
965.400                    13100.0000
965.500                    13631.5000
965.600                    14159.7500
965.700                    14582.7500
965.800                    15140.5000
965.900                    15767.2500
966.000                    16316.7500
966.100                    16796.7500
966.200                    17422.0000
966.300                    17943.5000
966.400                    18275.2500
966.500                    18902.2500
966.600                    19422.0000
966.700                    19985.5000
966.800                    20689.0000
966.900                    21280.5000
967.000                    21577.2500
967.100                    22358.7500
967.200                    22821.2500
967.300                    23249.5000
967.400                    23366.0000
967.500                    24156.5000
967.600                    24280.5000
967.700                    24437.0000
967.800                    24389.5000
967.900                    24358.5000
968.000                    24170.2500
968.100                    23702.0000
968.200                    23061.2500
968.300                    22732.0000
968.400                    21482.2500
968.500                    20493.5000
968.600                    19417.0000
968.700                    18533.7500
968.800                    17193.7500
968.900                    16167.0000
969.000                    14785.5000
969.100                    13687.5000
969.200                    12623.2500
969.300                    11844.5000
969.400                    11257.7500
969.500                    10391.5000
969.600                     9620.7500
969.700                     9130.5000
969.800                     8726.7500
969.900                     8231.0000
970.000                     8008.0000
970.100                     7827.7500
970.200                     7651.2500
970.300                     7382.5000
970.400                     7192.2500
970.500                     7195.5000
970.600                     7177.7500
970.700                     6959.0000
970.800                     6936.0000
970.900                     6926.5000
971.000                     6778.2500
971.100                     6882.7500
971.200                     6918.7500
971.300                     6852.2500
971.400                     6655.2500
971.500                     6745.5000
971.600                     6746.2500
971.700                     6862.5000
971.800                     6894.0000
971.900                     6787.7500
972.000                     6815.7500
972.100                     6680.5000
972.200                     6665.0000
972.300                     6796.0000
972.400                     6714.0000
972.500                     6730.7500
972.600                     6709.7500
972.700                     6835.2500
972.800                     6714.0000
972.900                     6736.5000
973.000                     6808.7500
973.100                     6750.2500
973.200                     6814.5000
973.300                     6807.2500
973.400                     6727.5000
973.500                     6756.2500
973.600                     6787.2500
973.700                     6879.0000
973.800                     6981.0000
973.900                     6825.2500
974.000                     6762.0000
974.100                     6817.5000
974.200                     6952.2500
974.300                     6997.7500
974.400                     6866.5000
974.500                     7027.0000
974.600                     7113.0000
974.700                     7186.2500
974.800                     7139.2500
974.900                     7197.5000
975.000                     7326.7500
975.100                     7325.7500
975.200                     7230.5000
975.300                     7426.7500
975.400                     7354.5000
975.500                     7495.2500
975.600                     7475.7500
975.700                     7636.0000
975.800                     7830.2500
975.900                     7816.2500
976.000                     7941.0000
976.100                     7894.2500
976.200                     7940.7500
976.300                     7918.0000
976.400                     7866.7500
976.500                     8024.0000
976.600                     7934.7500
976.700                     7966.0000
976.800                     8014.2500
976.900                     7935.0000
977.000                     7777.2500
