# Transition                      O 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              713.6
# End Energy in eV                733.6
# Energy Step in eV               0.1
# Number Of Sweeps                8
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
713.600                    10983.5000
713.700                    11028.7500
713.800                    11016.5000
713.900                    10917.2500
714.000                    10874.7500
714.100                    11203.7500
714.200                    10969.5000
714.300                    10964.2500
714.400                    10940.0000
714.500                    10897.5000
714.600                    10922.5000
714.700                    11038.2500
714.800                    11050.2500
714.900                    10969.0000
715.000                    11139.0000
715.100                    11049.7500
715.200                    11053.2500
715.300                    10974.0000
715.400                    11256.5000
715.500                    11170.7500
715.600                    11194.7500
715.700                    10986.0000
715.800                    11262.0000
715.900                    11275.7500
716.000                    11290.2500
716.100                    11341.0000
716.200                    11218.5000
716.300                    11324.2500
716.400                    11529.5000
716.500                    11440.2500
716.600                    11514.0000
716.700                    11762.2500
716.800                    11666.0000
716.900                    11736.5000
717.000                    12050.7500
717.100                    12061.2500
717.200                    12165.5000
717.300                    12299.5000
717.400                    12470.7500
717.500                    12772.2500
717.600                    13096.5000
717.700                    13313.2500
717.800                    13505.7500
717.900                    13775.5000
718.000                    14006.5000
718.100                    14356.7500
718.200                    14878.7500
718.300                    15320.2500
718.400                    15783.0000
718.500                    15900.2500
718.600                    16459.0000
718.700                    16901.7500
718.800                    17465.0000
718.900                    18188.7500
719.000                    18541.5000
719.100                    19036.5000
719.200                    19787.5000
719.300                    20143.0000
719.400                    20594.0000
719.500                    21305.2500
719.600                    21949.0000
719.700                    22041.5000
719.800                    22735.2500
719.900                    23113.2500
720.000                    23369.7500
720.100                    23257.7500
720.200                    23641.2500
720.300                    23507.5000
720.400                    23299.7500
720.500                    23350.5000
720.600                    23055.2500
720.700                    22729.5000
720.800                    22534.5000
720.900                    22301.2500
721.000                    21975.5000
721.100                    21404.0000
721.200                    21026.2500
721.300                    20748.0000
721.400                    20406.2500
721.500                    20062.2500
721.600                    19825.7500
721.700                    19480.2500
721.800                    19057.2500
721.900                    18566.2500
722.000                    18304.5000
722.100                    18349.5000
722.200                    18129.5000
722.300                    17688.5000
722.400                    17679.5000
722.500                    17428.0000
722.600                    17236.2500
722.700                    16935.2500
722.800                    16644.5000
722.900                    16258.7500
723.000                    15826.2500
723.100                    15466.0000
723.200                    14882.7500
723.300                    14420.5000
723.400                    13969.2500
723.500                    13495.7500
723.600                    13230.0000
723.700                    12659.0000
723.800                    12252.5000
723.900                    11800.2500
724.000                    11560.5000
724.100                    11181.2500
724.200                    11045.7500
724.300                    10912.7500
724.400                    10668.7500
724.500                    10720.0000
724.600                    10643.0000
724.700                    10584.7500
724.800                    10482.2500
724.900                    10265.0000
725.000                    10412.7500
725.100                    10314.2500
725.200                    10370.2500
725.300                    10251.7500
725.400                    10141.2500
725.500                    10156.5000
725.600                    10380.2500
725.700                    10346.5000
725.800                    10305.7500
725.900                    10374.2500
726.000                    10126.2500
726.100                    10245.2500
726.200                    10194.7500
726.300                    10119.5000
726.400                    10183.0000
726.500                    10241.0000
726.600                    10285.2500
726.700                    10522.0000
726.800                    10430.5000
726.900                    10435.2500
727.000                    10298.7500
727.100                    10281.2500
727.200                    10526.7500
727.300                    10563.0000
727.400                    10371.2500
727.500                    10555.0000
727.600                    10852.5000
727.700                    10613.2500
727.800                    10621.7500
727.900                    10662.7500
728.000                    10743.7500
728.100                    10779.7500
728.200                    10855.2500
728.300                    10909.2500
728.400                    10901.7500
728.500                    10864.7500
728.600                    10984.5000
728.700                    11020.5000
728.800                    11065.7500
728.900                    11166.5000
729.000                    11016.7500
729.100                    11078.2500
729.200                    11247.2500
729.300                    11165.5000
729.400                    11118.0000
729.500                    11196.0000
729.600                    11200.5000
729.700                    11101.5000
729.800                    11093.7500
729.900                    11034.5000
730.000                    11010.5000
730.100                    10907.7500
730.200                    10940.7500
730.300                    11092.0000
730.400                    10991.5000
730.500                    10993.2500
730.600                    11032.5000
730.700                    10992.5000
730.800                    10870.0000
730.900                    10917.2500
731.000                    10960.7500
731.100                    11019.0000
731.200                    10822.7500
731.300                    10749.5000
731.400                    10844.5000
731.500                    10683.0000
731.600                    10643.2500
731.700                    10495.5000
731.800                    10389.7500
731.900                    10533.0000
732.000                    10397.2500
732.100                    10258.2500
732.200                    10213.5000
732.300                    10205.0000
732.400                    10092.7500
732.500                    10115.7500
732.600                    10034.7500
732.700                    10011.7500
732.800                     9998.2500
732.900                     9875.5000
733.000                     9736.7500
733.100                    10106.2500
733.200                     9885.7500
733.300                     9841.7500
733.400                     9767.2500
733.500                     9747.0000
733.600                     9684.7500
