# Transition                      Al 2p
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              1160
# End Energy in eV                1185
# Energy Step in eV               0.1
# Number Of Sweeps                6
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
1160.000                    6216.7500
1160.100                    6261.5000
1160.200                    6152.2500
1160.300                    6265.5000
1160.400                    6312.7500
1160.500                    6171.5000
1160.600                    6091.2500
1160.700                    6145.7500
1160.800                    6018.2500
1160.900                    6222.5000
1161.000                    6230.7500
1161.100                    6255.5000
1161.200                    6096.2500
1161.300                    6113.2500
1161.400                    6081.0000
1161.500                    6200.5000
1161.600                    6036.5000
1161.700                    6168.2500
1161.800                    6140.5000
1161.900                    6283.5000
1162.000                    6159.7500
1162.100                    6175.5000
1162.200                    6102.5000
1162.300                    6006.5000
1162.400                    6203.7500
1162.500                    6189.0000
1162.600                    6243.2500
1162.700                    6255.5000
1162.800                    6201.0000
1162.900                    6063.0000
1163.000                    6252.2500
1163.100                    6238.7500
1163.200                    6184.0000
1163.300                    6207.7500
1163.400                    6173.5000
1163.500                    6094.2500
1163.600                    6130.0000
1163.700                    6247.0000
1163.800                    6173.7500
1163.900                    6272.7500
1164.000                    6265.0000
1164.100                    6321.5000
1164.200                    6087.5000
1164.300                    6296.2500
1164.400                    6347.5000
1164.500                    6196.5000
1164.600                    6198.7500
1164.700                    6193.2500
1164.800                    6191.7500
1164.900                    6396.7500
1165.000                    6446.5000
1165.100                    6405.7500
1165.200                    6335.7500
1165.300                    6402.5000
1165.400                    6408.2500
1165.500                    6434.5000
1165.600                    6643.5000
1165.700                    6580.2500
1165.800                    6832.7500
1165.900                    6954.5000
1166.000                    7149.7500
1166.100                    7400.7500
1166.200                    7543.7500
1166.300                    7897.2500
1166.400                    8246.5000
1166.500                    8479.2500
1166.600                    9044.7500
1166.700                    9553.0000
1166.800                   10003.7500
1166.900                   10408.2500
1167.000                   11076.7500
1167.100                   11606.5000
1167.200                   12262.7500
1167.300                   12540.2500
1167.400                   13002.0000
1167.500                   13351.2500
1167.600                   13609.0000
1167.700                   13931.0000
1167.800                   13739.0000
1167.900                   13641.2500
1168.000                   13482.0000
1168.100                   13294.5000
1168.200                   12778.2500
1168.300                   12428.7500
1168.400                   11951.2500
1168.500                   11212.0000
1168.600                   10653.2500
1168.700                   10260.0000
1168.800                    9735.5000
1168.900                    9283.5000
1169.000                    9008.2500
1169.100                    8546.7500
1169.200                    8172.2500
1169.300                    7873.7500
1169.400                    7502.0000
1169.500                    7622.0000
1169.600                    7487.5000
1169.700                    7600.2500
1169.800                    7601.2500
1169.900                    7645.7500
1170.000                    7844.2500
1170.100                    8069.7500
1170.200                    8275.5000
1170.300                    8521.7500
1170.400                    8835.5000
1170.500                    9052.5000
1170.600                    9077.0000
1170.700                    9279.7500
1170.800                    9263.7500
1170.900                    9001.2500
1171.000                    8780.5000
1171.100                    8609.5000
1171.200                    8174.0000
1171.300                    7833.5000
1171.400                    7533.0000
1171.500                    6896.5000
1171.600                    6696.2500
1171.700                    6428.2500
1171.800                    6400.5000
1171.900                    6158.0000
1172.000                    6089.7500
1172.100                    5925.0000
1172.200                    5939.7500
1172.300                    6010.2500
1172.400                    5904.2500
1172.500                    6045.5000
1172.600                    5907.5000
1172.700                    5807.0000
1172.800                    5851.0000
1172.900                    5870.0000
1173.000                    5776.0000
1173.100                    5846.7500
1173.200                    5884.5000
1173.300                    5777.0000
1173.400                    5729.7500
1173.500                    5664.0000
1173.600                    5722.0000
1173.700                    5822.2500
1173.800                    5844.5000
1173.900                    5877.5000
1174.000                    5758.7500
1174.100                    5770.2500
1174.200                    5747.5000
1174.300                    5791.5000
1174.400                    5715.2500
1174.500                    5755.2500
1174.600                    5757.2500
1174.700                    5891.2500
1174.800                    5822.7500
1174.900                    5819.2500
1175.000                    5782.0000
1175.100                    5878.0000
1175.200                    6064.2500
1175.300                    5916.0000
1175.400                    5935.2500
1175.500                    6157.7500
1175.600                    6086.2500
1175.700                    6145.7500
1175.800                    6125.7500
1175.900                    6117.5000
1176.000                    6112.7500
1176.100                    6264.2500
1176.200                    6331.7500
1176.300                    6267.2500
1176.400                    6254.7500
1176.500                    6219.0000
1176.600                    6210.5000
1176.700                    6186.7500
1176.800                    6160.5000
1176.900                    6265.7500
1177.000                    6294.7500
1177.100                    6352.5000
1177.200                    6222.5000
1177.300                    6142.2500
1177.400                    6194.7500
1177.500                    6234.5000
1177.600                    6261.7500
1177.700                    6103.5000
1177.800                    6207.0000
1177.900                    6218.2500
1178.000                    6254.0000
1178.100                    6207.7500
1178.200                    6352.5000
1178.300                    6396.2500
1178.400                    6452.7500
1178.500                    6376.0000
1178.600                    6201.0000
1178.700                    6236.2500
1178.800                    6121.2500
1178.900                    6126.5000
1179.000                    6136.0000
1179.100                    6104.5000
1179.200                    6074.2500
