# Transition                      C 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              945
# End Energy in eV                975
# Energy Step in eV               0.1
# Number Of Sweeps                5
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
945.000                     7926.7500
945.100                     7978.5000
945.200                     8014.2500
945.300                     7996.0000
945.400                     7935.5000
945.500                     7922.5000
945.600                     7907.7500
945.700                     7863.0000
945.800                     7831.2500
945.900                     7864.5000
946.000                     7925.2500
946.100                     7879.2500
946.200                     7937.2500
946.300                     7845.2500
946.400                     7724.7500
946.500                     7789.7500
946.600                     7674.7500
946.700                     7697.7500
946.800                     7620.0000
946.900                     7726.0000
947.000                     7567.7500
947.100                     7681.0000
947.200                     7593.2500
947.300                     7682.7500
947.400                     7609.0000
947.500                     7594.7500
947.600                     7611.5000
947.700                     7510.7500
947.800                     7643.7500
947.900                     7480.5000
948.000                     7515.5000
948.100                     7448.0000
948.200                     7528.7500
948.300                     7500.0000
948.400                     7606.7500
948.500                     7561.2500
948.600                     7629.2500
948.700                     7502.7500
948.800                     7432.5000
948.900                     7563.5000
949.000                     7586.2500
949.100                     7583.7500
949.200                     7623.2500
949.300                     7636.7500
949.400                     7710.5000
949.500                     7694.7500
949.600                     7622.2500
949.700                     7758.5000
949.800                     7755.5000
949.900                     7731.5000
950.000                     7678.5000
950.100                     7512.7500
950.200                     7618.2500
950.300                     7694.7500
950.400                     7630.5000
950.500                     7561.7500
950.600                     7717.7500
950.700                     7606.5000
950.800                     7710.7500
950.900                     7634.5000
951.000                     7715.7500
951.100                     7670.0000
951.200                     7690.5000
951.300                     7540.0000
951.400                     7540.7500
951.500                     7641.5000
951.600                     7687.5000
951.700                     7661.5000
951.800                     7772.0000
951.900                     7605.0000
952.000                     7748.5000
952.100                     7666.5000
952.200                     7760.7500
952.300                     7608.5000
952.400                     7674.2500
952.500                     7801.5000
952.600                     7736.0000
952.700                     7826.5000
952.800                     7747.7500
952.900                     7785.7500
953.000                     7879.2500
953.100                     7697.0000
953.200                     7673.0000
953.300                     7784.5000
953.400                     7763.7500
953.500                     7801.7500
953.600                     7756.7500
953.700                     7663.5000
953.800                     7765.7500
953.900                     7822.2500
954.000                     7801.2500
954.100                     7842.0000
954.200                     7750.7500
954.300                     7872.0000
954.400                     7923.7500
954.500                     7933.7500
954.600                     7847.0000
954.700                     7997.0000
954.800                     7801.5000
954.900                     7788.5000
955.000                     7901.0000
955.100                     7927.7500
955.200                     7778.0000
955.300                     7788.2500
955.400                     7863.2500
955.500                     7923.2500
955.600                     8064.0000
955.700                     8040.0000
955.800                     7890.5000
955.900                     8038.0000
956.000                     7973.0000
956.100                     8116.2500
956.200                     8173.7500
956.300                     8130.7500
956.400                     8279.2500
956.500                     8217.0000
956.600                     8288.7500
956.700                     8429.0000
956.800                     8488.0000
956.900                     8784.2500
957.000                     8769.0000
957.100                     8963.2500
957.200                     9028.7500
957.300                     9419.5000
957.400                     9647.7500
957.500                     9935.0000
957.600                    10128.5000
957.700                    10360.7500
957.800                    10494.2500
957.900                    10668.2500
958.000                    10747.7500
958.100                    11184.2500
958.200                    11175.0000
958.300                    11265.0000
958.400                    11300.7500
958.500                    11087.2500
958.600                    11080.5000
958.700                    11186.0000
958.800                    11006.5000
958.900                    10591.5000
959.000                    10330.0000
959.100                    10158.7500
959.200                     9922.0000
959.300                     9614.2500
959.400                     9442.7500
959.500                     9150.0000
959.600                     9124.5000
959.700                     8743.2500
959.800                     8562.0000
959.900                     8478.7500
960.000                     8450.0000
960.100                     8288.0000
960.200                     8177.7500
960.300                     8065.0000
960.400                     7884.5000
960.500                     7681.7500
960.600                     7678.0000
960.700                     7541.2500
960.800                     7624.0000
960.900                     7731.2500
961.000                     7619.5000
961.100                     7574.5000
961.200                     7613.7500
961.300                     7670.7500
961.400                     7640.5000
961.500                     7328.0000
961.600                     7445.5000
961.700                     7530.5000
961.800                     7512.2500
961.900                     7525.2500
962.000                     7488.7500
962.100                     7461.7500
962.200                     7581.7500
962.300                     7609.2500
962.400                     7468.2500
962.500                     7443.2500
962.600                     7433.5000
962.700                     7547.7500
962.800                     7438.5000
962.900                     7418.7500
963.000                     7633.7500
963.100                     7587.5000
963.200                     7450.5000
963.300                     7603.0000
963.400                     7480.7500
963.500                     7417.5000
963.600                     7505.2500
963.700                     7506.2500
963.800                     7538.0000
963.900                     7528.2500
964.000                     7494.2500
964.100                     7559.0000
964.200                     7599.5000
964.300                     7608.2500
964.400                     7519.0000
964.500                     7475.2500
964.600                     7529.7500
964.700                     7550.5000
964.800                     7482.2500
964.900                     7615.5000
965.000                     7440.7500
965.100                     7414.2500
965.200                     7454.7500
965.300                     7525.7500
965.400                     7626.0000
965.500                     7654.7500
965.600                     7582.5000
965.700                     7487.5000
965.800                     7515.0000
965.900                     7615.5000
966.000                     7677.0000
966.100                     7685.0000
966.200                     7808.0000
966.300                     7790.2500
966.400                     7741.0000
966.500                     7808.0000
966.600                     7862.5000
966.700                     7789.2500
966.800                     7817.5000
966.900                     7928.2500
967.000                     7792.2500
967.100                     7675.5000
967.200                     7871.5000
967.300                     7833.2500
967.400                     7765.0000
967.500                     7818.5000
967.600                     7722.7500
967.700                     7797.5000
967.800                     7814.5000
967.900                     7722.5000
968.000                     7805.2500
968.100                     7885.5000
968.200                     7747.0000
968.300                     7712.2500
968.400                     7817.0000
968.500                     7879.2500
968.600                     7723.2500
968.700                     7634.0000
968.800                     7783.7500
968.900                     7799.7500
969.000                     7801.0000
969.100                     7714.5000
969.200                     7713.7500
969.300                     7634.0000
969.400                     7670.5000
969.500                     7498.2500
969.600                     7474.7500
969.700                     7561.7500
969.800                     7484.7500
969.900                     7415.2500
970.000                     7304.5000
970.100                     7575.2500
970.200                     7544.2500
970.300                     7523.7500
970.400                     7499.2500
970.500                     7436.5000
970.600                     7360.2500
970.700                     7286.7500
970.800                     7535.0000
970.900                     7568.5000
971.000                     7576.7500
971.100                     7391.0000
971.200                     7361.7500
971.300                     7453.2500
971.400                     7514.2500
971.500                     7427.5000
971.600                     7491.5000
971.700                     7501.2500
971.800                     7472.2500
971.900                     7443.7500
972.000                     7371.0000
972.100                     7516.5000
972.200                     7539.7500
972.300                     7545.0000
972.400                     7494.5000
972.500                     7454.2500
972.600                     7403.2500
972.700                     7528.0000
972.800                     7478.7500
972.900                     7524.5000
973.000                     7310.0000
973.100                     7422.7500
973.200                     7556.2500
973.300                     7448.2500
973.400                     7553.5000
973.500                     7514.7500
973.600                     7626.0000
973.700                     7489.0000
973.800                     7549.7500
973.900                     7650.2500
974.000                     7481.2500
974.100                     7542.0000
974.200                     7592.2500
974.300                     7688.5000
974.400                     7645.5000
974.500                     7549.5000
974.600                     7348.0000
974.700                     7472.0000
974.800                     7629.2500
974.900                     7734.2500
975.000                     7551.5000
