# Transition                      O 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              705
# End Energy in eV                735
# Energy Step in eV               0.1
# Number Of Sweeps                1
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
705.000                     1860.2500
705.100                     1871.5000
705.200                     1887.7500
705.300                     1863.2500
705.400                     1844.0000
705.500                     1838.5000
705.600                     1840.0000
705.700                     1790.7500
705.800                     1769.7500
705.900                     1860.7500
706.000                     1829.5000
706.100                     1845.0000
706.200                     1808.0000
706.300                     1782.7500
706.400                     1756.2500
706.500                     1778.2500
706.600                     1798.0000
706.700                     1892.2500
706.800                     1834.2500
706.900                     1800.2500
707.000                     1753.0000
707.100                     1816.5000
707.200                     1811.2500
707.300                     1907.5000
707.400                     1778.5000
707.500                     1748.7500
707.600                     1822.7500
707.700                     1776.5000
707.800                     1783.2500
707.900                     1814.5000
708.000                     1829.7500
708.100                     1847.2500
708.200                     1883.5000
708.300                     1831.2500
708.400                     1825.0000
708.500                     1874.7500
708.600                     1812.5000
708.700                     1892.7500
708.800                     1873.7500
708.900                     1929.5000
709.000                     1962.5000
709.100                     1936.5000
709.200                     2008.2500
709.300                     2023.0000
709.400                     2066.7500
709.500                     2108.7500
709.600                     2101.7500
709.700                     2207.5000
709.800                     2290.5000
709.900                     2426.2500
710.000                     2489.2500
710.100                     2509.7500
710.200                     2644.2500
710.300                     2803.0000
710.400                     2965.5000
710.500                     3145.0000
710.600                     3279.7500
710.700                     3490.2500
710.800                     3722.7500
710.900                     3960.2500
711.000                     4342.7500
711.100                     4509.0000
711.200                     4787.5000
711.300                     5209.2500
711.400                     5516.5000
711.500                     5963.5000
711.600                     6299.2500
711.700                     6799.7500
711.800                     7251.7500
711.900                     7693.0000
712.000                     8009.5000
712.100                     8488.5000
712.200                     8826.0000
712.300                     9296.2500
712.400                     9354.5000
712.500                     9541.0000
712.600                     9715.2500
712.700                     9714.5000
712.800                     9539.5000
712.900                     9427.2500
713.000                     9249.2500
713.100                     8895.2500
713.200                     8555.0000
713.300                     8259.5000
713.400                     7687.7500
713.500                     7115.0000
713.600                     6630.2500
