# Transition                      In 3d
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              793.6
# End Energy in eV                833.6
# Energy Step in eV               0.1
# Number Of Sweeps                2
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
793.600                    12914.7500
793.700                    13020.5000
793.800                    12906.5000
793.900                    12971.0000
794.000                    12930.2500
794.100                    13059.0000
794.200                    12902.0000
794.300                    12792.5000
794.400                    12741.5000
794.500                    12573.5000
794.600                    12689.7500
794.700                    12729.0000
794.800                    12812.0000
794.900                    12703.5000
795.000                    12597.0000
795.100                    12604.0000
795.200                    12533.0000
795.300                    12761.0000
795.400                    12512.5000
795.500                    12490.2500
795.600                    12569.5000
795.700                    12615.2500
795.800                    12476.7500
795.900                    12398.5000
796.000                    12504.5000
796.100                    12473.7500
796.200                    12426.0000
796.300                    12448.2500
796.400                    12368.7500
796.500                    12450.7500
796.600                    12478.5000
796.700                    12502.0000
796.800                    12432.5000
796.900                    12522.0000
797.000                    12534.0000
797.100                    12493.5000
797.200                    12654.0000
797.300                    12644.0000
797.400                    12658.0000
797.500                    12508.5000
797.600                    12576.2500
797.700                    12714.5000
797.800                    12657.7500
797.900                    12871.7500
798.000                    12878.5000
798.100                    12763.0000
798.200                    12859.5000
798.300                    12873.7500
798.400                    13039.2500
798.500                    13436.0000
798.600                    13561.5000
798.700                    13661.5000
798.800                    13998.0000
798.900                    14441.2500
799.000                    15020.2500
799.100                    15725.5000
799.200                    16277.7500
799.300                    17142.0000
799.400                    18106.0000
799.500                    19444.7500
799.600                    21110.7500
799.700                    22894.5000
799.800                    25036.5000
799.900                    27474.7500
800.000                    29777.2500
800.100                    32933.0000
800.200                    36707.7500
800.300                    39942.7500
800.400                    43901.0000
800.500                    47245.0000
800.600                    50186.7500
800.700                    53783.0000
800.800                    56693.7500
800.900                    59011.5000
801.000                    60437.0000
801.100                    60545.0000
801.200                    60125.7500
801.300                    58439.5000
801.400                    56140.0000
801.500                    52955.2500
801.600                    49842.2500
801.700                    45970.7500
801.800                    41761.2500
801.900                    37504.7500
802.000                    33320.7500
802.100                    29556.5000
802.200                    26063.0000
802.300                    23468.2500
802.400                    20687.0000
802.500                    18556.5000
802.600                    16964.0000
802.700                    15547.5000
802.800                    14578.2500
802.900                    13537.5000
803.000                    12802.2500
803.100                    12179.7500
803.200                    11637.5000
803.300                    11454.0000
803.400                    11079.2500
803.500                    10879.0000
803.600                    10539.0000
803.700                    10399.0000
803.800                    10291.5000
803.900                    10038.7500
804.000                     9797.7500
804.100                     9689.7500
804.200                     9812.7500
804.300                     9595.5000
804.400                     9457.7500
804.500                     9497.7500
804.600                     9323.7500
804.700                     9614.0000
804.800                     9480.0000
804.900                     9497.0000
805.000                     9433.5000
805.100                     9403.7500
805.200                     9493.5000
805.300                     9620.7500
805.400                     9593.2500
805.500                     9662.2500
805.600                     9810.7500
805.700                    10003.5000
805.800                    10128.0000
805.900                    10450.0000
806.000                    10706.7500
806.100                    11148.2500
806.200                    11346.7500
806.300                    11783.7500
806.400                    12478.7500
806.500                    13023.2500
806.600                    13775.5000
806.700                    14776.2500
806.800                    15940.0000
806.900                    17253.2500
807.000                    19022.5000
807.100                    21162.5000
807.200                    23748.0000
807.300                    26535.7500
807.400                    29901.7500
807.500                    33703.7500
807.600                    37583.5000
807.700                    42197.5000
807.800                    47405.0000
807.900                    52285.7500
808.000                    57832.7500
808.100                    63117.2500
808.200                    67981.0000
808.300                    72691.7500
808.400                    76338.2500
808.500                    78828.7500
808.600                    80378.0000
808.700                    80751.5000
808.800                    80219.2500
808.900                    77655.7500
809.000                    74443.0000
809.100                    69711.2500
809.200                    65018.2500
809.300                    59247.0000
809.400                    54043.5000
809.500                    47732.2500
809.600                    42256.5000
809.700                    37197.0000
809.800                    32284.0000
809.900                    28562.5000
810.000                    25056.5000
810.100                    22303.2500
810.200                    19851.7500
810.300                    17998.2500
810.400                    16366.0000
810.500                    15025.5000
810.600                    14033.7500
810.700                    13342.7500
810.800                    12492.2500
810.900                    11999.2500
811.000                    11582.0000
811.100                    11299.0000
811.200                    11025.7500
811.300                    10730.0000
811.400                    10426.7500
811.500                     9992.5000
811.600                     9691.2500
811.700                     9565.0000
811.800                     9076.7500
811.900                     9020.2500
812.000                     8638.2500
812.100                     8299.7500
812.200                     7934.7500
812.300                     7631.2500
812.400                     7382.2500
812.500                     7170.7500
812.600                     6970.2500
812.700                     6781.7500
812.800                     6607.2500
812.900                     6476.0000
813.000                     6368.7500
813.100                     6271.7500
813.200                     6372.2500
813.300                     6139.2500
813.400                     6064.2500
813.500                     5932.5000
813.600                     6081.5000
813.700                     5990.0000
813.800                     5871.7500
813.900                     5769.2500
814.000                     5770.0000
814.100                     5813.7500
814.200                     5650.0000
814.300                     5638.0000
814.400                     5563.0000
814.500                     5656.2500
814.600                     5448.5000
814.700                     5385.2500
814.800                     5332.2500
814.900                     5332.0000
815.000                     5438.0000
815.100                     5287.5000
815.200                     5397.5000
815.300                     5471.5000
815.400                     5516.7500
815.500                     5590.2500
815.600                     5715.2500
815.700                     6015.2500
815.800                     6180.5000
815.900                     6320.5000
816.000                     6556.2500
816.100                     6875.2500
816.200                     7437.2500
816.300                     7738.2500
816.400                     8067.7500
816.500                     8308.2500
816.600                     8778.2500
816.700                     9208.5000
816.800                     9518.5000
816.900                     9883.7500
817.000                    10106.0000
817.100                    10090.7500
817.200                    10136.5000
817.300                     9966.2500
817.400                     9989.0000
817.500                    10044.7500
817.600                     9923.0000
817.700                     9734.2500
817.800                     9553.7500
817.900                     9299.5000
818.000                     9153.2500
818.100                     9074.5000
818.200                     9023.7500
818.300                     9033.0000
818.400                     9017.5000
818.500                     8870.5000
818.600                     8828.2500
818.700                     8859.2500
818.800                     8878.0000
818.900                     8712.7500
819.000                     8586.0000
819.100                     8600.2500
819.200                     8420.2500
819.300                     8186.5000
819.400                     8022.7500
819.500                     7751.0000
819.600                     7230.5000
819.700                     6820.5000
819.800                     6652.7500
819.900                     6287.2500
820.000                     6080.2500
820.100                     5751.0000
820.200                     5495.5000
820.300                     5224.0000
820.400                     5086.5000
820.500                     5002.7500
820.600                     4733.0000
820.700                     4685.5000
820.800                     4431.5000
820.900                     4517.7500
821.000                     4399.2500
821.100                     4328.0000
821.200                     4316.5000
821.300                     4373.2500
821.400                     4194.5000
821.500                     4198.2500
821.600                     4201.7500
821.700                     4133.5000
821.800                     4160.5000
821.900                     4100.7500
822.000                     4073.0000
822.100                     4027.2500
822.200                     4054.2500
822.300                     3994.2500
822.400                     3950.5000
822.500                     3927.0000
822.600                     3791.7500
822.700                     3742.2500
822.800                     3846.7500
822.900                     3803.7500
823.000                     3784.0000
823.100                     3832.2500
823.200                     3798.2500
823.300                     3778.7500
823.400                     3710.7500
823.500                     3801.0000
823.600                     3688.7500
823.700                     3736.2500
823.800                     3733.7500
823.900                     3697.5000
824.000                     3755.7500
824.100                     3757.2500
824.200                     3747.5000
824.300                     3678.2500
824.400                     3726.7500
824.500                     3804.2500
824.600                     3730.0000
824.700                     3807.7500
824.800                     3806.0000
824.900                     3757.5000
825.000                     3817.2500
825.100                     3890.0000
825.200                     3872.2500
825.300                     3896.5000
825.400                     3906.0000
825.500                     3893.2500
825.600                     3951.5000
825.700                     3955.5000
825.800                     3850.7500
825.900                     3918.0000
826.000                     3920.0000
826.100                     3910.0000
826.200                     4053.0000
826.300                     3981.0000
826.400                     3957.7500
826.500                     3968.0000
826.600                     3944.7500
826.700                     3955.5000
826.800                     3978.2500
826.900                     3862.5000
827.000                     3965.2500
827.100                     3870.7500
827.200                     3849.0000
827.300                     3771.0000
827.400                     3789.0000
827.500                     3893.0000
827.600                     3835.7500
827.700                     3855.5000
827.800                     3853.0000
827.900                     3941.5000
828.000                     3872.2500
828.100                     3836.2500
828.200                     3790.0000
828.300                     3757.0000
828.400                     3783.7500
828.500                     3846.5000
828.600                     3748.7500
828.700                     3779.7500
828.800                     3843.2500
828.900                     3837.7500
829.000                     3716.5000
829.100                     3758.7500
829.200                     3832.7500
829.300                     3751.0000
829.400                     3780.7500
829.500                     3833.5000
829.600                     3762.5000
829.700                     3772.5000
829.800                     3719.0000
829.900                     3780.0000
830.000                     3713.7500
830.100                     3684.0000
830.200                     3728.0000
830.300                     3661.7500
830.400                     3663.5000
830.500                     3673.7500
830.600                     3638.2500
830.700                     3577.5000
830.800                     3554.2500
830.900                     3588.0000
831.000                     3525.7500
831.100                     3497.5000
831.200                     3518.5000
831.300                     3584.5000
831.400                     3591.5000
831.500                     3504.5000
831.600                     3469.0000
831.700                     3399.2500
831.800                     3385.5000
831.900                     3413.7500
832.000                     3455.7500
832.100                     3459.2500
832.200                     3454.0000
832.300                     3512.5000
832.400                     3429.7500
832.500                     3411.2500
832.600                     3467.7500
832.700                     3447.2500
832.800                     3366.7500
832.900                     3342.7500
833.000                     3395.2500
833.100                     3380.7500
833.200                     3379.0000
833.300                     3486.5000
833.400                     3380.7500
833.500                     3418.7500
833.600                     3431.2500
