# Transition                      C 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              957.6
# End Energy in eV                983.6
# Energy Step in eV               0.1
# Number Of Sweeps                15
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
957.600                    22606.0000
957.700                    22933.5000
957.800                    22551.5000
957.900                    22757.0000
958.000                    22602.5000
958.100                    22528.7500
958.200                    22724.7500
958.300                    22557.5000
958.400                    22740.0000
958.500                    22716.7500
958.600                    22548.5000
958.700                    22410.0000
958.800                    22311.0000
958.900                    22632.0000
959.000                    22576.0000
959.100                    22509.2500
959.200                    22599.2500
959.300                    22524.0000
959.400                    22711.7500
959.500                    22754.7500
959.600                    22808.2500
959.700                    22711.7500
959.800                    22659.2500
959.900                    22635.5000
960.000                    22612.2500
960.100                    22480.0000
960.200                    22736.2500
960.300                    22678.7500
960.400                    22627.2500
960.500                    22681.0000
960.600                    22525.2500
960.700                    22788.7500
960.800                    22796.7500
960.900                    22730.5000
961.000                    22725.5000
961.100                    22648.2500
961.200                    22728.2500
961.300                    22535.2500
961.400                    22670.2500
961.500                    22882.5000
961.600                    22600.7500
961.700                    22766.0000
961.800                    22754.2500
961.900                    22769.7500
962.000                    22714.5000
962.100                    22788.0000
962.200                    22709.2500
962.300                    22927.5000
962.400                    22784.2500
962.500                    22950.0000
962.600                    22831.5000
962.700                    22810.2500
962.800                    22827.7500
962.900                    23000.7500
963.000                    23018.0000
963.100                    23011.0000
963.200                    23005.2500
963.300                    23036.7500
963.400                    22770.2500
963.500                    22970.5000
963.600                    23045.2500
963.700                    23147.5000
963.800                    23083.0000
963.900                    23273.5000
964.000                    23299.7500
964.100                    23318.5000
964.200                    23382.5000
964.300                    23373.0000
964.400                    23459.5000
964.500                    23356.2500
964.600                    23227.2500
964.700                    23598.2500
964.800                    23370.7500
964.900                    23111.2500
965.000                    23078.0000
965.100                    23015.2500
965.200                    23297.7500
965.300                    23302.2500
965.400                    23228.5000
965.500                    23317.2500
965.600                    23077.0000
965.700                    23063.5000
965.800                    23179.5000
965.900                    23154.7500
966.000                    23390.5000
966.100                    23393.2500
966.200                    23408.5000
966.300                    23825.2500
966.400                    23672.7500
966.500                    23682.5000
966.600                    23809.0000
966.700                    24141.7500
966.800                    24237.0000
966.900                    24282.0000
967.000                    24928.7500
967.100                    25035.7500
967.200                    25011.2500
967.300                    25682.7500
967.400                    26208.7500
967.500                    26901.2500
967.600                    27208.7500
967.700                    27587.2500
967.800                    28121.2500
967.900                    28421.5000
968.000                    28893.0000
968.100                    29211.0000
968.200                    29658.2500
968.300                    29915.2500
968.400                    29864.0000
968.500                    29858.0000
968.600                    29598.0000
968.700                    29576.5000
968.800                    29142.5000
968.900                    28873.7500
969.000                    28054.2500
969.100                    27569.5000
969.200                    26880.2500
969.300                    26435.2500
969.400                    25843.5000
969.500                    25320.2500
969.600                    24891.7500
969.700                    24619.0000
969.800                    24011.2500
969.900                    23659.7500
970.000                    23673.5000
970.100                    23354.5000
970.200                    23382.2500
970.300                    22761.7500
970.400                    22460.5000
970.500                    22321.0000
970.600                    22379.0000
970.700                    22302.0000
970.800                    22297.0000
970.900                    22103.2500
971.000                    22086.2500
971.100                    22124.0000
971.200                    21890.5000
971.300                    22095.7500
971.400                    21984.2500
971.500                    21750.0000
971.600                    21784.0000
971.700                    21834.2500
971.800                    21893.0000
971.900                    21807.5000
972.000                    22108.0000
972.100                    22006.0000
972.200                    22020.2500
972.300                    21952.0000
972.400                    21863.7500
972.500                    21731.2500
972.600                    21794.2500
972.700                    22032.2500
972.800                    21749.5000
972.900                    21869.0000
973.000                    21959.5000
973.100                    21982.0000
973.200                    21891.2500
973.300                    21877.7500
973.400                    21661.5000
973.500                    21947.5000
973.600                    22180.5000
973.700                    22184.5000
973.800                    21997.7500
973.900                    21917.0000
974.000                    21830.0000
974.100                    22000.0000
974.200                    21869.7500
974.300                    21778.7500
974.400                    21879.2500
974.500                    21837.5000
974.600                    21961.2500
974.700                    21955.0000
974.800                    21744.0000
974.900                    21818.7500
975.000                    21812.7500
975.100                    21828.2500
975.200                    21955.0000
975.300                    21717.5000
975.400                    21958.7500
975.500                    22189.0000
975.600                    22080.5000
975.700                    21977.7500
975.800                    22002.5000
975.900                    21819.7500
976.000                    22033.2500
976.100                    22085.2500
976.200                    22220.5000
976.300                    22373.5000
976.400                    22416.2500
976.500                    22244.2500
976.600                    22300.0000
976.700                    22270.5000
976.800                    22401.5000
976.900                    22442.2500
977.000                    22449.2500
977.100                    22285.0000
977.200                    22209.2500
977.300                    22519.2500
977.400                    22307.2500
977.500                    22264.0000
977.600                    22206.0000
977.700                    22156.7500
977.800                    22202.0000
977.900                    22311.2500
978.000                    22335.2500
978.100                    22364.7500
978.200                    22377.0000
978.300                    22282.0000
978.400                    22214.7500
