# Transition                      Sn 3d
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              749.6
# End Energy in eV                779.6
# Energy Step in eV               0.1
# Number Of Sweeps                15
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
749.600                    90187.7500
749.700                    89609.0000
749.800                    89469.2500
749.900                    89622.0000
750.000                    89821.0000
750.100                    90166.0000
750.200                    90270.5000
750.300                    89687.0000
750.400                    89625.7500
750.500                    89536.7500
750.600                    89985.2500
750.700                    89468.7500
750.800                    89423.5000
750.900                    89581.2500
751.000                    90214.5000
751.100                    90111.0000
751.200                    90002.0000
751.300                    89697.0000
751.400                    89311.0000
751.500                    89529.5000
751.600                    89066.7500
751.700                    89363.0000
751.800                    89510.7500
751.900                    89400.5000
752.000                    89910.5000
752.100                    89286.7500
752.200                    89206.0000
752.300                    88845.5000
752.400                    89544.2500
752.500                    89373.7500
752.600                    88958.7500
752.700                    89228.7500
752.800                    89434.2500
752.900                    89029.0000
753.000                    89502.7500
753.100                    88826.0000
753.200                    88671.2500
753.300                    89215.0000
753.400                    88783.5000
753.500                    88760.7500
753.600                    89242.2500
753.700                    88914.5000
753.800                    89102.2500
753.900                    88701.0000
754.000                    88755.2500
754.100                    88882.2500
754.200                    88730.5000
754.300                    88533.0000
754.400                    89036.5000
754.500                    88319.5000
754.600                    88604.5000
754.700                    88222.0000
754.800                    88973.5000
754.900                    88666.5000
755.000                    88037.7500
755.100                    88668.7500
755.200                    88903.2500
755.300                    88554.7500
755.400                    88950.2500
755.500                    88269.7500
755.600                    88862.7500
755.700                    88950.0000
755.800                    88954.2500
755.900                    88467.7500
756.000                    89183.5000
756.100                    89731.5000
756.200                    89627.0000
756.300                    89649.2500
756.400                    90053.0000
756.500                    90338.7500
756.600                    90997.2500
756.700                    91591.7500
756.800                    92594.7500
756.900                    93279.2500
757.000                    93769.0000
757.100                    95514.0000
757.200                    96609.5000
757.300                    98042.7500
757.400                    98776.0000
757.500                   100515.7500
757.600                   102004.0000
757.700                   104013.2500
757.800                   105079.2500
757.900                   106229.0000
758.000                   107426.7500
758.100                   108436.2500
758.200                   109549.2500
758.300                   109992.0000
758.400                   109841.0000
758.500                   109361.2500
758.600                   108799.2500
758.700                   108262.2500
758.800                   106890.2500
758.900                   105728.5000
759.000                   104809.2500
759.100                   102892.7500
759.200                   100585.5000
759.300                    99003.7500
759.400                    97523.2500
759.500                    95510.5000
759.600                    94332.5000
759.700                    93143.5000
759.800                    91884.7500
759.900                    90664.7500
760.000                    89897.2500
760.100                    89509.7500
760.200                    89142.2500
760.300                    88609.7500
760.400                    88272.0000
760.500                    87920.2500
760.600                    87691.5000
760.700                    87175.0000
760.800                    87542.5000
760.900                    87202.0000
761.000                    86858.2500
761.100                    87158.0000
761.200                    86868.0000
761.300                    86656.2500
761.400                    86700.5000
761.500                    86690.0000
761.600                    87080.7500
