# Transition                      O 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              715.6
# End Energy in eV                738.6
# Energy Step in eV               0.1
# Number Of Sweeps                10
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
715.600                    59889.7500
715.700                    59760.0000
715.800                    60087.0000
715.900                    59615.5000
716.000                    59720.2500
716.100                    59795.5000
716.200                    59852.2500
716.300                    59743.5000
716.400                    60009.2500
716.500                    60045.2500
716.600                    59208.0000
716.700                    59438.5000
716.800                    59654.0000
716.900                    59575.0000
717.000                    59566.2500
717.100                    59845.5000
717.200                    60054.2500
717.300                    59378.5000
717.400                    59513.2500
717.500                    59339.5000
717.600                    59180.5000
717.700                    58811.5000
717.800                    59467.2500
717.900                    59061.7500
718.000                    59277.7500
718.100                    59408.7500
718.200                    59492.0000
718.300                    59613.0000
718.400                    59512.0000
718.500                    59503.5000
718.600                    59709.7500
718.700                    60192.5000
718.800                    59864.7500
718.900                    60294.5000
719.000                    60478.2500
719.100                    60843.5000
719.200                    60863.2500
719.300                    61645.7500
719.400                    61507.5000
719.500                    62311.2500
719.600                    62571.0000
719.700                    63943.5000
719.800                    64367.2500
719.900                    65685.5000
720.000                    66155.7500
720.100                    67018.2500
720.200                    68350.7500
720.300                    69717.2500
720.400                    71611.5000
720.500                    72816.5000
720.600                    74392.5000
720.700                    76187.7500
720.800                    77168.0000
720.900                    78762.7500
721.000                    80122.0000
721.100                    81404.5000
721.200                    82665.0000
721.300                    83276.7500
721.400                    84370.2500
721.500                    85226.0000
721.600                    85916.7500
721.700                    86215.2500
721.800                    87317.5000
721.900                    87679.0000
722.000                    88511.5000
722.100                    88940.7500
722.200                    89744.2500
722.300                    91139.0000
722.400                    91946.5000
722.500                    92727.7500
722.600                    93728.2500
722.700                    95356.5000
722.800                    96499.5000
722.900                    96709.0000
723.000                    98364.7500
723.100                    98545.7500
723.200                    98598.7500
723.300                    98496.7500
723.400                    97625.0000
723.500                    96513.0000
723.600                    94753.5000
723.700                    92295.0000
723.800                    89667.0000
723.900                    86785.7500
724.000                    84295.7500
724.100                    80682.0000
724.200                    77544.0000
724.300                    74535.2500
724.400                    71603.2500
724.500                    69199.2500
724.600                    67302.2500
724.700                    65763.2500
724.800                    63710.0000
724.900                    63105.7500
725.000                    61705.7500
725.100                    60936.0000
725.200                    60243.0000
725.300                    59941.0000
725.400                    59368.2500
725.500                    59326.0000
725.600                    59058.5000
725.700                    58755.0000
725.800                    58336.5000
725.900                    58299.7500
726.000                    58244.0000
726.100                    58184.5000
726.200                    58284.0000
726.300                    58221.7500
726.400                    58299.7500
726.500                    58148.5000
726.600                    57850.5000
726.700                    57986.2500
726.800                    57805.5000
726.900                    58122.0000
727.000                    58386.5000
727.100                    57811.0000
727.200                    57998.0000
727.300                    58067.7500
727.400                    57589.5000
727.500                    57975.5000
727.600                    58120.0000
727.700                    57658.2500
727.800                    57539.7500
727.900                    57699.2500
728.000                    58077.0000
728.100                    58114.5000
728.200                    58068.5000
728.300                    58365.5000
728.400                    57919.2500
728.500                    57898.0000
728.600                    57849.7500
728.700                    58135.5000
728.800                    58374.7500
728.900                    58333.0000
729.000                    58518.0000
729.100                    58642.7500
729.200                    58638.2500
729.300                    59010.5000
729.400                    58640.7500
729.500                    58824.7500
729.600                    59057.0000
729.700                    59156.0000
729.800                    58894.0000
729.900                    59352.2500
730.000                    59183.0000
730.100                    59377.5000
730.200                    59520.5000
730.300                    59699.0000
730.400                    59527.7500
730.500                    59550.2500
730.600                    59951.0000
730.700                    60116.0000
730.800                    60521.5000
730.900                    60458.0000
731.000                    60683.0000
731.100                    60643.2500
731.200                    60681.0000
731.300                    61121.5000
731.400                    61586.0000
731.500                    61486.0000
731.600                    61491.7500
731.700                    61427.2500
731.800                    61211.5000
