# Transition                      wide 
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              150
# End Energy in eV                1260
# Energy Step in eV               0.5
# Number Of Sweeps                1
# Dwell Time per Sweep in s       0.2
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  50
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
150.000                    92533.6000
150.500                    91962.4000
151.000                    92000.0000
151.500                    91720.3000
152.000                    92057.7000
152.500                    92518.2000
153.000                    92237.9000
153.500                    92395.0000
154.000                    91917.6000
154.500                    91763.9000
155.000                    91790.7000
155.500                    91570.9000
156.000                    92046.5000
156.500                    92265.9000
157.000                    91871.6000
157.500                    91616.1000
158.000                    91418.1000
158.500                    91704.7000
159.000                    91820.2000
159.500                    91859.4000
160.000                    91933.4000
160.500                    91088.8000
161.000                    91004.8000
161.500                    90332.2000
162.000                    90458.0000
162.500                    90561.3000
163.000                    90138.7000
163.500                    89545.7000
164.000                    88889.1000
164.500                    88784.3000
165.000                    88610.9000
165.500                    88071.2000
166.000                    87903.1000
166.500                    87802.7000
167.000                    87187.8000
167.500                    87884.7000
168.000                    87315.6000
168.500                    87326.2000
169.000                    87073.7000
169.500                    86561.7000
170.000                    86734.3000
170.500                    86323.7000
171.000                    85947.6000
171.500                    85724.3000
172.000                    85725.0000
172.500                    85759.6000
173.000                    85457.8000
173.500                    85385.9000
174.000                    85484.3000
174.500                    85348.3000
175.000                    85017.6000
175.500                    84975.1000
176.000                    84978.5000
176.500                    84440.5000
177.000                    84843.6000
177.500                    84678.0000
178.000                    84359.3000
178.500                    84826.2000
179.000                    84420.5000
179.500                    85096.5000
180.000                    84776.8000
180.500                    84379.6000
181.000                    85207.6000
181.500                    85253.1000
182.000                    84615.6000
182.500                    83665.8000
183.000                    83725.3000
183.500                    83295.5000
184.000                    83376.0000
184.500                    83149.4000
185.000                    82905.6000
185.500                    83381.0000
186.000                    82841.0000
186.500                    82648.3000
187.000                    83018.8000
187.500                    82745.2000
188.000                    82515.5000
188.500                    82341.7000
189.000                    81636.9000
189.500                    82404.3000
190.000                    81605.4000
190.500                    81807.5000
191.000                    82516.1000
191.500                    81900.7000
192.000                    81554.2000
192.500                    81556.7000
193.000                    81379.6000
193.500                    81634.0000
194.000                    80956.8000
194.500                    80108.0000
195.000                    80368.1000
195.500                    79929.3000
196.000                    79300.2000
196.500                    79440.3000
197.000                    79746.0000
197.500                    79746.4000
198.000                    79488.3000
198.500                    79763.0000
199.000                    80092.6000
199.500                    79711.4000
200.000                    79232.5000
