# Transition                      C 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              957
# End Energy in eV                991
# Energy Step in eV               0.1
# Number Of Sweeps                3
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
957.000                     2594.2500
957.100                     2683.5000
957.200                     2690.7500
957.300                     2654.2500
957.400                     2678.7500
957.500                     2644.7500
957.600                     2654.0000
957.700                     2724.5000
957.800                     2741.2500
957.900                     2692.5000
958.000                     2764.5000
958.100                     2688.7500
958.200                     2646.7500
958.300                     2658.2500
958.400                     2703.5000
958.500                     2809.5000
958.600                     2826.0000
958.700                     2771.7500
958.800                     2766.5000
958.900                     2832.2500
959.000                     2753.7500
959.100                     2754.5000
959.200                     2895.7500
959.300                     2855.0000
959.400                     2824.2500
959.500                     2826.0000
959.600                     2798.0000
959.700                     2833.2500
959.800                     2831.7500
959.900                     2875.7500
960.000                     2811.7500
960.100                     2859.5000
960.200                     2782.5000
960.300                     2796.7500
960.400                     2818.2500
960.500                     2831.5000
960.600                     2904.7500
960.700                     2870.5000
960.800                     2884.7500
960.900                     2947.7500
961.000                     2976.0000
961.100                     2993.0000
961.200                     3031.5000
961.300                     3009.0000
961.400                     2989.2500
961.500                     3111.7500
961.600                     3140.7500
961.700                     3161.7500
961.800                     3219.2500
961.900                     3241.5000
962.000                     3305.7500
962.100                     3241.2500
962.200                     3232.0000
962.300                     3332.5000
962.400                     3294.2500
962.500                     3275.7500
962.600                     3331.2500
962.700                     3395.7500
962.800                     3381.0000
962.900                     3238.0000
963.000                     3323.7500
963.100                     3370.2500
963.200                     3472.2500
963.300                     3428.2500
963.400                     3309.5000
963.500                     3355.0000
963.600                     3363.2500
963.700                     3369.5000
963.800                     3382.2500
963.900                     3395.0000
964.000                     3526.2500
964.100                     3455.5000
964.200                     3505.0000
964.300                     3635.2500
964.400                     3575.5000
964.500                     3569.7500
964.600                     3726.0000
