# Transition                      O 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              715
# End Energy in eV                734
# Energy Step in eV               0.1
# Number Of Sweeps                3
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
715.000                     3957.5000
715.100                     3895.0000
715.200                     3807.5000
715.300                     3799.2500
715.400                     3796.7500
715.500                     3877.7500
715.600                     3845.0000
715.700                     4054.7500
715.800                     3933.7500
715.900                     3951.7500
716.000                     3983.0000
716.100                     4018.5000
716.200                     4011.7500
716.300                     3937.0000
716.400                     3944.2500
716.500                     3885.7500
716.600                     3802.2500
716.700                     3897.5000
716.800                     3957.5000
716.900                     3759.5000
717.000                     4043.7500
717.100                     4010.0000
717.200                     3950.0000
717.300                     3901.0000
717.400                     3903.0000
717.500                     3986.0000
717.600                     3969.7500
717.700                     4091.5000
717.800                     4006.7500
717.900                     4156.0000
718.000                     4116.5000
718.100                     4186.5000
718.200                     4215.2500
718.300                     4286.0000
718.400                     4266.2500
718.500                     4447.7500
718.600                     4478.2500
718.700                     4561.2500
718.800                     4789.7500
718.900                     4882.0000
719.000                     5073.0000
719.100                     5367.0000
719.200                     5475.7500
719.300                     5746.5000
719.400                     6057.7500
719.500                     6524.0000
719.600                     7003.0000
719.700                     7470.7500
719.800                     7835.0000
719.900                     8510.2500
720.000                     8940.5000
720.100                     9437.5000
720.200                     9920.7500
720.300                    10415.2500
720.400                    10716.5000
720.500                    10959.7500
720.600                    11204.5000
720.700                    11300.7500
720.800                    11189.5000
720.900                    11148.5000
721.000                    10790.7500
721.100                    10525.2500
721.200                     9790.2500
721.300                     9300.2500
721.400                     8928.2500
721.500                     8463.7500
721.600                     7759.5000
721.700                     7037.2500
721.800                     6617.5000
721.900                     6244.0000
722.000                     5854.5000
722.100                     5459.5000
722.200                     5250.5000
722.300                     5070.2500
722.400                     4833.7500
722.500                     4608.0000
722.600                     4492.2500
722.700                     4455.7500
722.800                     4319.5000
722.900                     4228.2500
723.000                     4160.2500
723.100                     4056.5000
723.200                     4140.2500
723.300                     4036.0000
723.400                     3993.7500
723.500                     3833.7500
723.600                     3856.7500
723.700                     3850.0000
723.800                     3746.0000
723.900                     3738.5000
724.000                     3769.2500
724.100                     3797.0000
724.200                     3766.7500
724.300                     3721.2500
724.400                     3691.0000
724.500                     3716.5000
724.600                     3631.2500
724.700                     3613.0000
724.800                     3706.0000
724.900                     3694.5000
725.000                     3709.5000
725.100                     3616.0000
725.200                     3568.2500
725.300                     3671.0000
725.400                     3657.2500
725.500                     3682.0000
725.600                     3696.2500
725.700                     3606.7500
725.800                     3660.0000
725.900                     3655.0000
726.000                     3563.0000
726.100                     3654.5000
726.200                     3622.2500
726.300                     3652.2500
726.400                     3742.2500
726.500                     3640.0000
726.600                     3564.5000
726.700                     3595.7500
726.800                     3608.7500
726.900                     3672.7500
727.000                     3686.0000
727.100                     3606.7500
727.200                     3617.5000
727.300                     3656.7500
727.400                     3624.7500
727.500                     3587.7500
727.600                     3693.2500
727.700                     3725.5000
727.800                     3738.7500
727.900                     3714.7500
728.000                     3715.2500
728.100                     3830.7500
728.200                     3897.7500
728.300                     3942.0000
728.400                     3921.7500
728.500                     4051.5000
728.600                     3937.5000
728.700                     3867.5000
728.800                     4048.5000
728.900                     4184.5000
729.000                     4099.7500
729.100                     4131.7500
729.200                     4067.7500
729.300                     4065.5000
729.400                     4057.0000
729.500                     4171.5000
729.600                     4136.5000
729.700                     4151.5000
729.800                     4052.2500
729.900                     4073.2500
730.000                     4083.5000
730.100                     4117.7500
730.200                     4001.7500
730.300                     3976.0000
730.400                     3935.7500
730.500                     3936.0000
730.600                     4024.0000
730.700                     3895.5000
730.800                     3828.7500
730.900                     3978.0000
731.000                     3990.0000
731.100                     4068.0000
731.200                     3919.5000
731.300                     3891.2500
731.400                     3773.0000
731.500                     3878.5000
731.600                     3777.0000
731.700                     3743.0000
731.800                     3717.5000
731.900                     3717.0000
732.000                     3651.2500
732.100                     3640.5000
732.200                     3594.7500
732.300                     3629.7500
732.400                     3659.2500
732.500                     3520.0000
732.600                     3546.0000
732.700                     3448.5000
732.800                     3497.2500
732.900                     3615.2500
733.000                     3482.0000
733.100                     3472.0000
733.200                     3515.5000
733.300                     3499.2500
733.400                     3498.7500
733.500                     3492.5000
733.600                     3432.2500
733.700                     3422.0000
733.800                     3487.5000
733.900                     3471.2500
734.000                     3430.0000
