# Transition                      C 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              957
# End Energy in eV                991
# Energy Step in eV               0.1
# Number Of Sweeps                3
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
957.000                     2606.7500
957.100                     2617.0000
957.200                     2655.7500
957.300                     2522.7500
957.400                     2560.7500
957.500                     2528.0000
957.600                     2574.2500
957.700                     2531.0000
957.800                     2498.2500
957.900                     2490.0000
958.000                     2485.2500
958.100                     2520.7500
958.200                     2455.0000
958.300                     2534.2500
958.400                     2467.7500
958.500                     2493.2500
958.600                     2485.2500
958.700                     2492.0000
958.800                     2420.5000
958.900                     2497.2500
959.000                     2479.5000
959.100                     2503.7500
959.200                     2375.5000
959.300                     2357.7500
959.400                     2419.7500
959.500                     2442.7500
959.600                     2382.7500
959.700                     2302.2500
959.800                     2369.5000
959.900                     2371.0000
960.000                     2378.7500
960.100                     2425.7500
960.200                     2441.7500
960.300                     2434.7500
960.400                     2509.0000
960.500                     2443.5000
960.600                     2396.2500
960.700                     2456.5000
960.800                     2434.7500
960.900                     2437.2500
961.000                     2473.5000
961.100                     2443.0000
961.200                     2444.7500
961.300                     2565.0000
961.400                     2501.0000
961.500                     2530.2500
961.600                     2549.7500
961.700                     2535.7500
961.800                     2571.0000
961.900                     2651.2500
962.000                     2611.7500
962.100                     2599.0000
962.200                     2620.2500
962.300                     2599.5000
962.400                     2635.2500
962.500                     2672.2500
962.600                     2710.2500
962.700                     2749.7500
962.800                     2648.0000
962.900                     2638.0000
963.000                     2735.5000
963.100                     2713.7500
963.200                     2690.0000
963.300                     2626.5000
963.400                     2701.5000
963.500                     2812.0000
963.600                     2874.2500
963.700                     2918.5000
963.800                     2917.2500
963.900                     2832.7500
964.000                     2973.7500
964.100                     2939.0000
964.200                     3028.7500
964.300                     3083.0000
964.400                     3232.0000
964.500                     3309.7500
964.600                     3510.2500
964.700                     3521.2500
964.800                     3629.0000
964.900                     3770.5000
965.000                     4047.2500
965.100                     4178.5000
965.200                     4371.2500
965.300                     4641.2500
965.400                     4935.0000
965.500                     5113.0000
965.600                     5426.0000
965.700                     5836.5000
965.800                     6126.0000
965.900                     6579.7500
966.000                     7038.5000
966.100                     7462.7500
966.200                     7934.7500
966.300                     8474.2500
966.400                     9212.5000
966.500                     9858.2500
966.600                    10472.5000
966.700                    11214.5000
966.800                    11668.5000
966.900                    12276.5000
967.000                    12867.0000
967.100                    12892.7500
967.200                    13173.2500
967.300                    13110.5000
967.400                    12985.0000
967.500                    12918.7500
967.600                    12655.7500
967.700                    12487.5000
967.800                    12499.7500
967.900                    12472.0000
968.000                    12521.0000
968.100                    12824.7500
968.200                    13639.7500
968.300                    14057.5000
968.400                    14974.7500
968.500                    15908.0000
968.600                    16753.2500
968.700                    17517.7500
968.800                    18029.5000
968.900                    18389.0000
969.000                    18191.2500
969.100                    17980.5000
969.200                    16746.7500
969.300                    15570.5000
969.400                    13704.2500
969.500                    11857.5000
969.600                    10007.0000
969.700                     8480.0000
969.800                     6759.0000
969.900                     5505.7500
970.000                     4659.2500
970.100                     3865.7500
970.200                     3422.2500
970.300                     2961.0000
970.400                     2604.2500
970.500                     2382.5000
970.600                     2249.2500
970.700                     2035.7500
970.800                     1908.2500
970.900                     1836.2500
971.000                     1799.5000
971.100                     1701.5000
971.200                     1653.0000
971.300                     1578.7500
971.400                     1531.5000
971.500                     1548.2500
971.600                     1572.2500
971.700                     1508.7500
971.800                     1509.7500
971.900                     1488.7500
972.000                     1509.2500
972.100                     1432.7500
972.200                     1406.2500
972.300                     1415.7500
972.400                     1352.2500
972.500                     1399.2500
