# Transition                      O 1s
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              715
# End Energy in eV                734
# Energy Step in eV               0.1
# Number Of Sweeps                3
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
715.000                     4027.0000
715.100                     3953.7500
715.200                     4022.7500
715.300                     3931.5000
715.400                     4049.0000
715.500                     3995.2500
715.600                     4059.0000
715.700                     4089.5000
715.800                     4100.0000
715.900                     4032.2500
716.000                     3964.5000
716.100                     4019.0000
716.200                     4078.0000
716.300                     4163.5000
716.400                     4109.2500
716.500                     4139.2500
716.600                     4167.5000
716.700                     4159.0000
716.800                     4159.5000
716.900                     4143.7500
717.000                     4265.0000
717.100                     4354.2500
717.200                     4289.2500
717.300                     4238.5000
717.400                     4312.7500
717.500                     4420.0000
717.600                     4426.5000
717.700                     4461.7500
717.800                     4461.0000
717.900                     4559.0000
718.000                     4547.5000
718.100                     4570.5000
718.200                     4771.7500
718.300                     4882.7500
718.400                     5013.7500
718.500                     5093.0000
718.600                     5326.5000
718.700                     5453.5000
718.800                     5666.5000
718.900                     6170.2500
719.000                     6430.5000
719.100                     6672.5000
719.200                     7292.2500
719.300                     7800.0000
719.400                     8510.0000
719.500                     9254.2500
719.600                    10055.2500
719.700                    10889.7500
719.800                    11849.5000
719.900                    12980.2500
720.000                    13969.0000
720.100                    14969.2500
720.200                    15884.0000
720.300                    16666.5000
720.400                    17535.2500
720.500                    18026.0000
720.600                    18366.0000
720.700                    18579.0000
720.800                    18428.5000
720.900                    17872.0000
721.000                    17091.7500
721.100                    16100.7500
721.200                    15162.0000
721.300                    14078.2500
721.400                    13099.5000
721.500                    11715.5000
721.600                    10674.5000
721.700                     9520.7500
721.800                     8649.5000
721.900                     7731.5000
722.000                     7131.7500
722.100                     6681.7500
722.200                     6159.5000
722.300                     5845.7500
722.400                     5515.7500
722.500                     5229.2500
722.600                     4970.2500
722.700                     4745.7500
722.800                     4738.2500
722.900                     4753.5000
723.000                     4707.2500
723.100                     4622.5000
723.200                     4451.2500
723.300                     4415.7500
723.400                     4294.0000
723.500                     4217.7500
723.600                     4104.5000
723.700                     4126.2500
723.800                     4110.2500
723.900                     4055.2500
724.000                     4042.0000
724.100                     4061.5000
724.200                     4046.5000
724.300                     3990.0000
724.400                     3908.2500
724.500                     4120.7500
724.600                     3930.2500
724.700                     3910.7500
724.800                     3967.0000
724.900                     3987.7500
725.000                     3936.7500
725.100                     3884.2500
725.200                     3938.2500
725.300                     3960.0000
725.400                     3974.0000
725.500                     3991.0000
725.600                     3934.5000
725.700                     3995.7500
725.800                     3953.2500
725.900                     3896.5000
726.000                     3914.0000
726.100                     3857.2500
726.200                     3892.0000
726.300                     3813.0000
726.400                     3807.0000
726.500                     3844.2500
726.600                     3838.2500
726.700                     3844.5000
726.800                     3860.5000
726.900                     3901.2500
727.000                     3874.0000
727.100                     3854.7500
727.200                     3849.5000
727.300                     3847.2500
727.400                     3941.5000
727.500                     3960.5000
727.600                     4032.0000
727.700                     3943.0000
727.800                     3919.0000
727.900                     4021.7500
728.000                     4079.0000
728.100                     4149.7500
728.200                     4224.0000
728.300                     4413.2500
728.400                     4440.2500
728.500                     4499.7500
728.600                     4568.2500
728.700                     4645.2500
728.800                     4575.5000
728.900                     4764.0000
729.000                     4832.0000
729.100                     4674.5000
729.200                     4745.0000
729.300                     4714.7500
729.400                     4851.0000
729.500                     4798.2500
729.600                     4833.7500
729.700                     4771.7500
729.800                     4639.5000
729.900                     4647.2500
730.000                     4623.7500
730.100                     4566.5000
730.200                     4643.7500
730.300                     4482.2500
730.400                     4488.7500
730.500                     4543.0000
730.600                     4523.7500
730.700                     4630.5000
730.800                     4540.0000
730.900                     4473.5000
731.000                     4568.7500
731.100                     4543.7500
731.200                     4444.7500
731.300                     4321.5000
731.400                     4379.0000
731.500                     4280.2500
731.600                     4202.7500
731.700                     4065.0000
731.800                     4091.2500
731.900                     4111.0000
732.000                     3983.7500
732.100                     3926.0000
732.200                     3924.2500
732.300                     3796.5000
732.400                     3728.7500
732.500                     3770.7500
732.600                     3625.7500
732.700                     3645.2500
732.800                     3719.2500
732.900                     3545.5000
733.000                     3579.2500
733.100                     3655.7500
733.200                     3651.5000
733.300                     3564.5000
733.400                     3522.5000
733.500                     3565.5000
733.600                     3512.7500
733.700                     3577.0000
733.800                     3634.2500
733.900                     3559.5000
734.000                     3619.7500
