# Transition                      wide 
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              149.6
# End Energy in eV                1259.6
# Energy Step in eV               0.5
# Number Of Sweeps                1
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  50
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
149.600                    16083.7000
150.100                    16000.4000
150.600                    16077.6000
151.100                    15933.3000
151.600                    15818.1000
152.100                    15930.1000
152.600                    16121.5000
153.100                    15853.9000
153.600                    15870.8000
154.100                    15824.6000
154.600                    16014.8000
155.100                    16076.3000
155.600                    15897.8000
156.100                    15990.5000
156.600                    15762.3000
157.100                    15919.1000
157.600                    15883.5000
158.100                    15952.1000
158.600                    15876.4000
159.100                    15658.4000
159.600                    15651.1000
160.100                    15825.0000
160.600                    15706.0000
161.100                    15670.1000
161.600                    15632.1000
162.100                    15802.0000
162.600                    15540.7000
163.100                    15582.7000
163.600                    15480.0000
164.100                    15442.3000
164.600                    15521.0000
165.100                    15586.6000
165.600                    15618.0000
166.100                    15518.2000
166.600                    15632.3000
167.100                    15449.0000
167.600                    15645.8000
168.100                    15667.6000
168.600                    15612.8000
169.100                    15490.2000
169.600                    15371.6000
170.100                    15457.8000
170.600                    15606.6000
171.100                    15327.2000
171.600                    15344.8000
172.100                    15472.2000
172.600                    15347.5000
173.100                    15475.6000
173.600                    15435.5000
174.100                    15447.3000
174.600                    15437.6000
175.100                    15436.6000
175.600                    15497.9000
176.100                    15470.2000
176.600                    15351.9000
177.100                    15367.1000
177.600                    15400.6000
178.100                    15376.1000
178.600                    15533.9000
179.100                    15438.1000
179.600                    15325.2000
180.100                    15199.7000
180.600                    15316.0000
181.100                    15518.5000
181.600                    15288.4000
182.100                    15244.2000
182.600                    15036.3000
183.100                    15308.7000
183.600                    15278.5000
184.100                    15168.9000
184.600                    15128.2000
185.100                    15249.8000
185.600                    15110.5000
186.100                    15178.3000
186.600                    15247.4000
187.100                    15072.8000
187.600                    15236.4000
188.100                    15283.8000
188.600                    14990.7000
189.100                    15174.7000
189.600                    15353.8000
190.100                    15112.0000
190.600                    15176.8000
191.100                    15061.0000
191.600                    15025.5000
192.100                    15051.2000
192.600                    15090.5000
193.100                    15359.8000
193.600                    15103.8000
194.100                    15073.5000
194.600                    15000.9000
195.100                    14952.4000
195.600                    15142.3000
196.100                    15231.4000
196.600                    15175.4000
197.100                    15043.1000
197.600                    15135.2000
198.100                    14893.5000
198.600                    14944.7000
199.100                    14859.3000
199.600                    14969.0000
200.100                    14969.7000
200.600                    14978.6000
201.100                    14954.1000
201.600                    14909.3000
202.100                    14839.4000
202.600                    15107.8000
203.100                    15131.2000
203.600                    14997.4000
204.100                    14920.5000
204.600                    14978.7000
205.100                    15068.4000
205.600                    15080.6000
206.100                    14981.3000
206.600                    14907.1000
207.100                    14835.3000
207.600                    15092.0000
208.100                    15002.8000
208.600                    14944.2000
209.100                    14965.6000
209.600                    14940.5000
210.100                    15031.7000
210.600                    14962.4000
211.100                    15074.7000
211.600                    15010.4000
212.100                    14918.4000
212.600                    14917.4000
213.100                    15082.1000
213.600                    14938.6000
214.100                    15102.2000
214.600                    15072.5000
215.100                    15352.5000
215.600                    15139.8000
216.100                    14911.0000
216.600                    14954.5000
217.100                    14971.3000
217.600                    14992.7000
218.100                    15126.3000
218.600                    15007.2000
219.100                    15033.7000
219.600                    14943.7000
220.100                    14879.0000
220.600                    14941.9000
221.100                    15046.4000
221.600                    15025.0000
222.100                    14830.3000
222.600                    14703.5000
223.100                    14780.3000
223.600                    14741.1000
224.100                    15041.0000
224.600                    14904.5000
225.100                    14829.8000
225.600                    14806.3000
226.100                    14721.7000
226.600                    14757.6000
227.100                    14720.8000
227.600                    14870.6000
228.100                    15033.5000
228.600                    14806.1000
229.100                    14911.6000
229.600                    14802.4000
230.100                    14866.6000
230.600                    14833.1000
231.100                    14856.7000
231.600                    14688.2000
232.100                    14793.6000
232.600                    14656.8000
233.100                    14920.3000
233.600                    15014.9000
234.100                    15145.0000
234.600                    15229.3000
235.100                    15380.9000
235.600                    15488.5000
236.100                    15740.0000
236.600                    15872.0000
237.100                    16012.4000
237.600                    15977.8000
238.100                    16258.2000
238.600                    16174.0000
239.100                    16127.3000
239.600                    15945.8000
240.100                    15477.0000
240.600                    15340.2000
241.100                    15258.1000
241.600                    15208.2000
242.100                    15086.3000
242.600                    14974.7000
243.100                    15084.5000
243.600                    15119.9000
244.100                    14981.4000
244.600                    15028.3000
245.100                    14954.7000
245.600                    14889.7000
246.100                    14995.7000
246.600                    14799.7000
247.100                    14750.1000
247.600                    14700.6000
248.100                    14832.5000
248.600                    14619.2000
249.100                    14456.3000
249.600                    14827.8000
250.100                    14607.3000
250.600                    14595.4000
251.100                    14753.3000
251.600                    14795.7000
252.100                    14939.8000
252.600                    14943.7000
253.100                    14914.5000
253.600                    15130.5000
254.100                    15124.2000
254.600                    15191.0000
255.100                    15339.2000
255.600                    15434.9000
256.100                    15524.2000
256.600                    15600.8000
257.100                    15640.1000
257.600                    15511.5000
258.100                    15413.0000
258.600                    15459.5000
259.100                    15390.7000
259.600                    15416.6000
260.100                    15274.0000
260.600                    15294.9000
261.100                    15174.0000
261.600                    15173.2000
262.100                    15061.9000
262.600                    14924.1000
263.100                    14745.0000
263.600                    14662.5000
264.100                    14276.4000
264.600                    14137.7000
265.100                    13980.9000
265.600                    13818.1000
266.100                    13537.0000
266.600                    13497.0000
267.100                    13213.3000
267.600                    12767.2000
268.100                    12744.1000
268.600                    12766.4000
269.100                    12634.2000
269.600                    12327.7000
270.100                    12195.9000
270.600                    11938.0000
271.100                    12080.4000
271.600                    11855.2000
272.100                    11733.2000
272.600                    11810.3000
273.100                    11720.4000
273.600                    11726.9000
274.100                    11840.4000
274.600                    11653.8000
275.100                    11520.8000
275.600                    11573.1000
276.100                    11545.4000
276.600                    11626.2000
277.100                    11686.6000
277.600                    11487.1000
278.100                    11449.0000
278.600                    11428.4000
279.100                    11330.5000
279.600                    11295.4000
280.100                    11531.8000
280.600                    11377.9000
281.100                    11187.4000
281.600                    11364.0000
282.100                    11400.8000
282.600                    11426.4000
283.100                    11468.5000
283.600                    11394.3000
284.100                    11278.8000
284.600                    11395.8000
285.100                    11393.3000
285.600                    11380.9000
286.100                    11266.5000
286.600                    11531.3000
287.100                    11265.4000
287.600                    11348.1000
288.100                    11466.2000
288.600                    11318.0000
289.100                    11261.2000
289.600                    11485.4000
290.100                    11468.5000
290.600                    11463.1000
291.100                    11338.1000
291.600                    11466.2000
292.100                    11501.0000
292.600                    11275.9000
293.100                    11147.2000
293.600                    11139.6000
294.100                    10967.6000
294.600                    11380.7000
295.100                    11080.0000
295.600                    11144.9000
296.100                    11322.7000
296.600                    11237.1000
297.100                    11188.1000
297.600                    11105.6000
298.100                    11128.8000
298.600                    11060.0000
299.100                    10944.6000
299.600                    11084.0000
300.100                    11131.7000
300.600                    10940.9000
301.100                    11080.2000
301.600                    11145.9000
302.100                    10995.1000
302.600                    11079.0000
303.100                    10994.1000
303.600                    11072.2000
304.100                    11023.3000
304.600                    11150.6000
305.100                    11241.2000
305.600                    11219.1000
306.100                    11139.7000
306.600                    11023.5000
307.100                    11181.0000
307.600                    11134.0000
308.100                    11108.8000
308.600                    11011.6000
309.100                    10970.8000
309.600                    10986.9000
310.100                    10921.0000
310.600                    10959.6000
311.100                    11023.8000
311.600                    11061.5000
312.100                    11133.4000
312.600                    10895.6000
313.100                    10999.3000
313.600                    10991.6000
314.100                    11006.0000
314.600                    11237.2000
315.100                    11136.0000
315.600                    11150.3000
316.100                    10912.8000
316.600                    11041.9000
317.100                    10942.8000
317.600                    10869.2000
318.100                    11014.0000
318.600                    10962.1000
319.100                    10931.9000
319.600                    11001.7000
320.100                    11010.6000
320.600                    10983.0000
321.100                    11039.9000
321.600                    10919.7000
322.100                    11086.2000
322.600                    11011.6000
323.100                    10905.2000
323.600                    10986.4000
324.100                    10973.2000
324.600                    10959.5000
325.100                    10928.9000
325.600                    10856.7000
326.100                    10866.6000
326.600                    10929.8000
327.100                    10968.3000
327.600                    11085.7000
328.100                    11049.5000
328.600                    10966.7000
329.100                    10937.7000
329.600                    10939.7000
330.100                    10904.6000
330.600                    10912.9000
331.100                    10983.8000
331.600                    10879.6000
332.100                    10888.1000
332.600                    10895.5000
333.100                    11053.5000
333.600                    10994.2000
334.100                    10893.1000
334.600                    10991.4000
335.100                    10983.5000
335.600                    10969.9000
336.100                    11031.0000
336.600                    10901.6000
337.100                    10791.0000
337.600                    10860.5000
338.100                    10925.1000
338.600                    11015.6000
339.100                    10834.5000
339.600                    10889.0000
340.100                    11029.8000
340.600                    10872.7000
341.100                    11031.5000
341.600                    11013.2000
342.100                    10960.5000
342.600                    11093.2000
343.100                    10983.8000
343.600                    10769.4000
344.100                    10889.5000
344.600                    11153.0000
345.100                    10982.2000
345.600                    10850.8000
346.100                    11042.7000
346.600                    10937.1000
347.100                    10812.6000
347.600                    10936.5000
348.100                    10880.7000
348.600                    10901.8000
349.100                    10724.3000
349.600                    10851.8000
350.100                    10941.6000
350.600                    10879.1000
351.100                    10745.9000
351.600                    10808.7000
352.100                    10978.7000
352.600                    10874.4000
353.100                    10819.8000
353.600                    10634.8000
354.100                    10778.7000
354.600                    10788.0000
355.100                    10905.4000
355.600                    10897.6000
356.100                    10997.0000
356.600                    10826.3000
357.100                    10867.5000
357.600                    10944.8000
358.100                    10796.9000
358.600                    10884.2000
359.100                    10732.7000
359.600                    10942.5000
360.100                    10914.3000
360.600                    10898.6000
361.100                    10937.4000
361.600                    10931.0000
362.100                    10879.4000
362.600                    10777.0000
363.100                    10890.1000
363.600                    10736.4000
364.100                    10857.8000
364.600                    10871.0000
365.100                    10938.5000
365.600                    10762.1000
366.100                    10688.8000
366.600                    10774.8000
367.100                    10890.3000
367.600                    10872.5000
368.100                    10653.3000
368.600                    10942.1000
369.100                    10999.5000
369.600                    10859.3000
370.100                    10930.8000
370.600                    10760.2000
371.100                    10816.3000
371.600                    10833.3000
372.100                    10953.6000
372.600                    10941.5000
373.100                    10910.1000
373.600                    10743.9000
374.100                    10658.2000
374.600                    10932.2000
375.100                    10869.0000
375.600                    10816.7000
376.100                    10802.3000
376.600                    10873.2000
377.100                    10783.8000
377.600                    10785.4000
378.100                    10800.6000
378.600                    10835.3000
379.100                    10947.0000
379.600                    10712.5000
380.100                    10688.2000
380.600                    10793.5000
381.100                    10896.2000
381.600                    11036.9000
382.100                    10878.7000
382.600                    10755.7000
383.100                    10768.8000
383.600                    10710.5000
384.100                    10745.5000
384.600                    10830.5000
385.100                    10825.9000
385.600                    10757.8000
386.100                    10616.2000
386.600                    10741.5000
387.100                    10672.1000
387.600                    10549.2000
388.100                    10633.3000
388.600                    10677.3000
389.100                    10604.6000
389.600                    10796.5000
390.100                    10725.5000
390.600                    10675.0000
