# Transition                      Ca 2p
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              893.6
# End Energy in eV                913.6
# Energy Step in eV               0.1
# Number Of Sweeps                20
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
893.600                    19447.7500
893.700                    19374.7500
893.800                    19390.5000
893.900                    19449.5000
894.000                    19448.7500
894.100                    19397.0000
894.200                    19385.5000
894.300                    19250.5000
894.400                    19317.0000
894.500                    19555.2500
894.600                    19402.5000
894.700                    19212.2500
894.800                    19292.2500
894.900                    19392.2500
895.000                    19453.5000
895.100                    19331.7500
895.200                    19448.5000
895.300                    19396.2500
895.400                    19424.2500
895.500                    19381.5000
895.600                    19324.7500
895.700                    19331.5000
895.800                    19307.7500
895.900                    19432.2500
896.000                    19182.2500
896.100                    19500.2500
896.200                    19578.0000
896.300                    19457.2500
896.400                    19353.7500
896.500                    19169.0000
896.600                    19595.0000
896.700                    19533.5000
896.800                    19521.5000
896.900                    19551.2500
897.000                    19634.0000
897.100                    19386.2500
897.200                    19743.0000
897.300                    19549.0000
897.400                    19316.2500
897.500                    19351.0000
897.600                    19306.0000
897.700                    19532.7500
897.800                    19516.0000
897.900                    19579.7500
898.000                    19522.7500
898.100                    19571.7500
898.200                    19743.5000
898.300                    19605.2500
898.400                    19463.7500
898.500                    19353.0000
898.600                    19430.0000
898.700                    19544.0000
898.800                    19791.0000
898.900                    19904.5000
899.000                    19781.5000
899.100                    19848.0000
899.200                    19854.0000
899.300                    19997.2500
899.400                    20106.0000
899.500                    20300.0000
899.600                    19895.0000
899.700                    20164.2500
899.800                    20195.5000
899.900                    20355.2500
900.000                    20414.2500
900.100                    20442.7500
900.200                    20572.7500
900.300                    20683.5000
900.400                    20574.0000
900.500                    20740.7500
900.600                    20887.0000
900.700                    21028.0000
900.800                    21044.5000
900.900                    21269.5000
901.000                    21115.2500
901.100                    21049.2500
901.200                    21198.7500
901.300                    21325.5000
901.400                    21173.2500
901.500                    21165.7500
901.600                    21486.5000
901.700                    21585.7500
901.800                    21844.5000
901.900                    21606.7500
902.000                    21590.7500
902.100                    21540.0000
902.200                    21531.5000
902.300                    21674.7500
902.400                    21707.7500
902.500                    21599.2500
902.600                    21590.2500
902.700                    21680.0000
902.800                    21389.5000
902.900                    21225.5000
903.000                    21420.7500
903.100                    21421.7500
903.200                    21322.5000
903.300                    21206.5000
903.400                    21280.2500
903.500                    21608.5000
903.600                    21623.7500
903.700                    21754.7500
903.800                    22009.2500
903.900                    21842.5000
904.000                    22012.2500
904.100                    22261.5000
904.200                    22397.5000
904.300                    22278.0000
904.400                    22653.5000
904.500                    22889.7500
904.600                    22857.0000
904.700                    23039.5000
904.800                    23230.0000
904.900                    23104.2500
905.000                    23333.0000
905.100                    23394.2500
905.200                    23368.5000
905.300                    23529.7500
905.400                    23575.0000
905.500                    23400.5000
905.600                    23260.2500
905.700                    23291.0000
905.800                    23105.0000
905.900                    22809.7500
906.000                    22739.2500
906.100                    22161.0000
906.200                    21722.2500
906.300                    21502.5000
906.400                    21250.0000
906.500                    20881.2500
906.600                    20687.5000
906.700                    20529.2500
906.800                    20226.2500
906.900                    19856.7500
907.000                    19626.0000
907.100                    19776.2500
907.200                    19397.0000
907.300                    19286.7500
907.400                    19281.2500
907.500                    19150.7500
907.600                    19361.5000
907.700                    19175.0000
907.800                    19070.5000
907.900                    19164.2500
908.000                    18860.7500
908.100                    19051.7500
908.200                    18992.2500
908.300                    19359.0000
908.400                    18949.0000
908.500                    19052.7500
908.600                    19166.2500
908.700                    19145.7500
908.800                    19048.5000
908.900                    19078.7500
909.000                    19148.7500
909.100                    19086.0000
909.200                    19004.5000
909.300                    18929.5000
909.400                    19063.7500
909.500                    19024.0000
909.600                    19136.2500
909.700                    19051.5000
909.800                    19106.2500
909.900                    19153.5000
910.000                    19048.2500
910.100                    19207.7500
910.200                    19260.5000
910.300                    18929.7500
910.400                    18979.7500
910.500                    18956.0000
910.600                    19168.0000
910.700                    19003.7500
910.800                    19017.5000
910.900                    19297.5000
911.000                    19036.5000
911.100                    18993.5000
911.200                    18944.0000
911.300                    19129.2500
911.400                    19188.7500
911.500                    19233.5000
911.600                    19017.7500
911.700                    19204.0000
911.800                    19147.7500
911.900                    19158.2500
912.000                    19246.0000
912.100                    19282.2500
912.200                    19255.2500
912.300                    19066.5000
912.400                    19083.0000
912.500                    19281.5000
912.600                    19261.7500
912.700                    19336.2500
912.800                    19181.7500
912.900                    19166.0000
913.000                    19167.0000
913.100                    19230.7500
913.200                    18832.5000
913.300                    19194.7500
913.400                    19348.7500
913.500                    19407.0000
913.600                    19279.5000
