# Transition                      Si 2p
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              1141.6
# End Energy in eV                1163.6
# Energy Step in eV               0.1
# Number Of Sweeps                20
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
1141.600                   10038.5000
1141.700                    9988.5000
1141.800                   10121.5000
1141.900                    9876.7500
1142.000                    9931.2500
1142.100                    9896.5000
1142.200                    9780.0000
1142.300                    9786.5000
1142.400                    9690.5000
1142.500                    9712.2500
1142.600                    9602.0000
1142.700                    9654.7500
1142.800                    9780.5000
1142.900                    9596.5000
1143.000                    9532.0000
1143.100                    9473.2500
1143.200                    9679.5000
1143.300                    9429.2500
1143.400                    9401.2500
1143.500                    9365.0000
1143.600                    9409.2500
1143.700                    9284.7500
1143.800                    9292.5000
1143.900                    9426.0000
1144.000                    9512.5000
1144.100                    9315.2500
1144.200                    9275.7500
1144.300                    9298.0000
1144.400                    9307.5000
1144.500                    9403.7500
1144.600                    9367.5000
1144.700                    9420.5000
1144.800                    9184.7500
1144.900                    9273.2500
1145.000                    9311.5000
1145.100                    9151.2500
1145.200                    9254.5000
1145.300                    9373.7500
1145.400                    9289.0000
1145.500                    9358.5000
1145.600                    9489.5000
1145.700                    9300.2500
1145.800                    9177.0000
1145.900                    9394.5000
1146.000                    9489.5000
1146.100                    9415.2500
1146.200                    9468.0000
1146.300                    9530.5000
1146.400                    9439.7500
1146.500                    9557.0000
1146.600                    9526.7500
1146.700                    9612.0000
1146.800                    9876.7500
1146.900                    9821.0000
1147.000                    9734.5000
1147.100                    9770.2500
1147.200                    9922.0000
1147.300                   10112.2500
1147.400                   10292.7500
1147.500                   10332.0000
1147.600                   10572.7500
1147.700                   10659.5000
1147.800                   10732.7500
1147.900                   10882.7500
1148.000                   11159.2500
1148.100                   11192.5000
1148.200                   11542.2500
1148.300                   11776.5000
1148.400                   11917.5000
1148.500                   12111.5000
1148.600                   12150.2500
1148.700                   12442.5000
1148.800                   12555.5000
1148.900                   12673.7500
1149.000                   12864.2500
1149.100                   12884.7500
1149.200                   13027.7500
1149.300                   13077.5000
1149.400                   13146.7500
1149.500                   13123.2500
1149.600                   13366.2500
1149.700                   13018.5000
1149.800                   12819.7500
1149.900                   12981.7500
1150.000                   12784.2500
1150.100                   12757.2500
1150.200                   12409.2500
1150.300                   12377.7500
1150.400                   12305.7500
1150.500                   11902.7500
1150.600                   11822.5000
1150.700                   11748.5000
1150.800                   11368.7500
1150.900                   11126.2500
