# Transition                      N 1s?
# Notes                           
# Creation Comment                
# Energy Mode                     KE
# Start Energy in eV              843.6
# End Energy in eV                863.6
# Energy Step in eV               0.1
# Number Of Sweeps                10
# Dwell Time per Sweep in s       0.3
# Analyser Mode                   CAE
# Pass Energy in eV/Retard Ratio  25
# Magnification                   high
# Divide Voltages By 10           off
# Excitation Source               Mg Ka 1253.6 eV normal
# Excitation Energy in eV         1253.6
# Analyser Workfunction in eV     4.5
# Entrance Slit                   6 x 12 mm
# Exit Slit                       5 x 11 mm
# 
# 
# Kinetic Energy in eV         Counts
# --------------------         ------
843.600                     9596.7500
843.700                     9578.2500
843.800                     9682.5000
843.900                     9767.2500
844.000                     9704.0000
844.100                     9606.5000
844.200                     9637.7500
844.300                     9713.2500
844.400                     9608.5000
844.500                     9564.7500
844.600                     9672.0000
844.700                     9692.0000
844.800                     9694.5000
844.900                     9754.2500
845.000                     9708.0000
845.100                     9662.0000
845.200                     9626.2500
845.300                     9716.7500
845.400                     9686.2500
845.500                     9661.0000
845.600                     9754.5000
845.700                     9689.5000
845.800                     9817.2500
845.900                     9864.2500
846.000                     9644.2500
846.100                     9757.2500
846.200                     9640.0000
846.300                     9500.5000
846.400                     9623.2500
846.500                     9708.5000
846.600                     9667.5000
846.700                     9755.2500
846.800                     9691.0000
846.900                     9693.0000
847.000                     9724.7500
847.100                     9737.2500
847.200                     9748.0000
847.300                     9656.0000
847.400                     9596.7500
847.500                     9606.0000
847.600                     9513.7500
847.700                     9621.0000
847.800                     9580.5000
847.900                     9604.7500
848.000                     9603.0000
848.100                     9597.7500
848.200                     9547.5000
848.300                     9665.7500
848.400                     9614.5000
848.500                     9581.0000
848.600                     9540.2500
848.700                     9682.5000
848.800                     9565.5000
848.900                     9607.7500
849.000                     9628.7500
849.100                     9776.0000
849.200                     9513.0000
849.300                     9636.0000
849.400                     9701.5000
849.500                     9582.5000
849.600                     9551.5000
849.700                     9614.5000
849.800                     9687.7500
849.900                     9635.0000
850.000                     9691.0000
850.100                     9558.2500
850.200                     9665.0000
850.300                     9732.7500
850.400                     9639.5000
850.500                     9835.2500
850.600                     9750.2500
850.700                     9942.0000
850.800                     9889.5000
850.900                     9759.5000
851.000                     9903.7500
851.100                     9931.5000
851.200                     9964.0000
851.300                     9977.7500
851.400                     9829.0000
851.500                     9764.5000
851.600                     9826.2500
851.700                    10101.2500
851.800                    10153.7500
851.900                    10186.2500
852.000                    10229.2500
852.100                    10288.5000
852.200                    10113.2500
852.300                    10155.5000
852.400                    10197.0000
852.500                    10192.5000
852.600                    10159.7500
852.700                    10325.7500
852.800                    10275.5000
852.900                    10088.2500
853.000                     9993.7500
853.100                    10384.0000
853.200                    10413.5000
853.300                    10319.5000
853.400                    10356.7500
853.500                    10304.0000
853.600                    10274.2500
853.700                    10336.2500
853.800                    10205.5000
853.900                    10264.0000
854.000                    10287.7500
854.100                    10073.2500
854.200                    10312.0000
854.300                    10265.2500
854.400                    10082.0000
854.500                    10198.5000
854.600                    10059.7500
854.700                    10082.0000
854.800                     9767.7500
854.900                     9760.2500
855.000                     9868.7500
855.100                     9761.2500
855.200                     9684.7500
855.300                     9720.7500
855.400                     9707.7500
855.500                     9735.2500
855.600                     9745.5000
855.700                     9564.0000
855.800                     9586.5000
855.900                     9479.7500
856.000                     9591.2500
856.100                     9672.7500
856.200                     9630.7500
856.300                     9577.5000
856.400                     9707.2500
856.500                     9749.2500
856.600                     9532.2500
856.700                     9494.7500
856.800                     9529.2500
856.900                     9560.2500
857.000                     9535.5000
857.100                     9646.7500
857.200                     9466.5000
857.300                     9605.2500
857.400                     9542.5000
857.500                     9560.2500
857.600                     9623.0000
857.700                     9646.7500
857.800                     9417.0000
857.900                     9518.0000
858.000                     9520.7500
858.100                     9521.0000
858.200                     9629.7500
858.300                     9425.7500
858.400                     9454.0000
858.500                     9277.7500
858.600                     9552.5000
858.700                     9484.7500
858.800                     9412.5000
858.900                     9437.7500
859.000                     9454.0000
859.100                     9486.0000
859.200                     9575.0000
859.300                     9554.5000
859.400                     9357.2500
859.500                     9474.7500
859.600                     9466.2500
859.700                     9654.0000
859.800                     9419.2500
859.900                     9681.7500
860.000                     9816.5000
860.100                     9561.5000
860.200                     9669.5000
860.300                     9502.0000
860.400                     9391.5000
860.500                     9461.2500
860.600                     9506.0000
860.700                     9502.5000
860.800                     9652.5000
860.900                     9418.5000
861.000                     9555.0000
861.100                     9647.0000
861.200                     9578.5000
861.300                     9458.2500
861.400                     9516.0000
861.500                     9700.5000
861.600                     9584.7500
861.700                     9671.7500
861.800                     9566.7500
861.900                     9659.0000
862.000                     9593.2500
862.100                     9539.7500
862.200                     9551.5000
862.300                     9605.7500
862.400                     9587.5000
862.500                     9812.5000
862.600                     9574.7500
862.700                     9686.7500
862.800                     9582.2500
862.900                     9457.5000
863.000                     9586.0000
863.100                     9610.0000
863.200                     9731.2500
863.300                     9637.0000
863.400                     9485.5000
863.500                     9535.2500
863.600                     9508.7500
